year,voulant_VERB poser_VERB
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,9.064295980465431e-09
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,2.0239355080775567e-08
1818,5.960588467246453e-09
1819,1.0351049795076506e-08
1820,2.610625848831205e-08
1821,1.1833785507064931e-08
1822,1.0025615893027862e-08
1823,1.4824030003524058e-08
1824,1.6842225392110777e-08
1825,7.044354433105582e-09
1826,1.0569580766173203e-08
1827,8.295545583791863e-09
1828,0.0
1829,6.001223074036943e-09
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,1.8941957335982806e-08
1833,1.1583628500844156e-09
1834,4.667265685043276e-09
1835,7.563087933704082e-09
1836,1.1425275281418124e-08
1837,1.948209416013924e-08
1838,5.049729523420865e-09
1839,2.0974426639952526e-09
1840,3.821813088222825e-09
1841,2.5682194149112547e-09
1842,5.366612043644636e-09
1843,1.1813822142769936e-09
1844,1.3172547497219966e-08
1845,6.696273757711424e-09
1846,6.439951683034906e-09
1847,9.168480197274675e-09
1848,7.24069959545659e-09
1849,1.6758829879393033e-09
1850,5.431196825611551e-09
1851,1.2898877521649865e-09
1852,1.9531636308300904e-09
1853,5.971931837933653e-09
1854,9.871762074453727e-09
1855,5.306937111981824e-09
1856,7.248064815001953e-09
1857,6.8341128311999455e-09
1858,6.8511463169329545e-09
1859,8.147477359443656e-09
1860,9.154367819341758e-10
1861,4.244367357575385e-09
1862,9.939570055905733e-09
1863,1.4983863039219614e-09
1864,8.63051052846231e-09
1865,8.47231973466478e-09
1866,7.298419424373037e-09
1867,5.338092634588065e-09
1868,1.0867722721741302e-08
1869,7.813630631403612e-09
1870,4.587239033071455e-09
1871,2.0180236148803488e-08
1872,1.0885210732780592e-08
1873,4.1902030178953e-09
1874,1.1351757756017378e-08
1875,9.154443425529735e-09
1876,2.418405919968336e-09
1877,6.80329748092845e-09
1878,6.039088673581716e-10
1879,9.163987568783227e-09
1880,0.0
1881,2.091752326904839e-09
1882,1.3310770263785798e-09
1883,2.5277355764075082e-09
1884,6.601696966868076e-10
1885,2.5782542767416317e-09
1886,4.5174246565693466e-09
1887,4.57024718070187e-09
1888,1.268122939990235e-09
1889,1.1277246136920382e-08
1890,2.6217545912032847e-09
1891,0.0
1892,6.268512375839919e-10
1893,2.463366621796581e-09
1894,4.4110775032635274e-09
1895,2.4074457982692365e-09
1896,1.7691086373616827e-09
1897,1.1653427112179315e-09
1898,8.487532454637403e-09
1899,2.2110313580014918e-09
1900,2.595526460424935e-09
1901,2.235495621949468e-09
