year,grand_ADJ âge_NOUN,grand_ADJ age_NOUN,grand_ADJ page_NOUN
1800,1.4211623238225002e-06,1.8864986905953174e-08,0.0
1801,1.5430063058374799e-06,2.3811825400343878e-08,7.143547753329926e-09
1802,1.937969500431791e-06,2.9091921760482364e-08,1.3427040812530322e-08
1803,1.3691380900127115e-06,9.751695895232615e-09,9.751696339321825e-09
1804,1.6363653685402824e-06,1.4831105676904599e-08,7.4155526164076946e-09
1805,1.2935093991472968e-06,5.685755422035754e-09,2.5585899399160894e-08
1806,1.1814843219326576e-06,8.645007376628655e-09,1.729001475325731e-08
1807,1.286823703594564e-06,1.1387820908481672e-08,5.693910232196231e-09
1808,1.4661499108115095e-06,9.064295980465431e-09,0.0
1809,1.588098484717193e-06,1.8072244367672852e-08,1.1295152591017654e-08
1810,1.5819257441762602e-06,3.042164786748458e-08,2.106114038724627e-08
1811,2.4820060389174614e-06,4.011322829455821e-08,1.7549536934780008e-08
1812,1.8590441186461248e-06,2.6672082764633842e-08,1.0668832928217853e-08
1813,2.018770601353026e-06,1.7254449868886468e-08,5.751483289628823e-09
1814,1.4946716646591085e-06,3.1466770522570187e-08,1.2586708564299443e-08
1815,1.6587924847044633e-06,1.0788894222457657e-08,5.394447111228828e-09
1816,1.2538237115222728e-06,1.622322720606917e-08,0.0
1817,1.5101671806405648e-06,6.22749374290521e-09,0.0
1818,1.7989057141676312e-06,8.34482416500748e-09,0.0
1819,1.6540977867407491e-06,1.035105001712111e-08,6.210630010272666e-09
1820,1.4109245967119932e-06,1.5426425470366212e-08,3.0852851828910843e-08
1821,1.945671556313755e-06,6.903041582795311e-09,1.3806083387635226e-08
1822,1.552967887619161e-06,1.1028177482330648e-08,3.208197085768916e-08
1823,1.9498540950735332e-06,1.087095569118901e-08,3.9530747564242574e-09
1824,1.71874910392944e-06,1.0105335235266466e-08,1.3473780313688621e-08
1825,1.457300868423772e-06,1.4088708422121954e-08,1.2327620257934768e-08
1826,1.4700525525768171e-06,1.0569581210262413e-08,0.0
1827,1.4120862488198327e-06,1.474763688946723e-08,1.8434546111834038e-09
1828,1.3831830756316776e-06,1.4675681558884435e-08,4.586150570418113e-09
1829,1.3331289210327668e-06,1.2859763920403111e-08,4.286587973467704e-09
1830,1.4288028751252568e-06,7.30578508800761e-09,1.1480518979922749e-08
1831,9.385906309944403e-07,7.795602829929749e-09,1.0913843828674885e-08
1832,1.2001082723145373e-06,8.117981842303834e-09,8.117981509236927e-09
1833,1.2394482382660499e-06,3.8225973497674204e-08,1.1583628500844156e-09
1834,1.3068342923361342e-06,6.534171870242744e-09,9.334530925997342e-09
1835,1.3991713103678194e-06,2.3445572594482655e-08,4.5378527602224494e-09
1836,1.3885069165553432e-06,1.2769425516978572e-08,1.1425274948351216e-08
1837,1.2350255929050036e-06,1.1132625044041333e-08,6.957891152126194e-09
1838,1.3691079630007152e-06,1.3886755745318169e-08,3.7241754569095065e-08
1839,1.547213400954206e-06,1.6080393017148253e-08,5.593180252283503e-09
1840,1.4663023648608942e-06,2.1019971707669782e-08,7.64362617644565e-09
1841,1.5062606735227746e-06,1.219904222082846e-08,3.2102742686390684e-09
1842,1.6790787640275084e-06,2.2808100297311285e-08,4.695785538189057e-09
1843,1.5245738040903234e-06,1.4767277733973572e-08,1.1813822142769936e-09
1844,1.6273584151349496e-06,1.4819115712327857e-08,3.841992946007622e-09
1845,1.4184939800543361e-06,3.069125442678455e-08,5.022204985216661e-09
1846,1.4279128208727343e-06,2.1076204337333593e-08,1.1709002656346001e-09
1847,1.4405300134967547e-06,2.2651539310913904e-08,2.6966118227278457e-09
1848,1.187474708785885e-06,2.091757567157515e-08,4.02261068899179e-09
1849,1.2719951882900205e-06,1.1731180471485914e-08,8.379414939696517e-10
1850,1.4331570810099947e-06,2.0366987207864895e-08,4.073397619208663e-09
1851,1.2860181186624686e-06,2.8377530547629704e-08,1.2898877521649865e-09
1852,1.2923433132527862e-06,1.7578472899515418e-08,0.0
1853,1.4231113709683996e-06,1.6721408924169623e-08,1.7915795513800958e-09
1854,1.523368837297312e-06,3.013485372349578e-08,5.195664343204953e-09
1855,1.4280967661761679e-06,2.812676669350367e-08,1.0613874223963649e-09
