year,grand_ADJ anneau_NOUN,grand_ADJ panneau_NOUN
1800,1.0061326349841693e-07,1.5720821977538435e-08
1801,9.524730160137551e-08,0.0
1802,1.2308120744819462e-07,0.0
1803,5.460949736857401e-08,0.0
1804,1.1617699224863998e-07,0.0
1805,7.107194477384837e-08,7.391481915419718e-08
1806,1.4408345627714425e-08,3.1698359492793315e-08
1807,3.701041606518629e-08,8.540865792383556e-09
1808,9.744118045773575e-08,3.3991110370834576e-08
1809,6.09938268780752e-08,1.581321384946932e-08
1810,2.3401266702194334e-08,1.8721014072298203e-08
1811,4.262030373070047e-08,7.521229861140455e-09
1812,1.3336041604361526e-08,4.000812481308458e-08
1813,7.76450239658999e-08,8.627225156487839e-09
1814,5.034683425719777e-08,3.776012391654149e-08
1815,9.710004889029733e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,1.3905623319487859e-08
1817,6.383181272440197e-08,1.2454987263765815e-08
1818,5.96058882251782e-08,3.099506074022429e-08
1819,6.521161566297451e-08,3.1053151161586356e-09
1820,6.882559233645225e-08,1.1866481131050932e-08
1821,5.621048160264763e-08,1.676452932031225e-08
1822,5.1130641054442094e-08,2.0051231786055723e-09
1823,4.4472091786929013e-08,9.882686669016039e-09
1824,1.0863235289093609e-07,1.6000115010683658e-08
1825,6.339919167430708e-08,3.3460683113162304e-08
1826,8.719904798226707e-08,8.807984341885344e-10
1827,4.885154802902747e-08,1.4747636667422626e-08
1828,8.163348275136428e-08,3.118582370120748e-08
1829,6.944272645803551e-08,2.2290258527846163e-08
1830,3.235419043789989e-08,1.1480519646056564e-08
1831,9.510635834431014e-08,5.76874619184764e-08
1832,5.006088621417604e-08,1.0688675899928057e-07
1833,7.41352224054026e-08,5.79181431703546e-08
1834,4.573920264761e-08,1.6802156110884425e-08
1835,6.050470346963266e-08,6.201732105637348e-08
1836,4.5029024398068884e-08,2.1506400216253496e-08
1837,1.0019363116953173e-07,6.192522761239161e-08
1838,2.840472879128697e-08,1.4517972601879592e-08
1839,8.180025901083354e-08,3.425822825420255e-08
1840,3.6944195591637197e-08,4.0129037870428874e-08
1841,3.146068650039524e-08,4.8154113585496816e-08
1842,7.647422251011449e-08,1.7441490030023488e-08
1843,5.5524964182041003e-08,2.2446261738195972e-08
1844,5.872760505676311e-08,3.0187088384536764e-08
1845,5.747634901354104e-08,4.408380149811819e-08
1846,4.6836010625384006e-08,3.1614305839866574e-08
1847,5.44715597072809e-08,2.588747349818732e-08
1848,5.712107409294731e-08,1.930853166243196e-08
1849,6.200767188602185e-08,1.5920888163378777e-08
1850,7.19633561629962e-08,4.8880772318682375e-08
1851,8.255281613855914e-08,2.3862924081186065e-08
1852,1.1198138438750505e-07,5.599069075046259e-08
1853,7.644072663737234e-08,8.002388973693542e-08
1854,4.728054681102378e-08,1.454786069388092e-08
1855,7.270503488143731e-08,5.837630823180007e-08
1856,3.572260576234498e-08,4.814786080942213e-08
1857,7.175818694804548e-08,3.41705628237321e-08
1858,6.312841804856362e-08,4.257498242843383e-08
1859,5.754155862902621e-08,3.6663648783630265e-08
