year,eût_VERB osé_VERB,eût_VERB posé_VERB
1800,6.571303856617305e-07,1.2576657937302116e-08
1801,7.810278930264758e-07,2.8574191901498125e-08
1802,5.415573127720563e-07,3.5805442166747525e-08
1803,4.602800629527337e-07,3.510610468993036e-08
1804,7.069493790368142e-07,9.887403784603066e-09
1805,6.680762680844055e-07,4.264316544322355e-08
1806,6.800739242862619e-07,1.4408345627714425e-08
1807,4.5551280436484376e-07,2.2775640928784924e-08
1808,5.076005891169189e-07,1.1330369531492579e-08
1809,5.670166842719482e-07,3.388545621874073e-08
1810,6.341743414850498e-07,5.148278958699848e-08
1811,6.869390176689194e-07,5.0141535368197765e-09
1812,5.227728365753137e-07,5.3344164641089264e-09
1813,7.275626217051467e-07,1.1502966579257645e-08
1814,9.219763796863845e-07,3.4613449884091096e-08
1815,5.286557893668942e-07,1.0788894222457657e-08
1816,5.029200451645011e-07,3.0128852301913867e-08
1817,6.710124580422416e-07,2.1796227045456362e-08
1818,7.951425118335465e-07,2.5034472272977837e-08
1819,8.384350280721264e-07,3.415846450138815e-08
1820,6.657095923401357e-07,3.085285271708926e-08
1821,7.46514672300691e-07,1.1833785507064931e-08
1822,7.449032750628248e-07,3.408709403629473e-08
1823,8.775825790507952e-07,2.2730180404550993e-08
1824,8.631640753264946e-07,2.5263338088166165e-09
1825,9.131244382842851e-07,3.434122675116669e-08
1826,6.103933287704422e-07,1.6735169694470642e-08
1827,6.295397270150715e-07,3.133872894522938e-08
1828,5.824411459798284e-07,2.4765213879618386e-08
1829,7.098589662746235e-07,1.0287811491593857e-08
1830,6.669138201687019e-07,3.861629238599562e-08
1831,4.661770560687728e-07,4.5214498811674275e-08
1832,6.41320525573974e-07,5.953186388296672e-08
1833,5.722312721445633e-07,2.3167256557599103e-08
1834,6.254135769268032e-07,3.827157613045529e-08
1835,5.377355591917876e-07,4.9916380362446944e-08
1836,5.900818678128417e-07,3.1587525484155776e-08
1837,5.942038683315332e-07,2.7135774516295896e-08
1838,6.564648629137082e-07,4.1660268124132926e-08
1839,6.075591727494611e-07,2.7266752411492234e-08
1840,5.235884259491286e-07,2.8663599493938818e-08
1841,6.221511625881249e-07,4.8154113585496816e-08
1842,5.889856993235298e-07,3.957876515414682e-08
1843,6.013235633872682e-07,3.9576303123567413e-08
1844,5.762989303548238e-07,3.402907822191992e-08
1845,4.737613608085667e-07,5.0780073479472776e-08
1846,4.806545348401414e-07,3.805426018743674e-08
1847,4.352331473000959e-07,1.6179670936367074e-08
1848,4.762771368405083e-07,4.34441957963827e-08
1849,4.952234462507477e-07,4.022119171054328e-08
1850,5.58734370770253e-07,4.2091777174846357e-08
1851,4.824180450668791e-07,1.805842941848823e-08
1852,4.42717094983891e-07,2.3437962681782665e-08
1853,5.374738520913525e-07,4.41922942684414e-08
1854,5.11772952904721e-07,3.585008556683533e-08
1855,4.776243258675095e-07,3.343370380548549e-08
1856,5.482643246068619e-07,4.141751475117417e-08
1857,6.624208026551059e-07,4.246912865824015e-08
1858,5.422193112281093e-07,6.557525722428181e-08
1859,5.321321054907457e-07,5.244938705573077e-08
1860,4.833506181967095e-07,3.158256944857385e-08
1861,5.560121394410089e-07,4.527325359049428e-08
1862,4.594791960244038e-07,3.027050965442868e-08
1863,4.969647875441296e-07,3.9457503930862003e-08
1864,4.871443479714799e-07,5.418042547944424e-08
1865,5.285785960040812e-07,5.271665770578693e-08
1866,4.753703706228407e-07,4.670988573707291e-08
1867,4.79457753499446e-07,3.542552207136396e-08
1868,4.3668487137438206e-07,5.9278487896108345e-08
1869,5.030024681218492e-07,4.785848872757015e-08
1870,4.661781645154406e-07,3.268407766654491e-08
1871,5.491148726832762e-07,3.717412155879174e-08
1872,4.468983831884543e-07,3.749350341308855e-08
1873,4.1303431430605997e-07,3.412022664406322e-08
1874,4.3734138444051496e-07,4.958925714504403e-08
1875,4.0680058077668946e-07,3.1468399441791917e-08
1876,4.347084541223012e-07,3.929909553335165e-08
1877,3.5191604297324375e-07,3.64904160221613e-08
1878,3.949564018057572e-07,2.4156355138416075e-08
1879,3.256270417750784e-07,3.176849006081284e-08
1880,3.465636950750195e-07,2.1178893305773272e-08
1881,2.8726731216011103e-07,2.1614773970668466e-08
1882,3.50738787346927e-07,2.5956001792337702e-08
1883,3.102795460563357e-07,3.5388296737437486e-08
1884,3.155611238980782e-07,1.386356363042296e-08
1885,2.47512417672624e-07,3.674012205578947e-08
1886,3.110569650743855e-07,2.1296431285122708e-08
1887,2.5071071263482736e-07,3.590908548289917e-08
1888,2.7518268552739755e-07,1.3315291091942072e-08
1889,3.057386663840589e-07,2.1301465480405568e-08
1890,2.1760563129191723e-07,2.4251230357208442e-08
1891,2.3202160548407846e-07,4.398211927991724e-08
1892,2.2065162852413778e-07,3.13425623232888e-08
1893,2.3401982218729245e-07,3.0176241949675386e-08
1894,2.8104864213673864e-07,2.2055386850183822e-08
1895,1.9500311054798658e-07,2.046328972937772e-08
1896,2.323429413308986e-07,3.2433661090180976e-08
1897,2.2199778015874472e-07,3.029891004757701e-08
1898,2.478359419910703e-07,1.6975064909274806e-08
1899,2.122590103681432e-07,2.3768587098516036e-08
1900,1.9518360261372436e-07,2.803168719367477e-08
1901,1.9895909986189508e-07,2.179608138419553e-08
1902,1.9395621109197236e-07,2.1605249145295602e-08
1903,2.3544960470189835e-07,1.9440793863623185e-08
1904,1.967112837064633e-07,1.9348650681649815e-08
1905,1.9559276154268446e-07,1.909480928929952e-08
1906,1.5895530225407128e-07,1.8519063615940468e-08
1907,1.7177096367504419e-07,1.6457098794830927e-08
1908,1.9645555937586323e-07,1.964555629285769e-08
1909,2.0133599321070506e-07,1.8153246017504898e-08
1910,1.7689139042431634e-07,3.20649036211762e-08
1911,1.6759177867697872e-07,3.6710581241550244e-08
1912,2.0941872946877993e-07,2.5005221004903433e-08
1913,1.8825613778972183e-07,1.96210621083992e-08
1914,1.7344565605981188e-07,2.5447626228469744e-08
1915,1.7435527865927725e-07,2.8273827723523937e-08
1916,1.7579938571543607e-07,2.5271162940043723e-08
1917,1.261138748986923e-07,2.631941953268324e-08
1918,2.3776799196184584e-07,3.675640414257941e-08
1919,2.375624887918093e-07,3.1306683467846597e-08
1920,1.8627690678840736e-07,4.164727585020955e-08
1921,1.703868122149288e-07,4.0892835784234194e-08
1922,1.7116809658546117e-07,3.467629738906908e-08
1923,1.8896388098710304e-07,4.352538596208433e-08
1924,2.0497682839959452e-07,1.933743654092268e-08
1925,1.9686738994550979e-07,3.079489729884699e-08
1926,2.2292276469215722e-07,3.4553028882555736e-08
1927,2.542023196383525e-07,2.6758140592164636e-08
1928,1.5425155197590357e-07,2.8565102283550914e-08
1929,1.8827286396572163e-07,3.4535258208734376e-08
1930,2.079713539160366e-07,1.6805765667982087e-08
1931,1.3572373802617221e-07,3.079446386777818e-08
1932,1.3809015797505708e-07,3.616647248350091e-08
1933,1.8582473160222435e-07,3.211785326584504e-08
1934,1.4497712186312128e-07,2.875579241390369e-08
