year,fallait_VERB oser_VERB,fallait_VERB poser_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,3.095537337571841e-08,4.7623651688866175e-09
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,9.751696339321825e-09,1.950339223455444e-09
1804,7.4155526164076946e-09,9.887403784603066e-09
1805,1.9900143755080535e-08,1.421438877713399e-08
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,2.4849335034105025e-08,1.8072244145628247e-08
1810,0.0,3.042164919975221e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,2.9339290108509886e-08
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,3.0128852301913867e-08,4.1716869958463576e-08
1817,3.113746815941454e-09,1.401186100480345e-08
1818,1.0729059418679299e-08,8.344824387052086e-09
1819,1.035105001712111e-09,2.4842520929269085e-08
1820,2.3732962262101864e-09,3.559944161679596e-08
1821,1.4792232327920374e-08,3.550135829755163e-08
1822,1.2030739071633434e-08,3.709477880420309e-08
1823,1.2847492847356534e-08,9.882686669016039e-09
1824,1.431589158329416e-08,8.421112696055388e-10
1825,1.937197424695114e-08,2.641632912414593e-09
1826,1.9377566218281572e-08,1.5854372037438225e-08
1827,2.5808365222701468e-08,5.346018383534101e-08
1828,1.4675682002973645e-08,1.4675682002973645e-08
1829,1.2859763920403111e-08,2.1432940755516938e-08
1830,1.5655253093882493e-08,2.400472176589119e-08
1831,2.182768810143898e-08,3.897801548191637e-08
1832,9.470978667991403e-09,2.705993829010822e-08
1833,1.1583628278799551e-08,8.108539617524002e-09
1834,2.333632664885954e-08,5.600718466780563e-08
1835,1.5126175867408165e-08,3.781543966852041e-09
1836,9.409050427677812e-09,2.9571300075303952e-08
1837,2.0873672568200163e-08,3.75726116885744e-08
1838,1.64116205070286e-08,3.597932263232906e-08
1839,2.6567605004856887e-08,3.775396706373613e-08
1840,3.248541347034006e-08,3.3759349093998026e-08
1841,4.494383976094696e-09,3.659712533021775e-08
1842,1.0733224087289273e-08,1.8112315203211438e-08
1843,1.7130041385371442e-08,3.071593823733565e-08
1844,1.866110821424627e-08,3.567564732520623e-08
1845,3.57134588568897e-08,4.910600637231255e-08
1846,2.5759806732139623e-08,5.73741125720062e-08
1847,2.8044762956369595e-08,5.501087940729121e-08
1848,1.769948809737798e-08,1.769948809737798e-08
1849,2.6814127807028854e-08,2.76520690789539e-08
1850,1.0862393651223101e-08,2.9192683825840504e-08
1851,2.7087642351375507e-08,3.0957306051959677e-08
1852,1.1718981340891332e-08,1.8880582430824688e-08
1853,4.180352064508952e-09,2.7470886010405593e-08
1854,1.8704392701351935e-08,5.403490987987425e-08
1855,2.2289135870323662e-08,1.3798036491152743e-08
1856,1.2942972915652717e-08,2.9509978460851016e-08
1857,1.757343248698362e-08,2.5871997877402464e-08
1858,2.936205500958522e-09,2.495774786837046e-08
1859,2.1387128512628806e-08,3.819129901216911e-08
1860,1.876645328025006e-08,3.158256944857385e-08
1861,1.3676294763342867e-08,3.5369726703038395e-08
1862,1.8523744316212287e-08,1.581295272501393e-08
1863,2.9967726078439227e-09,2.4973104473247076e-08
1864,1.0068928801842958e-08,4.17141343689309e-08
1865,8.001635798393636e-09,2.447559133145205e-08
1866,1.6543083347642096e-08,3.8924902412418305e-08
1867,2.3778776281346836e-08,2.4749338578544666e-08
1868,9.87974857480367e-09,2.222943251695142e-08
1869,7.813630631403612e-09,2.8324411260882698e-08
1870,1.3761717099214366e-08,1.0321287824410774e-08
1871,2.1242354542039266e-09,4.354682658913589e-08
1872,1.8142017887967654e-09,1.5723081503438152e-08
1873,1.6760813181804224e-08,3.8909028887701425e-08
1874,1.6131444624534197e-08,2.6885741633009275e-08
