year,seront_VERB à_ADP,seront_VERB a_ADP,seront_VERB pas_ADV
1800,2.6662514756026212e-06,4.7162467708972144e-08,6.473834673670353e-06
1801,2.012099230341846e-06,1.1905912700171939e-08,5.586254246736644e-06
1802,2.437007879052544e-06,3.1329761895904085e-08,5.475994839798659e-06
1803,2.457427399349399e-06,1.3652374342143503e-08,5.537012839340605e-06
1804,2.5015131086547626e-06,2.4718509461507665e-09,6.641863365075551e-06
1805,2.928164121840382e-06,8.528632911009026e-09,5.412839072960196e-06
1806,3.440713044255972e-06,4.3225035994964855e-08,7.408771125483327e-06
1807,3.8433895497291815e-06,2.8469551160981155e-08,7.595676379423821e-06
1808,3.2155589906324167e-06,3.172503637571822e-08,6.1705195548711345e-06
1809,3.079058615185204e-06,3.840351947559384e-08,5.746973783971043e-06
1810,3.09598772219033e-06,1.4040760554223652e-08,7.167808234953554e-06
1811,3.367004183019162e-06,7.771938115297417e-08,6.904489509906853e-06
1812,2.9766044917778345e-06,3.200649834056435e-08,6.054562618373893e-06
1813,2.982143996632658e-06,4.888760796184499e-08,5.820500973641174e-06
1814,3.2599575661151903e-06,9.440031423224582e-09,6.013300207996508e-06
1815,3.174632183799986e-06,2.4275012000529728e-08,6.675628355878871e-06
1816,3.223786961825681e-06,2.3176038865813098e-08,7.212383479782147e-06
1817,2.6793791221280117e-06,2.8023721343473085e-08,6.201026735652704e-06
1818,3.281900035290164e-06,1.6689648107970356e-08,7.221849045890849e-06
1819,2.964540726679843e-06,2.6912729822470283e-08,6.544968982780119e-06
1820,3.206323299309588e-06,1.6613073583471305e-08,6.210916126292432e-06
1821,2.523554940125905e-06,1.6764529986446064e-08,6.253169885894749e-06
1822,2.8021595426253043e-06,1.9048670196752937e-08,5.712595793738728e-06
1823,2.0180445972073358e-06,3.953074634299725e-08,4.781244115292793e-06
1824,2.617281779748737e-06,1.8526447931321854e-08,5.437512299977243e-06
1825,2.9859256756026298e-06,1.7610886082763955e-08,5.7464321798761375e-06
1826,3.1664703783462755e-06,1.145037975547325e-08,6.228125585039379e-06
1827,3.441729859332554e-06,2.6730091917670507e-08,7.73697865952272e-06
1828,2.735180260060588e-06,2.109629271274116e-08,6.279357421590248e-06
1829,3.0349042390298564e-06,2.143293986733852e-08,6.443598977057263e-06
1830,2.4589185159129556e-06,1.5655253760016308e-08,6.021010449330788e-06
1831,3.0589947073167423e-06,4.833273958837481e-08,7.36060837880359e-06
1832,2.5747531253728084e-06,2.1647950210201827e-08,6.2034910115471575e-06
1833,2.5657736841822043e-06,2.6642344885807745e-08,6.668694823019905e-06
1834,3.564857252058573e-06,2.0535967593104942e-08,7.903547157184221e-06
1835,2.9972518404974835e-06,2.7227116561334697e-08,6.0572770053113345e-06
1836,3.0559251626982586e-06,2.6210924986003192e-08,6.293982551142108e-06
1837,2.5806816665863153e-06,2.0873672124110954e-08,5.9218609749223106e-06
1838,2.5905112579494016e-06,3.408567472718005e-08,5.5831073950685095e-06
1839,2.897267222579103e-06,1.5381245610512906e-08,6.095867320254911e-06
1840,2.765081944744452e-06,2.93005673057678e-08,6.491349722637096e-06
1841,2.554094180595712e-06,1.733548193882939e-08,6.391013812390156e-06
1842,2.3512468487751903e-06,2.884554017867913e-08,5.771791165898321e-06
1843,2.3621737454959657e-06,2.658110043185502e-08,6.015598046360537e-06
1844,2.2332956177706365e-06,2.9089374908863874e-08,5.59119735044078e-06
1845,2.6020602490461897e-06,4.0735663120461396e-08,6.329094503598753e-06
1846,2.400345465503051e-06,2.2832554291696283e-08,6.495569323305972e-06
1847,2.731667791522341e-06,5.501088207182647e-08,6.863416274427436e-06
1848,2.6589457320369547e-06,3.5398974640443726e-08,6.707301508868113e-06
1849,2.6847644676308846e-06,8.295620546050486e-08,7.258249297592556e-06
1850,2.3435613911715336e-06,1.9009189777818847e-08,6.379619662766345e-06
1851,2.2547237676917575e-06,3.934157510876446e-08,6.482976004917873e-06
1852,2.564503802204854e-06,3.05995628835376e-08,6.316531198535813e-06
1853,2.1863243091502227e-06,3.105404489112118e-08,5.33651837031357e-06
1854,2.2699857709085336e-06,4.831967964635808e-08,5.793165655632038e-06
1855,2.166291778848972e-06,2.9718847827098216e-08,5.212473752180813e-06
1856,2.222049715783214e-06,2.2779632291580754e-08,5.603789759334177e-06
1857,1.8813335600498249e-06,2.1966791607930247e-08,5.249574769550236e-06
1858,2.2231970433495007e-06,3.2787628556629755e-08,5.212254109210335e-06
1859,2.30115324484359e-06,2.698851875315711e-08,5.887061433895724e-06
1860,2.3975289877853356e-06,2.7463103874358907e-08,5.986956693959655e-06
1861,2.6329225875088014e-06,8.913171722912949e-08,6.682048933726037e-06
1862,2.4681758077349514e-06,5.286044049701566e-08,6.250634214666206e-06
1863,2.3459733711206354e-06,2.3974179197416845e-08,5.969071480649291e-06
1864,2.7152543680131203e-06,3.3563095414024247e-08,5.637161848426331e-06
1865,2.582174829512951e-06,2.8241066818424088e-08,5.7178745009878185e-06
1866,2.0002535165986046e-06,1.9949013552178485e-08,5.5774521570128854e-06
1867,2.5365645797137404e-06,4.464586567110018e-08,5.293932190397754e-06
1868,2.577626219135709e-06,3.60610815652862e-08,5.775700628873892e-06
1869,2.2430003809859045e-06,3.2231225244316875e-08,5.654138476529624e-06
1870,2.2758440536563285e-06,2.5229813793714584e-08,5.5511327445856296e-06
1871,2.666977707121987e-06,5.5230122475435905e-08,7.1374311119143385e-06
1872,2.2193735276232474e-06,3.688876892837811e-08,6.297699201240903e-06
1873,2.3105976652004756e-06,2.9331422179978972e-08,5.890228294447297e-06
1874,2.7925323138333624e-06,3.823749689102485e-08,5.900523774471367e-06
1875,2.4648338694532868e-06,3.776207790906483e-08,5.983000846754294e-06
1876,2.7194973881705664e-06,5.8041740746972437e-08,5.992205387883587e-06
1877,2.4343435143237002e-06,3.339800735968623e-08,5.411714028014103e-06
1878,2.3190100364445243e-06,3.2611079170408175e-08,5.954541393293766e-06
1879,2.4956593733804766e-06,4.948553466999073e-08,6.136817319202237e-06
1880,2.793046633087215e-06,4.1715999765656875e-08,6.980049420235446e-06
1881,2.123825879607466e-06,3.3468037008432816e-08,6.590414159290958e-06
1882,2.067162540697609e-06,3.793569547383413e-08,6.23010600975249e-06
1883,2.1397281670942903e-06,3.7916033257534565e-08,6.443197889893781e-06
1884,2.1831810954608954e-06,3.234831424947515e-08,6.1468399508157745e-06
1885,2.232768110843608e-06,4.1896630609272734e-08,6.034404123056447e-06
1886,2.272264737257501e-06,4.581959212046627e-08,5.976552984066075e-06
1887,2.50057814810134e-06,3.52561939642726e-08,6.514560936921043e-06
1888,2.3770965071889805e-06,4.755461024963381e-08,6.397046035999665e-06
1889,2.2316417016554624e-06,3.445825108583378e-08,5.83221572014736e-06
1890,2.181955323976581e-06,3.2771932723107966e-08,6.316462076938478e-06
1891,2.376309339524596e-06,3.697047767925454e-08,6.308565389190335e-06
1892,2.434690259178751e-06,5.0774949134080316e-08,6.419583314709598e-06
1893,2.2638339487457415e-06,3.263960690613743e-08,6.597511855943594e-06
1894,2.3882832920207875e-06,2.3945848637296763e-08,6.0135589592391625e-06
1895,2.5880042358039645e-06,3.5509827078783474e-08,6.590984867216321e-06
1896,2.5333636131108506e-06,4.009979592822788e-08,6.391199804056669e-06
1897,2.5754072794370586e-06,4.195233749282323e-08,6.71820089337416e-06
1898,2.560971324783168e-06,3.3384293107729945e-08,6.118944838817697e-06
1899,2.5907759209076175e-06,4.2009594025671504e-08,6.298123025771929e-06
1900,2.3193624656414613e-06,4.464305580764716e-08,6.030446456861682e-06
1901,2.3869504275353393e-06,3.241468499171063e-08,6.35998503639712e-06
1902,2.264131808260572e-06,2.7497590426861507e-08,6.009696335240733e-06
1903,2.7746332307287958e-06,3.7801541896698154e-08,6.6336306190351024e-06
1904,2.4798521280899877e-06,3.332267617395246e-08,6.861784186185105e-06
1905,2.4921305339375976e-06,2.9416326707831786e-08,6.9567031459882855e-06
1906,2.4218820726673584e-06,4.372556716703002e-08,7.0686237449990585e-06
1907,2.552393198129721e-06,5.0399864726102805e-08,7.0744954427937046e-06
1908,2.4198413939302554e-06,4.22379444753318e-08,6.877909072500188e-06
1909,2.501297331036767e-06,3.6306492368076704e-08,6.681494596705306e-06
1910,2.3706652427790686e-06,4.7028525851366965e-08,6.626746653637383e-06
1911,2.551651505200425e-06,3.6178544604581475e-08,6.388173005689168e-06
1912,2.57710075857176e-06,2.8651816474933867e-08,6.493543423857773e-06
1913,2.4669507183716632e-06,2.4924052155483878e-08,6.479723197116982e-06
1914,2.270865707032499e-06,3.683208993354725e-08,6.9820248427276965e-06
1915,2.7225341909797862e-06,3.416420901736217e-08,8.16995816421695e-06
1916,2.7128044166602194e-06,2.966614687238689e-08,8.774587513471488e-06
1917,2.345718257856788e-06,3.070598797449975e-08,8.741337296669371e-06
1918,2.4982869035738986e-06,3.5607766513123806e-08,8.560796231904533e-06
1919,2.9317789085325785e-06,3.406903859026755e-08,8.783366865827702e-06
1920,2.3640507151867496e-06,1.9687802055301518e-08,7.88042143540224e-06
1921,2.4331236545549473e-06,2.8019165654313838e-08,7.444010861945571e-06
