year,avaient_VERB eu_VERB,avaient_VERB pu_VERB
1800,2.920928864114103e-06,1.1884941386597347e-06
1801,2.666924501681933e-06,1.0524827303015627e-06
1802,2.4728133212192915e-06,7.340115644183243e-07
1803,2.636858653204399e-06,9.595669325790368e-07
1804,3.6237333915778436e-06,1.4163705372993718e-06
1805,2.6609334327076795e-06,1.0376503496445366e-06
1806,2.665543888724642e-06,1.1641943729046034e-06
1807,5.819176294608042e-06,1.8562146806289093e-06
1808,2.678499413377722e-06,1.1624960052358801e-06
1809,3.9307133192778565e-06,1.4999963013906381e-06
1810,3.4399863579892553e-06,1.6544696563869365e-06
1811,4.821108632313553e-06,1.792559942259686e-06
1812,4.491578692977782e-06,1.8350392565480433e-06
1813,4.468902716325829e-06,2.007267767112353e-06
1814,3.731959168362664e-06,1.8911529195975163e-06
1815,5.782847438240424e-06,2.257576170450193e-06
1816,4.271344096196117e-06,1.756743699843355e-06
1817,5.372769919631537e-06,2.3104000774765154e-06
1818,5.265584150038194e-06,2.2352207906806143e-06
1819,6.149558885226725e-06,1.9791207250818843e-06
1820,6.6808288465836085e-06,2.3448167212336557e-06
1821,6.580571152881021e-06,2.4870673769328278e-06
1822,6.089559065003414e-06,2.3650427465327084e-06
1823,6.825971922808094e-06,2.47956609200628e-06
1824,6.390782345988555e-06,2.86486260847596e-06
1825,6.159407348604873e-06,2.798369905576692e-06
1826,6.24838412477402e-06,2.490017095624353e-06
1827,7.009736236796016e-06,2.989161657751538e-06
1828,6.781999672966776e-06,2.6911532131634885e-06
1829,7.746722076262813e-06,3.049478664252092e-06
1830,6.818384918005904e-06,2.8283825486141723e-06
1831,6.434490842366358e-06,2.740933950917679e-06
1832,6.727100753778359e-06,2.8913543701492017e-06
1833,6.7949563344882336e-06,2.785862761811586e-06
1834,6.630317329836544e-06,2.7396847599447938e-06
1835,6.739467607985716e-06,2.6992661332769785e-06
1836,7.173056474130135e-06,2.82607538792945e-06
1837,7.209766408777796e-06,2.809596253428026e-06
1838,7.589743290736806e-06,2.7413718726165826e-06
1839,7.096347417245852e-06,2.962288135677227e-06
1840,8.220083145715762e-06,3.4211598176625557e-06
1841,6.756343282177113e-06,3.082505372731248e-06
