year,peuvent_VERB unir_VERB,peuvent_VERB punir_VERB
1800,3.144164395507687e-08,6.60274537267469e-08
1801,2.1430643926123594e-08,2.8574191901498125e-08
1802,1.1189200677108602e-08,1.5664880947952042e-08
1803,0.0,2.9255089017965474e-08
1804,6.426812149129546e-08,2.7190360185613827e-08
1805,8.528632911009026e-09,1.1371510844071508e-08
1806,2.0171682990621775e-08,1.729001475325731e-08
1807,8.540865792383556e-09,3.9857372513552036e-08
1808,2.945896149242344e-08,1.1330369531492579e-08
1809,1.581321384946932e-08,3.6144488291256494e-08
1810,7.020380277111826e-09,1.1700633351097167e-08
1811,0.0,6.267691787797958e-08
1812,3.200649700829672e-08,5.3344166417446104e-08
1813,1.7254450312975678e-08,1.1502966579257645e-08
1814,1.8880061958270744e-08,8.496028414128887e-08
1815,8.091670444798638e-09,1.8880564667256294e-08
1816,2.3176038865813098e-08,2.0858434979231788e-08
1817,1.401186100480345e-08,3.42512151974006e-08
1818,1.1921176934492905e-08,3.099506074022429e-08
1819,5.072014630513877e-08,4.5544620519422097e-08
1820,3.559944161679596e-08,2.7292905713238724e-08
1821,1.3806083387635226e-08,1.4792232327920374e-08
1822,1.1028177482330648e-08,3.308453244699194e-08
1823,2.8659792761231984e-08,6.423746157224741e-08
1824,2.189489300974401e-08,1.51580028528997e-08
1825,1.1447076175841175e-08,4.402721387464226e-08
1826,1.145037931138404e-08,5.549030035467695e-08
1827,1.566936447261469e-08,6.175572764277604e-08
1828,1.7427371545863934e-08,3.5771975603893225e-08
1829,1.0287811491593857e-08,2.4862210068476998e-08
1830,2.7135772739939057e-08,4.383471008395645e-08
1831,7.795603274018958e-09,4.053713453799901e-08
1832,8.117981842303834e-09,5.141388470519814e-08
1833,1.2741991461950875e-08,2.3167256557599103e-08
1834,5.600718555598405e-09,1.9602515166639023e-08
1835,6.050470346963266e-09,3.1764969321557146e-08
1836,6.72075017860152e-09,1.5457725766054864e-08
1837,1.3915781860163179e-09,1.530736071231331e-08
1838,8.2058102535143e-09,2.3354999711955315e-08
1839,2.1673573158409454e-08,2.586845759822154e-08
1840,9.554533164646273e-09,2.165694112932215e-08
1841,2.5682194149112547e-09,4.044945711711989e-08
1842,7.379091560011375e-09,1.542900918138912e-08
1843,3.485077471054865e-08,3.071593823733565e-08
1844,3.567564732520623e-08,1.920996517412732e-08
1845,8.37034175305007e-09,2.8459162138005922e-08
1846,1.2294452567118697e-08,2.1661655580373917e-08
1847,8.629157832729106e-09,3.3977308078192436e-08
1848,6.43617736884039e-09,3.700802153616678e-08
1849,1.005529792763582e-08,4.8600607982507427e-08
1850,2.1045888587423178e-08,1.0183494048021657e-08
1851,1.483370937194195e-08,2.579775504329973e-08
1852,2.7344290387532055e-08,2.4740073101270355e-08
1853,1.0152284346531815e-08,2.20961471342207e-08
1854,1.0910895298366086e-08,3.948704829781491e-08
1855,1.6982198758341838e-08,2.5473298137512757e-08
1856,1.65670055451983e-08,3.158085348786699e-08
1857,2.0502337605421417e-08,2.0502337605421417e-08
1858,1.2234189661342043e-08,1.9085335978274998e-08
1859,1.2730433596175317e-08,2.5460867192350634e-08
1860,1.4646988510946812e-08,1.6935580049448618e-08
1861,6.6023493339173456e-09,9.903524222920623e-09
1862,1.9427341513278407e-08,7.680577063240435e-09
1863,1.9479021062807078e-08,9.989241434027463e-09
1864,1.821996598039277e-08,1.6781548595190543e-08
1865,1.835669216632141e-08,1.3649848362717876e-08
1866,1.0704348518686402e-08,6.3252967308358166e-09
1867,3.008743121313273e-08,9.7056229719783e-09
1868,2.222943251695142e-08,3.112120694481746e-08
1869,3.1742874995188686e-08,3.809144999422642e-08
1870,1.2614907340946502e-08,1.834895613228582e-08
1871,1.3807530230280918e-08,5.3105884134652115e-09
1872,1.1489944995446422e-08,9.675742873582749e-09
1873,2.573981916498269e-08,1.0774807712721213e-08
1874,1.1351757756017378e-08,1.2546679251101978e-08
1875,1.716458086775674e-08,8.010138330405425e-09
1876,2.6602464231473277e-08,5.441413541973361e-09
1877,1.9791411176584006e-08,1.0514186854493346e-08
1878,2.7779808675632012e-08,1.509772218355465e-08
1879,1.4051448005147904e-08,2.016077260691418e-08
1880,8.343199908722454e-09,2.3746030919369332e-08
1881,3.4862537301449947e-09,8.367009307619355e-09
1882,7.320923423037584e-09,3.9932310791357395e-09
1883,1.0742875922176154e-08,5.0554711528150165e-09
1884,1.1222884843675729e-08,9.902545450302114e-09
1885,1.6114089618213256e-08,1.4824961702686323e-08
1886,3.549405036551434e-08,2.5813855497602844e-09
1887,1.2404957061562527e-08,1.3057849024278312e-08
1888,1.5851536971922542e-08,7.60873763994141e-09
1889,1.6915869593958632e-08,8.14467782106476e-09
1890,1.1142456735058204e-08,1.1797895993481688e-08
1891,4.461953917456185e-09,6.3742202627281586e-09
1892,2.4447198043731078e-08,5.014809900671935e-09
1893,1.4780200174868696e-08,4.926733243593162e-09
1894,2.7726773765834878e-08,8.822155450616265e-09
1895,6.018614495673091e-09,9.027921521465032e-09
1896,2.299841384001411e-08,8.255840455717589e-09
1897,2.9133568446582103e-08,1.7480140002135158e-08
1898,1.6975064909274806e-08,1.7540900287826844e-08
1899,1.713549302451156e-08,4.4220627160029835e-09
1900,1.86877908703309e-08,3.114631885736685e-09
1901,1.397184767881754e-08,1.0618603774048552e-08
1902,2.3078333910575566e-08,9.329538919189417e-09
1903,2.214090244478939e-08,4.860198465905796e-09
1904,1.0211787859759625e-08,6.449550227216605e-09
1905,1.0321517862621477e-08,1.0321517862621477e-08
1906,3.755254596171653e-08,5.658602919567102e-09
1907,3.805704196224724e-08,1.0285686968813934e-08
1908,1.9154416719402434e-08,1.080505640516094e-08
1909,2.6954818821423032e-08,6.60118004702781e-09
1910,1.3894791983659616e-08,5.878565634276356e-09
1911,1.0640748726586935e-08,1.8089272302290738e-08
1912,2.5526164293410147e-08,1.510732161591477e-08
1913,2.2802856491921375e-08,1.1666577037772186e-08
1914,2.74566485103378e-08,2.678697486047099e-09
1915,4.712304768617059e-09,7.068456930880984e-09
1916,1.9777431248257926e-08,1.0987462051303964e-09
1917,1.864292187292449e-08,3.289927441585405e-09
1918,1.4932290071101306e-08,2.2972752589112133e-09
1919,1.6574126959767455e-08,7.366278698128781e-09
1920,2.4988365154854364e-08,1.514446346106979e-09
1921,2.8019165654313838e-08,6.815472630705699e-09
1922,3.24629176873259e-08,1.2542490601674672e-08
1923,2.1231896241147297e-08,6.369568872344189e-09
1924,1.675911143195208e-08,3.867487219366694e-09
1925,3.519416935660047e-08,9.898360353588487e-09
1926,5.127223801082437e-08,1.2260752413340015e-08
1927,2.2298449309232637e-08,8.919379901328739e-09
1928,1.5996457491951332e-08,3.4278122562625413e-09
1929,1.3368487650211591e-08,4.4561625500705304e-09
