year,est_VERB assez_ADV,est_VERB passé_ADJ
1800,3.37620367645286e-05,0.0
1801,2.985050559800584e-05,1.1905912700171939e-08
1802,3.093813938903622e-05,0.0
1803,3.571656270651147e-05,5.851017448321727e-09
1804,3.0181299734977074e-05,7.4155526164076946e-09
1805,3.069170634262264e-05,1.7057265822018053e-08
1806,2.47304851654917e-05,1.729001475325731e-08
1807,2.6248926587868482e-05,2.8469551160981155e-09
1808,2.9420438295346685e-05,9.064295980465431e-09
1809,2.8877188015030697e-05,1.8072244145628247e-08
1810,2.4409862817265093e-05,7.020380277111826e-09
1811,2.4872708308976144e-05,5.0141535368197765e-09
1812,2.8720498448819853e-05,0.0
1813,2.9950848329463042e-05,2.8757416448144113e-09
1814,2.5374803954036906e-05,0.0
1815,2.5515735615044832e-05,5.394447111228828e-09
1816,2.9897089916630648e-05,4.6352077731626196e-09
1817,3.069998638238758e-05,0.0
1818,2.693590067792684e-05,8.344824387052086e-09
1819,2.5485320293228142e-05,1.035105001712111e-09
1820,2.50928605964873e-05,7.119888678630559e-09
1821,2.573552592366468e-05,3.94459531705138e-09
1822,2.612575190141797e-05,1.0025615893027862e-08
1823,2.3022706955089234e-05,5.929612356680991e-09
1824,2.309069168404676e-05,1.6842225392110777e-09
1825,2.470807339705061e-05,4.4027217427355936e-09
1826,2.4716966436244547e-05,7.927186018719112e-09
1827,2.2996175175649114e-05,2.7651818612639545e-09
1828,2.7733369279303588e-05,9.172301251858528e-10
1829,2.7126387067255564e-05,6.001223074036943e-09
1830,2.7851740014739335e-05,1.0436835840010872e-09
1831,2.8873355404357426e-05,0.0
1832,2.6781221095006913e-05,1.3529969367098715e-09
1833,2.5867400836432353e-05,1.1583628500844156e-09
1834,2.4599288735771552e-05,1.213489042584115e-08
1835,2.3854736355133355e-05,1.1344631900556124e-08
1836,2.19708035729127e-05,4.704525213838906e-09
1837,2.5074847144423984e-05,2.7831563720326358e-09
1838,2.224216405011248e-05,6.312161904276081e-09
1839,2.3283009795704857e-05,6.9914751765765e-10
1840,2.0789389964193106e-05,3.821813088222825e-09
1841,2.2339014321914874e-05,6.420548537278137e-09
1842,2.019523162744008e-05,2.683306021822318e-09
1843,2.1369432943174616e-05,2.953455480181333e-09
1844,2.162767486879602e-05,1.6465684371524958e-09
1845,2.034941644524224e-05,1.1718478631905782e-08
1846,2.252285230497364e-05,6.439951683034906e-09
1847,1.9709535990841687e-05,2.1572894581822766e-09
1848,2.0966652300558053e-05,2.413566457803995e-09
1849,2.0443258108571172e-05,5.02764896381791e-09
1850,2.070168557111174e-05,8.146795238417326e-09
1851,2.1673984520020895e-05,5.8044946626978344e-09
1852,2.2297967007034458e-05,1.9531636308300904e-09
1853,2.3887130737421103e-05,2.9859659189668264e-09
1854,2.2039488612790592e-05,4.1565315633818045e-09
1855,2.168998253182508e-05,4.2455496895854594e-09
1856,2.1541249225265346e-05,1.0354378687793542e-08
