year,aurait_VERB assez_ADV,aurait_VERB passé_VERB
1800,7.231578535993322e-08,1.9493819536364754e-07
1801,1.0000967165524344e-07,1.5239568540437176e-07
1802,6.937304419807333e-08,1.767893706983159e-07
1803,1.5797748176282767e-07,1.7748087088875764e-07
1804,9.88740396223875e-08,1.8538882784469024e-07
1805,8.24434565060983e-08,1.6772978028711805e-07
1806,5.4751712497136396e-08,1.123850950079941e-07
1807,2.0213381901612593e-07,2.619198653519561e-07
1808,4.5321478125970316e-08,1.8581806671136292e-07
1809,4.0662548883574345e-08,2.5301142159150913e-07
1810,1.8721013361755467e-07,2.1763179347544792e-07
1811,1.3036799373367103e-07,2.63243066456198e-07
1812,1.4669645054254943e-07,3.707419580223359e-07
1813,1.581657897986588e-07,2.9620139230246423e-07
1814,1.6677388714469998e-07,2.2026739543434815e-07
1815,1.7531952778426785e-07,3.2366682489737286e-07
1816,1.1588019788177917e-07,4.403447348977352e-07
1817,1.8371106591530406e-07,2.9113533628333244e-07
1818,1.513989502655022e-07,2.992215399899578e-07
1819,2.0495079411375627e-07,3.167421311900398e-07
1820,2.183432457059098e-07,2.55129350534844e-07
1821,2.169527419937367e-07,4.5855921371185104e-07
1822,1.87479017199621e-07,3.60922172149003e-07
1823,1.8678278479455912e-07,5.425595190899912e-07
1824,1.658959263295401e-07,4.17687203935202e-07
1825,1.6906450639453396e-07,3.6278424886404537e-07
1826,1.9994124045297212e-07,3.540809814239765e-07
1827,2.0001482425868744e-07,4.286031867195561e-07
1828,2.008734014680158e-07,3.457957689079194e-07
1829,1.9546841656392644e-07,5.555418169933546e-07
1830,1.8264462653405644e-07,4.623518350399536e-07
1831,1.683850285871813e-07,6.548306714648788e-07
1832,1.8130158707663213e-07,4.2484103346396296e-07
1833,1.7259606011066353e-07,3.718344885328406e-07
1834,1.8575715898805356e-07,3.7058086377328436e-07
1835,2.518508210869186e-07,3.6302822081779595e-07
1836,1.901972268569807e-07,4.4760196260540397e-07
1837,1.5168201628057432e-07,3.576355993573088e-07
1838,1.7042836475411605e-07,4.56369292578529e-07
1839,2.1393914551026683e-07,3.691498875468824e-07
1840,1.9172762222297024e-07,5.191296281736868e-07
1841,2.1187810261835693e-07,4.2889263340839534e-07
1842,2.2003109734214377e-07,3.817002891537413e-07
1843,1.8843046234451322e-07,3.390566973848763e-07
1844,1.8222023356884165e-07,4.352428959464305e-07
1845,2.031202939178911e-07,4.3804789129353594e-07
1846,1.6919508993851196e-07,4.2269499545000144e-07
1847,1.9685266750002484e-07,4.5141283067096083e-07
1848,1.359642425313723e-07,4.86735928006965e-07
1849,1.508294644736452e-07,3.360145512942836e-07
1850,1.5411021081490617e-07,3.319819086300413e-07
1851,1.4446743534790585e-07,4.005101459370053e-07
1852,1.6471679487040092e-07,4.2383649656585476e-07
1853,1.2063301824127848e-07,4.174380308086256e-07
1854,2.156200764602545e-07,3.475899461591325e-07
1855,2.0378638510010205e-07,3.8156878190420684e-07
1856,1.1959306789322e-07,3.9916128002914775e-07
1857,1.6353055798390415e-07,4.774115609507135e-07
1858,1.7959790454824542e-07,4.4826072098658187e-07
1859,1.3850711866325582e-07,4.873210173172993e-07
1860,1.6386317724936816e-07,3.853988914670481e-07
1861,1.5091083582774445e-07,3.8057828533055726e-07
1862,1.8478563390544878e-07,4.3327489152034104e-07
1863,1.4584293239749968e-07,4.0656212263456837e-07
1864,1.261013409248335e-07,3.8022193393771886e-07
1865,1.4167601136705343e-07,3.850198595500842e-07
1866,1.284521857769505e-07,4.2379488718324865e-07
1867,1.4558435168510186e-07,4.527673240772856e-07
1868,1.5708799594449374e-07,4.4607062932300323e-07
1869,1.6555129889184172e-07,4.229127625876572e-07
1870,1.0034585073981361e-07,4.420951711381349e-07
1871,1.625040084718421e-07,4.1953649088100065e-07
1872,1.30622524352475e-07,4.2936108002322726e-07
1873,1.1732569049627273e-07,3.9387910533150716e-07
1874,1.7864081769403128e-07,3.9312928379331424e-07
1875,1.253014403346242e-07,3.650334292615298e-07
1876,1.529641764363987e-07,4.292670610084315e-07
1877,1.3111809948895825e-07,3.704704738538567e-07
1878,1.660749404663875e-07,3.5207887094657053e-07
1879,1.2463023324471578e-07,4.0932479805633193e-07
1880,1.3092406447867688e-07,3.587576031804929e-07
1881,1.6036767647165107e-07,3.95341174908026e-07
1882,1.397630882138401e-07,3.8201909546842217e-07
1883,1.1753970596828367e-07,3.911670773959486e-07
1884,1.577805619490391e-07,3.762967253351235e-07
1885,1.0764211566538506e-07,4.11876129646771e-07
1886,1.2261581616712647e-07,3.697834927152144e-07
1887,9.66280850889234e-08,3.55826387021807e-07
1888,1.0969263541937835e-07,3.442953868670884e-07
1889,9.773613385277713e-08,3.527271985603875e-07
1890,1.2256703030288918e-07,3.932631784664409e-07
1891,1.4851933372028725e-07,3.499446847854415e-07
1892,1.0280360385195308e-07,3.5354409533283615e-07
1893,1.1208317829414227e-07,3.1900597718959034e-07
1894,1.1531816568322029e-07,3.591877373310126e-07
1895,1.1736297977904542e-07,3.6532989611259836e-07
1896,1.1676117139813869e-07,3.632569871570013e-07
1897,1.1129022681188872e-07,3.4202807341898733e-07
1898,1.2391797099553514e-07,3.230920526675618e-07
1899,1.1994845294793777e-07,3.8416669667640235e-07
1900,1.2614259503607173e-07,3.405330915029481e-07
1901,1.251877534969026e-07,3.5544380239116435e-07
1902,1.0115184778669573e-07,3.343903358654643e-07
1903,1.0638434133625196e-07,3.55334492496695e-07
1904,1.0319280363546568e-07,4.0202195350502734e-07
1905,9.186150862205977e-08,3.7157465726522787e-07
1906,7.613392938310426e-08,3.6986685358897375e-07
1907,1.1417112233402804e-07,3.841703914986283e-07
1908,1.1885561690405666e-07,4.1943263795474195e-07
1909,1.0451869059124874e-07,3.806680695106479e-07
1910,1.0207327960642942e-07,3.799691228323354e-07
1911,8.35298763490755e-08,3.596572923925123e-07
1912,1.1773291674899156e-07,3.5684536214830587e-07
1913,1.1825667201037504e-07,3.606033089909033e-07
1914,7.500352694478352e-08,3.562667529877217e-07
1915,6.832841847881355e-08,2.8627252390833746e-07
1916,9.229468389548856e-08,3.3511759056636947e-07
1917,1.1953402179187833e-07,3.3008936384248955e-07
1918,9.993147642717304e-08,3.4803719017872936e-07
1919,9.299926517769563e-08,4.272441742614319e-07
1920,1.0601124245113169e-07,3.309065164103231e-07
1921,7.572747762196741e-08,3.612200600855431e-07
1922,8.115728888924423e-08,3.2389135640187305e-07
1923,7.325004247604738e-08,3.418335268179362e-07
1924,9.024137170854374e-08,3.790137554915418e-07
1925,1.1658068643782826e-07,3.3764405316105695e-07
1926,1.0142986184291658e-07,3.89000234690684e-07
1927,1.170668610939174e-07,3.623497946136922e-07
1928,7.883968322630608e-08,3.4049602959385084e-07
1929,1.0137770090068443e-07,3.275279425452027e-07
1930,9.87338708569041e-08,3.0145341156639915e-07
1931,9.808606904471162e-08,3.170689240050706e-07
1932,8.110057336807586e-08,3.3645778785285074e-07
1933,8.717703536831323e-08,2.9364895226535737e-07
1934,9.824896096688462e-08,3.318897654480679e-07
1935,8.736847689760907e-08,3.063880740228342e-07
1936,7.759817322039453e-08,2.606813609418168e-07
1937,8.561960385122802e-08,2.807819328154437e-07
1938,9.07565009811151e-08,2.411529749224428e-07
1939,8.870549095263414e-08,3.089398319389147e-07
1940,5.325144059042941e-08,2.282204576431468e-07
1941,5.017554371988808e-08,3.305682980681013e-07
1942,1.0012898599143227e-07,3.3679751254567236e-07
1943,1.0741970157823744e-07,3.2225909762928495e-07
1944,6.7476911169706e-08,2.8597355594683904e-07
1945,9.803267886354661e-08,2.527064566493209e-07
1946,8.770295778504078e-08,2.547562019117322e-07
1947,8.344609625510202e-08,2.90869252239645e-07
1948,7.719040695519652e-08,2.75058766874281e-07
1949,6.184715317658629e-08,2.5033369865923305e-07
1950,9.571825643206466e-08,2.4142269694493734e-07
1951,1.1087858098335346e-07,2.526752211906569e-07
1952,7.170466886918803e-08,2.583476828021958e-07
1953,8.295847209183194e-08,2.3594681408667384e-07
1954,1.0456613352971544e-07,2.7363100230104465e-07
1955,9.104039833118804e-08,2.468414947998099e-07
1956,7.325758843990116e-08,2.3721504760487733e-07
1957,9.276789825207743e-08,2.1115739912147546e-07
1958,8.768578396711746e-08,2.2252335440953175e-07
1959,6.820658171591276e-08,2.3949812089085754e-07
1960,6.920833328649678e-08,2.270033405693539e-07
