year,soit_VERB à_ADP,soit_VERB a_ADP,soit_VERB pas_ADV
1800,5.150141532794805e-06,3.144164484325529e-08,1.8255019313073717e-05
1801,5.0409635150572285e-06,4.7623651688866175e-09,2.0340061382739805e-05
1802,5.2656378102255985e-06,2.9091921760482364e-08,1.888289443741087e-05
1803,5.336128197086509e-06,2.5354410126965377e-08,1.9021657863049768e-05
1804,6.0758097788493615e-06,1.9774807791250737e-08,2.448121267661918e-05
1805,5.321866865415359e-06,1.7057266044062658e-08,2.2373447791323997e-05
1806,5.6567164392618e-06,4.034336775760039e-08,1.980283013836015e-05
1807,5.696757398254704e-06,1.7081731140677903e-08,2.2229025489650667e-05
1808,5.069207418273436e-06,3.85232588051565e-08,1.9703513316926546e-05
1809,4.983421149518108e-06,1.5813214071513926e-08,2.0356124878162518e-05
1810,5.63970570510719e-06,4.680253518074551e-09,2.151278567907866e-05
1811,5.074323325970909e-06,6.267691787797958e-08,1.6907726603676565e-05
1812,5.470444193633739e-06,2.1337664968257286e-08,2.0633522581192665e-05
1813,5.228098416409921e-06,1.4378708224072057e-08,2.110794412146788e-05
1814,5.450044682220323e-06,6.608021863030444e-08,1.6620748283457942e-05
1815,4.517849447438493e-06,2.697223555614414e-09,1.7731546904542483e-05
1816,5.249372861726442e-06,2.0858434979231788e-08,2.0860752556473017e-05
1817,5.467739356390666e-06,1.5568733968684967e-08,1.8956490748678334e-05
1818,5.3454559747478925e-06,2.1458119281447807e-08,1.7381076759193093e-05
1819,4.930205250275321e-06,1.8631890030818e-08,1.99371570488438e-05
1820,5.1144534154445864e-06,1.0679833017945839e-08,1.8198436009697616e-05
1821,5.988881639495958e-06,2.4653720287481917e-08,2.1287009076331742e-05
1822,5.537147444556467e-06,1.5038423839541792e-08,1.9373499526409432e-05
1823,4.723924121208256e-06,7.906149623870817e-09,1.6991303709801286e-05
1824,5.383617462939583e-06,1.9368559200927393e-08,1.7208543795277365e-05
1825,5.087785211799201e-06,2.2013607603454943e-08,1.6806068742880598e-05
1826,4.901643478660844e-06,1.409277539110576e-08,1.6786256310297176e-05
1827,5.29993212694535e-06,9.217273055917019e-10,2.017384576902259e-05
1828,5.190605406824034e-06,1.375845176676549e-08,1.9948838598793373e-05
1829,5.402815531851957e-06,1.2002446592163096e-08,1.833716669352725e-05
1830,5.432373200164875e-06,2.8179455879850934e-08,2.0558478354359977e-05
1831,5.294773472996894e-06,4.677361609140007e-09,2.078463694488164e-05
1832,5.612231234408682e-06,1.3529969367098715e-08,2.035583929682616e-05
1833,5.369011887523811e-06,4.6334514003376626e-09,1.8704084141063504e-05
1834,5.638056791212875e-06,6.534171648198139e-09,1.9164725017617457e-05
1835,5.3743301577924285e-06,3.403389570166837e-08,1.767720459611155e-05
1836,6.520471742987866e-06,2.7555075554630548e-08,1.84088057721965e-05
