year,grand_ADJ acte_NOUN,grand_ADJ pacte_NOUN
1800,5.282196298139752e-07,6.288328968651058e-09
1801,6.976865165597701e-07,3.5717739876872656e-08
1802,7.116331630641071e-07,4.475680270843441e-09
1803,7.489302333851811e-07,0.0
1804,5.265042659630126e-07,1.4831105232815389e-08
1805,4.605461754181306e-07,2.2743021688143017e-08
1806,2.507052272449073e-07,0.0
1807,3.2739984590079985e-07,0.0
1808,3.1271821399059263e-07,0.0
1809,3.5240876172792923e-07,4.518061036407062e-09
1810,2.1529166360778618e-07,7.020380277111826e-09
1811,3.3093414231188945e-07,1.0028307073639553e-08
1812,2.2137828636914492e-07,0.0
1813,3.335860299102933e-07,3.163315653864629e-08
1814,7.300291144929361e-07,6.293354282149721e-09
1815,1.0707977935453528e-06,8.091670444798638e-09
1816,8.320197935063334e-07,0.0
1817,7.76879858221946e-07,2.3353100786493997e-08
1818,6.210933634065441e-07,2.1458118837358597e-08
1819,5.806938929708849e-07,1.449147024601416e-08
1820,8.46080126848392e-07,5.933240565525466e-09
1821,5.7591091717768e-07,2.9584463767662328e-09
1822,5.985292546029086e-07,5.012807946513931e-09
1823,3.9431921550203697e-07,5.929612356680991e-09
1824,1.0223230901829083e-06,2.0210670470532932e-08
1825,7.845649747650896e-07,1.2327619813845558e-08
1826,6.623604349442758e-07,1.9377566218281572e-08
1827,7.963723760440189e-07,1.1060727445055818e-08
1828,7.888178856774175e-07,2.659967357487858e-08
1829,7.381504474324174e-07,1.2859763920403111e-08
1830,8.558205308872857e-07,1.1480518979922749e-08
1831,8.918169669414056e-07,3.1182412207897414e-09
1832,8.591530331614194e-07,2.3000948701223933e-08
1833,7.842116360734508e-07,8.108539839568607e-09
1834,8.597103260399308e-07,1.120143711119681e-08
1835,7.434515509885387e-07,8.31939672707449e-09
1836,8.259801802523725e-07,4.704525213838906e-09
1837,8.092027314887673e-07,6.957891152126194e-09
1838,7.833393169676128e-07,1.2624324252641372e-08
1839,7.683631224608689e-07,2.7965900706306e-09
1840,1.0509986623219447e-06,1.0191501864653674e-08
1841,9.303374781666207e-07,4.494383976094696e-09
1842,1.1263176702414057e-06,6.037438549100216e-09
1843,9.88226247500279e-07,1.063243981747064e-08
1844,9.808059076021891e-07,1.701453911095996e-08
1845,1.2309982366787153e-06,1.5624637417221976e-08
1846,1.0286358929079142e-06,1.1123552745573306e-08
1847,1.1347342478984501e-06,1.1865092020002521e-08
1848,1.367687673337059e-06,7.24069959545659e-09
1849,1.4999152426753426e-06,1.1731181359664333e-08
1850,1.00001909686398e-06,1.3577992064028876e-08
1851,1.1228472658331157e-06,1.2253933867611977e-08
1852,1.2506757229857612e-06,6.510545436100301e-09
1853,9.793968729354674e-07,5.3747388761848924e-09
1854,8.46373723106808e-07,1.6626126253527218e-08
1855,8.655614465169492e-07,6.368324534378189e-09
1856,9.215397085426957e-07,1.3978411317339123e-08
1857,9.792307764655561e-07,2.9289055625270066e-09
1858,1.0770980907182093e-06,4.7468656561022726e-08
1859,1.061208877217723e-06,1.476730293603623e-08
1860,1.1053899697799352e-06,8.238931314963338e-09
1861,1.1723885791070643e-06,1.4147890858851042e-08
1862,1.321059130532376e-06,1.0391368654438793e-08
1863,1.1677423117362196e-06,7.491931519609807e-09
1864,1.2547802725748625e-06,2.9727313943794798e-08
1865,1.2044814639011747e-06,2.2122168985561075e-08
1866,1.165314301942999e-06,2.092213513549268e-08
1867,1.0326782557967817e-06,5.82337378318698e-09
1868,1.072446707439667e-06,1.0373735648272486e-08
