year,faudrait_VERB unir_VERB,faudrait_VERB punir_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,0.0
1803,1.950339267864365e-08,1.950339223455444e-09
1804,1.2359254952798437e-08,3.707776485839531e-08
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,6.339671898558663e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,6.7770917766551975e-09
1810,2.3401267590372754e-09,2.106114038724627e-08
1811,0.0,5.0141535368197765e-09
1812,5.067695596494559e-08,1.8670457180292033e-08
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,1.2586708564299443e-08,2.5173417128598885e-08
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,5.1376822796100896e-08
1818,0.0,2.1458118837358597e-08
1819,1.035105001712111e-09,4.0369094733705424e-08
1820,0.0,9.493184904840746e-09
1821,5.9168927535324656e-09,5.226588939422072e-08
1822,4.010246357211145e-09,3.308453244699194e-08
1823,1.9765373782121287e-09,3.5577674140085946e-08
1824,1.6842225392110777e-09,1.0947446504872005e-08
1825,1.1447076175841175e-08,1.7610886970942374e-08
1826,1.2331177856594877e-08,3.52319382557198e-08
1827,3.6869092223668076e-09,3.7790819362726324e-08
1828,4.586150570418113e-09,2.2013523448549677e-08
1829,9.430493719264632e-09,1.7146351893870815e-08
1830,2.2961039292113128e-08,4.0703660886265425e-08
1831,1.5591206103948707e-09,6.704218691311326e-08
1832,1.3529969367098715e-09,2.705993829010822e-08
1833,0.0,1.853380560135065e-08
1834,4.667265685043276e-09,4.29388435918554e-08
1835,6.050470346963266e-09,7.563087933704082e-09
1836,3.36037508930076e-09,3.629205025390547e-08
1837,3.478945576063097e-09,3.75726116885744e-08
1838,3.1560809521380406e-09,1.3886756633496589e-08
1839,3.4957374772659477e-09,8.38977065598101e-09
1840,7.64362617644565e-09,1.4013314952876499e-08
1841,1.2841097074556274e-09,2.5682194149112547e-08
1842,3.3541325272778977e-09,2.3478927246856074e-08
1843,0.0,7.088293507706567e-09
1844,6.586273748609983e-09,2.360081374774836e-08
1845,1.1160455892778032e-09,3.5155437672074186e-08
1846,1.1709002656346001e-08,3.5127008857216424e-08
1847,5.393223645455691e-10,1.941560512364049e-08
1848,9.65426583121598e-09,2.574470947536156e-08
1849,2.513824481908955e-09,1.256912263158938e-08
1850,7.467895635215882e-09,1.425689166723032e-08
1851,0.0,1.2898877521649865e-08
1852,7.161600201754936e-09,9.765818376195057e-09
