year,aient_VERB osé_VERB,aient_VERB posé_VERB
1800,1.1004575384276905e-07,3.144164484325529e-09
1801,9.762848662830947e-08,2.3811825400343878e-08
1802,6.937304419807333e-08,0.0
1803,2.0088494068204454e-07,5.851017448321727e-09
1804,8.157108055684148e-08,4.943701892301533e-09
1805,9.665784261869703e-08,2.2743021688143017e-08
1806,1.0662175498055149e-07,0.0
1807,1.4234775846944103e-07,0.0
1808,1.0423940466353088e-07,2.2660739951163578e-09
1809,1.1295152546608733e-07,0.0
1810,6.31834211617388e-08,4.680253518074551e-09
1811,9.526891631139733e-08,0.0
1812,1.3069320914382843e-07,2.6672082320544632e-09
1813,1.3803560250380542e-07,0.0
1814,1.0698702368472368e-07,0.0
1815,1.5643897199879575e-07,0.0
1816,1.6454987417091615e-07,3.9399267848239106e-08
1817,2.459860013459547e-07,1.556873407970727e-09
1818,1.5020683008515334e-07,0.0
1819,1.542306478086175e-07,0.0
1820,1.091716228529549e-07,5.933240565525466e-09
1821,9.368413600441272e-08,2.9584463767662328e-09
1822,9.223566621585633e-08,0.0
1823,8.103803139647425e-08,1.9765373782121287e-09
1824,1.1115868403521745e-07,0.0
1825,1.0918749637767178e-07,1.7610886082763955e-09
1826,1.5678212150760373e-07,6.1655889282974385e-09
1827,1.2627664602860023e-07,1.2904182611350734e-08
1828,9.997808092521154e-08,1.1006761724274838e-08
1829,7.801590129474789e-08,1.714635211591542e-09
1830,1.07499410262335e-07,9.39315203396518e-09
1831,1.340843738262265e-07,3.1182412207897414e-09
1832,1.420646782435142e-07,5.411987746839486e-09
1833,6.255159235024621e-08,4.6334514003376626e-09
1834,9.614566920390644e-08,1.9602515166639023e-08
1835,1.187404805591541e-07,1.285724948729694e-08
1836,1.1358067553146611e-07,6.048674894287842e-09
1837,9.53231023004264e-08,8.349468672008697e-09
1838,9.910094433962513e-08,6.312161904276081e-09
1839,1.1815593126129897e-07,1.5381244722334486e-08
1840,1.3758527472873538e-07,6.369688665408546e-10
1841,1.444623478619178e-07,6.420548537278137e-09
1842,1.0263645577879288e-07,1.2074877098200432e-08
1843,1.1164061675117409e-07,1.4176587015413133e-08
1844,1.0318495213823553e-07,6.586273748609983e-09
1845,1.1495269802708208e-07,1.2276501593078137e-08
1846,1.1123552212666254e-07,1.3465353276842507e-08
1847,8.790954808546303e-08,3.775256551818984e-09
1848,5.309846429213394e-08,7.24069959545659e-09
1849,5.9493846293889874e-08,4.1897072478036534e-09
1850,1.1405513333784256e-07,1.1541293254424545e-08
1851,9.996630012665264e-08,1.2253933867611977e-08
1852,1.334661874352605e-07,1.3672145193766028e-08
