year,voulaient_VERB unir_VERB,voulaient_VERB punir_VERB
1800,0.0,1.2576657937302116e-08
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,2.2743021688143017e-08
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,2.039466551195801e-08
1809,4.518061036407062e-09,2.4849335034105025e-08
1810,0.0,7.020380277111826e-09
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,4.026038169513413e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,1.3486118000116676e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,5.916118794857539e-08
1818,1.4305412854298538e-08,3.814776761146277e-08
1819,1.035105001712111e-09,4.140420006848444e-09
1820,0.0,4.390598107306687e-08
1821,3.94459531705138e-09,1.676452932031225e-08
1822,0.0,2.606660132187244e-08
1823,1.087095569118901e-08,2.2730180404550993e-08
1824,1.1789557774477544e-08,2.105278085196005e-08
1825,0.0,3.258013947515792e-08
1826,8.807984341885344e-10,2.025836387531399e-08
1827,9.217273166939322e-09,2.3964910056406552e-08
1828,5.503380862137419e-09,3.3020285172824515e-08
1829,0.0,2.4004892296147773e-08
1830,2.0873671680021744e-09,1.2524203008013046e-08
1831,0.0,1.870944643656003e-08
1832,0.0,1.7588959622116818e-08
1833,0.0,1.0425265983826648e-08
1834,2.8003592777992026e-09,3.640467127752345e-08
1835,0.0,4.310960122211327e-08
1836,1.3441500135158435e-09,3.2259599436201825e-08
1837,6.957890930081589e-10,2.7831564608504777e-08
1838,6.312161904276081e-10,1.0730675015224733e-08
1839,1.3982950353153e-09,2.027527834513876e-08
1840,1.2739377330817092e-09,2.6752692505738196e-08
1841,1.6693427085101575e-08,2.5040138851295524e-08
1842,6.708265054555795e-10,1.475818312002275e-08
1843,9.451057714215949e-09,3.1306630177141415e-08
1844,4.390849017710252e-09,1.756339607084101e-08
1845,2.2320911785556063e-09,2.287893430263921e-08
1846,6.439951683034906e-09,2.6345256642912318e-08
1847,7.550513103637968e-09,2.480882876909618e-08
1848,1.6090443422100975e-09,8.84974404868899e-09
1849,0.0,4.608678239037545e-08
1850,6.788996032014438e-10,3.6660580349234806e-08
1851,0.0,3.031236062156495e-08
1852,1.3021090872200602e-09,2.6042181744401205e-08
1853,0.0,2.7470886010405593e-08
1854,3.117398783558656e-09,1.454786069388092e-08
1855,4.2455496895854594e-09,2.5473298137512757e-08
1856,3.6240324075009767e-09,1.6049286344355096e-08
1857,5.857811125054013e-09,1.757343248698362e-08
1858,4.893676019968041e-10,1.8595969208945462e-08
1859,5.092173349652285e-10,2.2405561850291633e-08
1860,2.334363813361051e-08,2.6089947979812678e-08
1861,4.715963730639317e-10,2.1221836732365773e-08
1862,4.9697850279528666e-09,1.671654992208005e-08
1863,2.9967726078439227e-09,1.548332484446746e-08
1864,7.671564716815737e-09,1.2466292886870178e-08
1865,4.706844358715045e-10,2.0710114512212385e-08
1866,2.919367858567057e-09,6.3252967308358166e-09
1867,3.396968040192405e-09,5.82337378318698e-09
1868,6.421836395986702e-09,5.9278488784286765e-09
1869,1.4650557433881772e-09,1.5627261262807224e-08
1870,5.160643912205387e-09,1.8922360567330543e-08
1871,0.0,1.0621177271019633e-09
1872,8.4662747923403e-09,8.4662747923403e-09
1873,1.7958012854535355e-09,1.5563610844537834e-08
1874,1.7923826867161097e-09,8.364453130127458e-09
1875,1.8881038954532414e-08,1.5448122780981066e-08
1876,6.04601479992084e-10,2.0556450763820067e-08
1877,6.184816214727107e-09,2.4739263970730008e-09
1878,3.0195443923020093e-09,1.9325083755461492e-08
1879,5.498392852132383e-09,8.55305515301552e-09
1880,0.0,6.417846254436199e-09
1881,2.091752326904839e-09,5.5780060570498335e-09
1882,6.655385131892899e-10,1.0648616211028639e-08
1883,1.2638677882037541e-09,8.847074184359371e-09
1884,2.6406787867472303e-09,1.1883054540362536e-08
1885,0.0,6.445635580831777e-09
1886,1.2906927748801422e-09,9.034849313138693e-09
1887,4.570247291724172e-09,3.264462256069578e-09
1888,0.0,5.706553452000662e-09
1889,1.0650732740202784e-08,5.012109394186837e-09
1890,6.554386478008212e-10,0.0
1891,0.0,4.461953917456185e-09
1892,5.014809900671935e-09,1.2537024751679837e-09
1893,2.463366621796581e-09,1.0469308087124318e-08
1894,1.8904617871129403e-09,1.1972924873759894e-08
1895,4.814891596538473e-09,6.018614495673091e-09
1896,5.89702897624278e-10,4.717623180994224e-09
1897,1.1653427112179315e-09,8.157399200570126e-09
1898,1.13167097914868e-09,1.4711722506888236e-08
1899,6.633094074004475e-09,7.738609753005221e-09
1900,9.34389543516545e-09,1.038210628578895e-09
1901,6.706486921359556e-09,5.58873880507349e-09
1902,1.9641135384773634e-09,4.910283735171106e-09
1903,2.7001101354784396e-09,3.2401321625741275e-09
1904,2.1498500757388683e-09,2.6873125946735854e-09
1905,1.5482277682110634e-09,1.0321518084666081e-09
1906,1.5432553013283723e-09,5.658602919567102e-09
1907,1.5428529565042481e-09,5.142843373384665e-10
1908,3.929111258571538e-09,1.964555629285769e-09
1909,0.0,5.500983557560346e-10
1910,4.809735720812114e-09,1.068830135508847e-09
1911,4.788336838146279e-09,5.852411444351446e-09
1912,3.125652625612929e-09,4.688478938419394e-09
1913,2.121195885607108e-09,2.6514948014977335e-09
1914,6.696743715117748e-10,7.366418142140674e-09
1915,1.1780761921542648e-09,2.3561523843085297e-09
1916,7.69122365795738e-09,1.0987462051303964e-09
1917,5.483212106582869e-09,3.289927441585405e-09
1918,4.594550517822427e-09,1.1486376294556067e-09
1919,2.762354567309444e-09,5.524709134618888e-09
1920,6.057785384427916e-09,7.572231730534895e-09
1921,2.2718242842501013e-09,6.815472630705699e-09
1922,3.6889677978990676e-09,6.640141769764796e-09
1923,2.1231896241147297e-09,8.492758496458919e-09
1924,3.867487219366694e-09,9.02413699321869e-09
1925,0.0,0.0
1926,0.0,2.229227691330493e-09
1927,2.2298449753321847e-09,3.3447675740205796e-09
1928,0.0,7.998228745975666e-09
1929,1.1140406375176326e-09,3.342121912552898e-09
1930,2.100720708497761e-09,5.2518016602221e-09
1931,2.2810713318222042e-09,0.0
1932,5.4797681947604815e-09,6.575722188983946e-09
1933,8.02946331646126e-09,0.0
1934,3.5944740517379614e-09,3.5944740517379614e-09
1935,3.590485242455088e-09,1.196828414151696e-09
1936,1.2124714565686645e-09,6.0623572828433225e-09
1937,0.0,0.0
1938,1.0372171566075394e-08,7.779128452511941e-09
1939,1.5294050470515685e-09,1.5294050470515685e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,2.9515025978810172e-09
1942,0.0,0.0
1943,5.806470415592457e-09,5.806470415592457e-09
1944,6.4263723231761105e-09,9.639558484764166e-09
1945,2.178504043826024e-09,6.535512131478072e-09
1946,4.1763312808029696e-09,2.7842208538686464e-09
1947,2.3841741914054637e-09,3.5762612871081956e-09
1948,0.0,3.2615663503321457e-09
1949,0.0,3.9268033269479474e-09
1950,2.1270722960764488e-09,1.0635361480382244e-09
1951,2.1322803522849654e-09,1.0661401761424827e-09
1952,4.2179215675730575e-09,4.2179215675730575e-09
1953,0.0,3.232148326759443e-09
1954,0.0,9.772536113672459e-10
1955,9.385607846468247e-10,2.815682353940474e-09
1956,0.0,8.72114158667614e-10
1957,0.0,3.534015080575159e-09
1958,8.272243445794913e-10,4.9633461784992505e-09
1959,2.325224457422337e-09,0.0
1960,6.920833350854139e-10,1.3841666701708277e-09
1961,0.0,0.0
1962,0.0,6.341956404476434e-10
1963,3.879631726988464e-09,6.466053248388448e-10
1964,0.0,4.258777774879263e-09
1965,3.2832261354087677e-09,4.377634699181954e-09
1966,5.539074754423723e-10,2.215629901769489e-09
1967,3.451234853457663e-09,1.4791006197611978e-09
1968,2.6948494546985557e-09,3.5931326802796093e-09
1969,4.087581828571274e-09,9.083515606356229e-10
1970,3.219107425067591e-09,3.6789800095249348e-09
1971,3.083038491169532e-09,1.541519245584766e-09
1972,2.0520587451500205e-09,4.6171320100540925e-09
1973,0.0,3.3079223804577396e-09
1974,2.2502286700643026e-09,2.812785782069227e-09
1975,5.711480177694739e-10,2.2845920710778955e-09
1976,1.142705374768127e-09,2.856763492431469e-09
1977,5.876781838942691e-10,2.3507127355770763e-09
1978,6.534650598410963e-09,2.3762365408686037e-09
1979,5.851973350345929e-10,1.1703946700691858e-09
1980,5.685150683554241e-10,2.8425752862659692e-09
1981,4.427884725544118e-09,4.427884725544118e-09
1982,1.8622506869903077e-09,6.828252629986764e-09
1983,1.89459470334441e-09,1.89459470334441e-09
1984,1.1598016991243298e-09,5.799008384599347e-09
1985,1.2031116103372597e-09,6.015558051686298e-10
1986,1.7983456945813714e-09,4.7955883708539204e-09
1987,0.0,2.4443267410134695e-09
1988,1.798966087207532e-09,6.596209356501959e-09
