year,eurent_VERB été_VERB,eurent_VERB eté_VERB
1800,7.042928586997732e-07,0.0
1801,7.476913310711097e-07,0.0
1802,7.742926868559152e-07,0.0
1803,8.230431376432534e-07,0.0
1804,5.981879098726495e-07,2.4718509461507665e-09
1805,7.533625989708526e-07,2.842877711017877e-09
1806,6.25322172709275e-07,0.0
1807,1.187180259876186e-06,2.8469551160981155e-09
1808,9.200260251418513e-07,0.0
1809,1.0956298410746967e-06,0.0
1810,6.926775313331746e-07,4.680253518074551e-09
1811,1.2234534096933203e-06,0.0
1812,7.788248126416875e-07,0.0
1813,6.269116852308798e-07,2.8757416448144113e-09
1814,9.723232778924285e-07,0.0
1815,9.871838528852095e-07,2.697223555614414e-09
1816,8.227493708545808e-07,2.3176038865813098e-09
1817,8.671784712532826e-07,0.0
1818,1.1074773738073418e-06,1.1921177378582115e-09
1819,8.974360525826341e-07,1.035105001712111e-09
1820,9.62371586865629e-07,1.1866481131050932e-09
1821,1.0058718089567265e-06,1.97229765852569e-09
1822,1.2060816061421065e-06,1.0025615893027862e-09
1823,1.1147670875288895e-06,0.0
1824,1.6059061636042316e-06,3.3684450784221553e-09
1825,1.4141540987111512e-06,8.805443041381977e-10
1826,1.595125922904117e-06,0.0
1827,1.2185234936623601e-06,9.217273055917019e-10
1828,1.025463234327617e-06,0.0
1829,7.913041599749704e-07,0.0
1830,1.0593388424240402e-06,1.0436835840010872e-09
1831,9.292359095525171e-07,1.5591206103948707e-09
1832,7.549722909061529e-07,0.0
1833,1.0552685125730932e-06,2.3167257001688313e-09
1834,1.0893397757172352e-06,9.334530925997342e-10
1835,1.2221950100865797e-06,7.563087933704082e-10
1836,1.3340688838070491e-06,4.032449929525228e-09
1837,1.301125621466781e-06,6.957890930081589e-10
1838,1.282631274079904e-06,3.1560809521380406e-09
1839,1.3549479263019748e-06,0.0
1840,1.4204405260898056e-06,6.369688665408546e-10
1841,9.752812957231072e-07,1.926164561183441e-09
1842,1.2021210977763985e-06,0.0
1843,1.1099085668320186e-06,0.0
1844,1.4067182974031311e-06,0.0
1845,9.480807534600899e-07,1.1160455892778032e-09
1846,9.133021876550629e-07,0.0
1847,1.0015215821113088e-06,0.0
1848,1.037029051076388e-06,8.045221711050488e-10
1849,8.077756206148479e-07,8.379414939696517e-10
1850,1.00001909686398e-06,0.0
1851,1.0912450534306117e-06,6.449438760824933e-10
1852,9.160337413050001e-07,0.0
1853,8.450283530692104e-07,0.0
1854,1.023545905809442e-06,1.0391328908454511e-09
1855,9.706387800179073e-07,0.0
1856,9.443193107472325e-07,1.0354378465748937e-09
1857,8.830650131130824e-07,9.763018171682347e-10
1858,8.666700068715727e-07,0.0
1859,9.58856276156439e-07,0.0
1860,9.081132930077729e-07,4.577183909670879e-10
1861,9.059366448127548e-07,0.0
1862,8.249842835539312e-07,1.3553959066214816e-09
1863,8.06131822628231e-07,0.0
1864,7.681153988414735e-07,0.0
1865,7.093214549058757e-07,0.0
1866,8.485628768539755e-07,4.865612912574591e-10
1867,8.536095492672757e-07,0.0
1868,8.047055075621756e-07,0.0
1869,7.442483251907106e-07,4.883519144627257e-10
1870,8.469190220239398e-07,5.734048791339319e-10
1871,8.656259637973562e-07,0.0
1872,7.311232934625878e-07,0.0
1873,7.039541287667817e-07,0.0
1874,7.121734029169602e-07,0.0
1875,6.837224759692617e-07,5.721527140956084e-10
1876,6.608294143006788e-07,0.0
1877,7.013581466708274e-07,0.0
1878,7.089890345923777e-07,1.2078177347163432e-09
1879,6.695820502500283e-07,6.10932526790009e-10
1880,5.808150831398962e-07,1.2835692508872398e-09
1881,6.449569696087565e-07,0.0
1882,5.929948088123638e-07,0.0
1883,5.997052880957199e-07,0.0
1884,6.905374902999029e-07,0.0
1885,5.639931259793229e-07,0.0
1886,6.956834113225341e-07,0.0
1887,5.438594143925002e-07,0.0
1888,5.884090228391869e-07,0.0
1889,5.613562734652078e-07,2.5060546970934183e-09
1890,5.453249514175695e-07,0.0
1891,6.259484166548646e-07,0.0
1892,5.629124188999413e-07,0.0
1893,5.228495751907758e-07,0.0
1894,5.186166731618869e-07,0.0
1895,4.7667427338637935e-07,0.0
1896,5.236561833044107e-07,5.89702897624278e-10
1897,4.696331075138005e-07,5.826713556089658e-10
1898,5.188711611481267e-07,0.0
1899,4.56577964769167e-07,0.0
1900,5.159906777407741e-07,0.0
1901,5.041042641096283e-07,0.0
1902,4.2228441543556983e-07,0.0
1903,4.865598270953342e-07,5.400220270956879e-10
1904,4.864035645368858e-07,5.374625189347171e-10
1905,5.238170501797867e-07,5.160759042333041e-10
1906,4.845821877097478e-07,0.0
1907,4.494845029512362e-07,2.5714217422034835e-09
1908,4.3367566604501917e-07,4.911389073214423e-10
1909,4.1367397329850064e-07,0.0
1910,4.47839823891627e-07,0.0
1911,4.4212308125679556e-07,0.0
1912,4.7249449153241585e-07,1.0418842455450772e-09
1913,4.0620901131660503e-07,0.0
1914,4.620753202289052e-07,0.0
1915,5.042165867052972e-07,0.0
1916,6.449640181926952e-07,0.0
1917,4.912957933811413e-07,0.0
1918,6.294534387052408e-07,0.0
1919,4.778873403665784e-07,0.0
1920,4.2783108256116975e-07,7.572231730534895e-10
1921,4.5436485152094974e-07,0.0
1922,3.873416005717445e-07,0.0
1923,4.0871401552067255e-07,0.0
1924,4.39604406210492e-07,0.0
1925,3.915351385330723e-07,0.0
1926,3.265818691033928e-07,0.0
1927,3.4674090443331806e-07,0.0
