year,grand_ADJ achat_NOUN,grand_ADJ pacha_NOUN
1800,0.0,9.432493897065797e-09
1801,7.143547975374531e-09,1.666827853519237e-08
1802,0.0,0.0
1803,1.3652374342143503e-08,0.0
1804,0.0,2.4718509461507665e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.129515236897305e-08,4.518061036407062e-09
1810,2.3401267590372754e-09,7.020380277111826e-09
1811,2.2563691359778204e-08,1.504245972228091e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,0.0,0.0
1818,0.0,1.1921176934492905e-08
1819,0.0,6.210630232317271e-09
1820,0.0,0.0
1821,8.875339574387908e-09,0.0
1822,4.010246357211145e-09,7.017931125119503e-09
1823,0.0,0.0
1824,8.421112696055388e-10,8.421112696055388e-10
1825,5.283265824829186e-09,4.402721520690989e-09
1826,0.0,1.145037931138404e-08
1827,3.6869092223668076e-09,2.2121454890111636e-08
1828,8.255071293206129e-09,9.172301140836225e-09
1829,3.429270423183084e-09,0.0
1830,0.0,3.1310507520032616e-09
1831,0.0,3.4300654760954785e-08
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,1.3900353978968383e-08
1834,0.0,1.213488998175194e-08
1835,8.31939672707449e-09,1.5126175867408165e-09
1836,2.688300027031687e-09,1.5457724877876444e-08
1837,4.174734336004349e-09,8.349468672008697e-09
1838,0.0,1.3886756633496589e-08
1839,3.4957374772659477e-09,6.9914751765765e-10
1840,0.0,2.2930879584048824e-08
1841,7.0626033910059505e-09,2.953452371556864e-08
1842,9.391571076378114e-09,1.408735661456717e-08
1843,5.906911071384968e-10,2.433647403599082e-07
1844,1.6465684371524958e-09,9.330554107123135e-09
1845,1.674068439427856e-09,8.426144015860615e-08
1846,1.7563503984519002e-09,3.688335681317767e-08
1847,1.0786447290911383e-09,1.7258315665458213e-08
1848,1.6090443422100975e-09,9.493361835533065e-08
1849,8.379414939696517e-10,5.02764896381791e-09
1850,1.3577992064028876e-09,1.0183494048021657e-08
1851,0.0,1.6123597124106936e-08
1852,1.3021090872200602e-09,9.114763610540422e-09
1853,1.7915795513800958e-09,1.7915795513800958e-09
1854,0.0,7.273930180407007e-09
1855,5.306937111981824e-10,1.1144567935161831e-08
1856,1.5531567143511893e-09,5.1771892328744684e-09
1857,4.881509085841174e-10,4.393358288279359e-09
1858,0.0,2.7404585933865633e-08
1859,1.018434669930457e-08,2.4442432300375572e-08
1860,4.577183909670879e-10,1.6477862185837466e-08
1861,1.0375120318428799e-08,1.9807047113573617e-08
1862,0.0,9.03597288659519e-09
1863,0.0,4.994620717013731e-09
1864,0.0,8.151037511616721e-09
1865,0.0,2.58876440284439e-08
1866,4.865612912574591e-10,5.157549765044678e-08
1867,9.7056229719783e-10,1.5043715606566366e-08
1868,0.0,1.1361710128277025e-08
1869,0.0,3.56496906439574e-08
1870,4.013834153937523e-09,2.0642576092910758e-08
1871,0.0,4.991953339583688e-08
1872,0.0,2.1770421909650395e-08
1873,0.0,7.78180558880237e-09
1874,0.0,1.5533984099036502e-08
1875,5.721527140956084e-10,1.1443054281912168e-09
1876,0.0,7.255217759905008e-09
1877,0.0,1.5462039981706255e-08
1878,6.039088673581716e-10,5.4351798062235446e-09
1879,0.0,1.4051448560259416e-08
1880,6.417846254436199e-10,3.465636999600008e-08
1881,2.091752326904839e-09,6.2752567586699115e-09
1882,0.0,7.986462158271479e-09
1883,0.0,4.170763734379079e-08
1884,0.0,8.582206056928499e-09
1885,0.0,5.156508664505566e-09
1886,1.2906927748801422e-09,2.9040587712358956e-08
1887,6.528924623161458e-10,1.2404956395428712e-08
1888,0.0,3.1703073499755874e-09
1889,6.265136742733546e-10,5.012109394186837e-09
1890,6.554386478008212e-10,2.2940352728539892e-08
1891,6.374220040683554e-10,1.4023284089503818e-08
1892,6.268512375839919e-10,4.262588571002368e-08
1893,0.0,1.8475249885518963e-08
1894,0.0,4.4110775032635274e-09
1895,0.0,6.680662223423894e-08
1896,5.89702897624278e-10,2.8895441595011562e-08
1897,5.826713556089658e-10,2.1558839824464826e-08
1898,0.0,3.564763517704961e-08
1899,5.527578395003729e-10,2.2110313580014918e-08
1900,2.07642125715779e-09,3.4780055724326076e-08
1901,1.676621730339889e-09,5.0298651355085156e-09
1902,4.419255628107521e-09,2.1114220483120505e-08
1903,5.400220270956879e-10,1.4580594731583574e-08
1904,5.374625189347171e-10,6.449550227216605e-09
1905,5.160759042333041e-10,1.3417973621088208e-08
1906,2.572092316910357e-09,1.1831624346925196e-08
