year,avaient_VERB assez_ADV,avaient_VERB passé_VERB
1800,1.5091990235305275e-07,6.508420256068348e-07
1801,2.571677271134831e-07,7.667408112865814e-07
1802,1.1636768704192946e-07,5.169410997041268e-07
1803,1.501761204281138e-07,6.007044817124552e-07
1804,1.7302956223375077e-07,8.107671192192356e-07
1805,1.3930100806192058e-07,1.0291216767654987e-06
1806,1.9019016406218725e-07,7.982223451108439e-07
1807,3.188589801084163e-07,1.2754359204336652e-06
1808,2.515342032438639e-07,8.135205575854343e-07
1809,1.5587310997489112e-07,1.204063210025197e-06
1810,1.708292529656319e-07,8.915882858673285e-07
1811,1.7298829391165782e-07,1.0905783938142122e-06
1812,2.3738152776786592e-07,1.037544052451267e-06
1813,1.6966875193702435e-07,1.3343441196411732e-06
1814,1.7621391634747852e-07,1.1925906164833577e-06
1815,1.726223075593225e-07,1.1732922757801134e-06
1816,2.4798362119327066e-07,1.0591450063657248e-06
1817,3.362846427990007e-07,1.5459752376045799e-06
1818,3.588274353205634e-07,1.4686891063320218e-06
1819,3.115665947461821e-07,1.3663385516338167e-06
1820,4.1176690501742996e-07,1.7111465240304824e-06
1821,2.7710783001566597e-07,1.326370124843379e-06
1822,2.987633536122303e-07,1.6261549262708286e-06
1823,3.1229291153067607e-07,1.773942244653881e-06
1824,2.9221260433587304e-07,1.6320116174028954e-06
1825,4.323472637679515e-07,1.7452388192396029e-06
1826,3.267762167524779e-07,1.4726949757459806e-06
1827,3.9173411892079457e-07,1.5789188410053612e-06
1828,3.6597481312128366e-07,1.7207237306138268e-06
1829,3.9436611132259713e-07,1.736068156787951e-06
1830,4.1016764384949056e-07,1.786786242519156e-06
1831,2.946737822639989e-07,1.4764872275918606e-06
1832,4.89784895307821e-07,1.597889422555454e-06
1833,3.6256756175134797e-07,1.8186296983913053e-06
1834,3.8644958522127126e-07,1.6139404124260182e-06
1835,3.524398834997555e-07,1.8605196601129137e-06
1836,3.911476653684076e-07,1.7648690118221566e-06
1837,3.8337978480740276e-07,1.9148114915878978e-06
1838,4.475322725738806e-07,2.0621832845790777e-06
1839,3.845311482564284e-07,2.003756890189834e-06
1840,4.3441275465738727e-07,2.300731466675643e-06
1841,4.077048458839272e-07,1.709150069473253e-06
1842,3.796878047523933e-07,2.042666665147408e-06
1843,4.235255346429767e-07,1.7017811160258134e-06
1844,4.2371692643428105e-07,1.923191803143709e-06
1845,4.034504854644183e-07,1.977074816750246e-06
1846,3.3604837312850577e-07,1.7768411453289445e-06
1847,3.829188699455699e-07,2.02623414224945e-06
1848,2.888234575948445e-07,1.5446826182596851e-06
1849,2.5054450247807836e-07,1.9792178136412986e-06
1850,2.742754361406696e-07,1.890056523734529e-06
1851,3.218270023808145e-07,1.8767866549751488e-06
1852,2.8190660827931424e-07,1.4062777609069599e-06
1853,3.4099730328307487e-07,1.8238280290461262e-06
1854,3.044659422357654e-07,1.5529841448369552e-06
1855,3.13109296712355e-07,1.5873048369030585e-06
1856,3.3599957305341377e-07,1.7017421214404749e-06
1857,3.099758316693624e-07,1.7368408862239448e-06
1858,2.7159902060702734e-07,1.616870576981455e-06
1859,3.2029771546149277e-07,1.977290821741917e-06
1860,3.780753843329876e-07,1.8537594996814732e-06
1861,3.1219678930938244e-07,1.5798478898432222e-06
1862,2.557180209805665e-07,1.6535830127395457e-06
1863,2.9318422889446083e-07,1.6502227708770079e-06
1864,2.857657932509028e-07,1.582739741934347e-06
1865,2.762917574727908e-07,1.5998564322217135e-06
1866,3.050739394439006e-07,1.654794914429658e-06
1867,2.926245201706479e-07,1.5291209365386749e-06
1868,2.5341554987790005e-07,1.542228687867464e-06
1869,2.5980321538554563e-07,1.4377080788108287e-06
1870,2.3910982349661936e-07,1.6835167571116472e-06
1871,3.823623728749226e-07,1.9574829366320046e-06
1872,3.4469834986339265e-07,1.8166207382819266e-06
1873,3.184554486779234e-07,1.5120647276489763e-06
1874,2.9992537520229234e-07,1.5038091305541457e-06
1875,3.106789279172517e-07,1.4080678738537244e-06
1876,2.4486359961883863e-07,1.3331463151189382e-06
1877,3.0862230460115825e-07,1.405190232617315e-06
1878,2.2525800602579693e-07,1.484408016949601e-06
1879,2.9324760930649063e-07,1.445466409677465e-06
1880,2.2462461402028566e-07,1.2007790246570949e-06
1881,2.0080821627743717e-07,1.2822441703974619e-06
1882,1.9034401077533403e-07,1.3503776017387281e-06
1883,2.515097037303349e-07,1.271450969397847e-06
1884,2.535051635277341e-07,1.3104368008498568e-06
1885,2.739395199569117e-07,1.338113975180022e-06
1886,2.755629111561575e-07,1.3048903610979323e-06
1887,2.585454126347031e-07,1.4017600733495783e-06
1888,2.4918614371927106e-07,1.2750975884046056e-06
1889,2.280509789898133e-07,1.3050280358584132e-06
1890,2.1498387070550962e-07,1.3921517165726982e-06
1891,1.7592847711966897e-07,1.1989908443865716e-06
1892,2.25039599399679e-07,1.1640627235465217e-06
1893,2.2170299018853257e-07,1.317285295954207e-06
1894,2.3693787909451203e-07,1.3151312714398955e-06
1895,1.9620682678578305e-07,1.422800437467231e-06
1896,2.246768104896546e-07,1.445361817786761e-06
1897,1.6547866721339233e-07,1.2509954103734344e-06
1898,2.3538756011021178e-07,1.0858383348022471e-06
