year,tout_DET art_NOUN,tout_DET part_NOUN
1800,3.7729974611266925e-07,2.3266816917555388e-07
1801,1.5239568051939045e-07,1.3096504503096185e-07
1802,1.9245425164626795e-07,1.6112448975036386e-07
1803,1.384740837551135e-07,1.8138154445068722e-07
1804,1.359517991517123e-07,2.0763547858848597e-07
1805,1.1087223206196484e-07,2.5585898910662763e-07
1806,2.420602083219592e-07,1.7001847929520864e-07
1807,1.93592946118315e-07,1.8505208387864513e-07
1808,3.104521333341381e-07,1.5862517699360978e-07
1809,1.3102376783535874e-07,1.0617443280125372e-07
1810,1.3338723059419522e-07,1.19346462490455e-07
1811,1.3538214815866922e-07,1.228467656488874e-07
1812,1.3336041604361526e-07,1.4936366454776362e-07
1813,2.473137783454149e-07,1.6679301495514665e-07
1814,2.391474680507599e-07,1.1642705377568063e-07
1815,8.900837911163251e-08,7.552226044538202e-08
1816,1.5991466995046721e-07,1.7150268938337376e-07
1817,1.8371106236259038e-07,1.8993855377402724e-07
1818,1.728570637737903e-07,1.0729059418679299e-07
1819,2.5256562175002273e-07,1.2524770909294602e-07
1820,1.5426425292730528e-07,1.2578470176549672e-07
1821,2.7414937164849107e-07,1.6370070543558768e-07
1822,1.223125138949399e-07,1.0627152846609533e-07
1823,2.2631352880608802e-07,7.609669161467991e-08
1824,1.397904734190547e-07,1.490536956083588e-07
1825,1.4088708866211164e-07,1.2944001515080572e-07
1826,1.197885833859047e-07,9.68878284268726e-08
1827,1.474763683395608e-07,6.72860940298392e-08
1828,1.2382606701111243e-07,4.769596717579816e-08
1829,2.6576845479908684e-07,8.916103322320623e-08
1830,1.3776623575267877e-07,8.558205388808915e-08
1831,1.6214854170470971e-07,8.731075396006815e-08
1832,2.88188350960894e-07,1.3394669595712116e-07
1833,1.6912097555721317e-07,1.18153010930655e-07
1834,2.2869600968533632e-07,1.1108092068390363e-07
1835,1.3613558280667348e-07,7.563087933704082e-08
1836,1.6533045010813652e-07,8.871389844955502e-08
1837,2.3448092889566396e-07,6.679575248469405e-08
1838,1.6285377046898475e-07,7.132742929627511e-08
1839,1.195542226328783e-07,6.991475087758658e-08
1840,1.6561190568920026e-07,5.414235504375142e-08
1841,1.4959878269493743e-07,1.0658110483063865e-07
1842,1.1471133554152857e-07,5.9703559873725e-08
1843,2.0142567258574218e-07,1.0041748521594229e-07
1844,1.3501860607334493e-07,8.617041169500794e-08
1845,1.9363391584592549e-07,7.031087179143469e-08
1846,1.3465353276842507e-07,8.898842374094329e-08
1847,1.655719641391329e-07,8.359496295184954e-08
1848,1.7940844232455788e-07,5.873011893475777e-08
1849,2.161889085527946e-07,4.105913409269135e-08
1850,1.7040379773902714e-07,6.381656447729256e-08
1851,1.1931461818548428e-07,9.867641481697831e-08
1852,1.9141004048428556e-07,8.919447624933241e-08
1853,1.3197969361833373e-07,8.89817830529438e-08
1854,1.6885909026598256e-07,8.157193409630281e-08
1855,2.1758441803854112e-07,1.0454665755332826e-07
1856,2.0812301104733422e-07,7.506924326605713e-08
1857,1.6450685369484574e-07,1.0592874777337613e-07
1858,1.722573967355423e-07,8.025628406294061e-08
1859,1.935025908395005e-07,1.0693563767816272e-07
1860,2.1146589301856977e-07,8.147387675627726e-08
1861,2.2778104968868007e-07,1.3440496449135253e-07
1862,1.9833960079873592e-07,9.30705204016391e-08
1863,2.4223910299880913e-07,1.4834024197885043e-07
1864,2.138448671473725e-07,1.1363505025840936e-07
1865,2.2075099570528778e-07,1.0731605137870304e-07
1866,2.19925699429524e-07,1.114225369747146e-07
1867,1.6111333600576927e-07,1.0627656799044871e-07
1868,2.6675320974334227e-07,9.731551786629211e-08
1869,2.3245551505901574e-07,1.1329764149081711e-07
1870,1.6628742249835682e-07,1.1410757227992008e-07
1871,9.559059721553353e-08,6.478918024299674e-08
1872,1.5723082169571967e-07,7.619647379719652e-08
1873,2.1609476563710928e-07,1.0116347470834341e-07
1874,1.4398807568483107e-07,6.034355326534069e-08
1875,2.5861302377361284e-07,8.124568751100014e-08
1876,2.769074645136982e-07,5.320493090543721e-08
1877,1.74411812992048e-07,6.988842249366911e-08
1878,1.968742926461431e-07,8.877460450085195e-08
1879,1.6739550590116892e-07,7.758843412197791e-08
1880,1.9253539162988886e-07,8.21484342772294e-08
1881,1.833769476267122e-07,7.600033413712737e-08
1882,1.916750924646493e-07,6.721938894393986e-08
1883,1.5735154568208287e-07,5.434631644707366e-08
1884,1.8616785979475026e-07,6.931781726393638e-08
1885,1.4502680412142865e-07,7.928131934287208e-08
1886,1.652086745185244e-07,8.195899059426637e-08
1887,1.9978509790963273e-07,5.549586035158427e-08
1888,1.610516111583138e-07,8.433017595343983e-08
1889,2.38701707289124e-07,9.460356203971898e-08
1890,1.6451509576853596e-07,4.26035109413192e-08
1891,2.071621465482565e-07,7.649063726855587e-08
1892,2.394571678721036e-07,8.211750923692307e-08
1893,2.235505172087926e-07,7.451684158610306e-08
1894,2.066904827291438e-07,5.671385361338821e-08
1895,3.1657912824556433e-07,5.476939013426829e-08
1896,2.187797802921665e-07,6.309820971273084e-08
1897,2.0568298997325485e-07,3.7290966981018414e-08
1898,2.6650852413823145e-07,8.374365201291312e-08
1899,2.106007368496421e-07,5.1959236913035056e-08
1900,2.647437084002391e-07,6.281174214084473e-08
1901,2.3416815869703456e-07,5.7564009670052485e-08
1902,2.1801660887721397e-07,4.812078202576231e-08
1903,2.0250826526790888e-07,3.942160842207443e-08
1904,2.3594603959509186e-07,4.7296700778076683e-08
1905,2.286216234104188e-07,6.089695575584031e-08
1906,2.6904085403955946e-07,5.864370211661196e-08
1907,2.79770673738966e-07,7.61140803717808e-08
1908,2.7307323957614926e-07,4.8622751380733575e-08
1909,2.948527212387475e-07,6.436150812305641e-08
1910,2.709484334673107e-07,8.710965626601563e-08
1911,2.8038372645866616e-07,5.746004094753232e-08
1912,2.8912288696503197e-07,5.834551897176965e-08
1913,3.457549360152967e-07,7.901454740499858e-08
1914,2.491188690889601e-07,7.768222892723387e-08
1915,1.460814509357533e-07,5.890381071793627e-08
1916,1.5052823032490892e-07,4.834483324778205e-08
1917,2.2371506536167374e-07,4.1672413075843906e-08
1918,2.6533529684513724e-07,6.317507050823679e-08
1919,2.522950512950928e-07,6.905886135166739e-08
1920,4.0057106343027726e-07,4.770506079054826e-08
1921,4.0287016789264385e-07,6.512562678029354e-08
1922,4.035730798435111e-07,4.869437625343309e-08
