year,sont_VERB assez_ADV,sont_VERB passés_ADJ
1800,1.1730877304216847e-05,4.338947121595993e-07
1801,1.1734467989299446e-05,4.690929813477851e-07
1802,1.2816110029234551e-05,3.8938418356337934e-07
1803,1.5165837794484105e-05,2.9645156018887064e-07
1804,1.0132116585737094e-05,4.6965166689005855e-07
1805,1.2309660633036401e-05,5.230895112617873e-07
1806,8.913002602639608e-06,3.861436539409624e-07
1807,1.001558848656714e-05,6.661874749624985e-07
1808,1.3118302376824431e-05,4.464165783701901e-07
1809,1.1498465028125793e-05,4.382519307455368e-07
1810,8.094498298305552e-06,3.533591268478631e-07
1811,1.0263972399116028e-05,3.1839874736760976e-07
1812,9.959355338651221e-06,3.120633493836067e-07
1813,1.0392930562375113e-05,3.8822511783109803e-07
1814,8.67224207468098e-06,8.464561460641562e-07
1815,1.0060643944598269e-05,4.962891466675501e-07
1816,1.234355841006618e-05,3.5227577654950437e-07
1817,1.1214158803340979e-05,3.5963776667813363e-07
1818,9.53455764829414e-06,4.935367314828909e-07
1819,9.254873475583736e-06,4.2749837803057744e-07
1820,8.736103154660668e-06,6.253635547182057e-07
1821,8.924646863306407e-06,4.6151765786817123e-07
1822,9.278707693738397e-06,4.1706562114995904e-07
1823,8.29849250294501e-06,3.824599730251066e-07
1824,8.445534149359446e-06,6.383203299265006e-07
1825,9.41477992455475e-06,4.948659011461132e-07
1826,9.440397661819588e-06,3.9107450788833376e-07
1827,8.892825462680776e-06,4.387422052332113e-07
1828,1.1500231266836636e-05,4.879664174950449e-07
1829,1.095737661671592e-05,4.1837100184238807e-07
1830,1.0858483619813342e-05,4.780071094501182e-07
1831,1.2002110452158377e-05,5.332192358764587e-07
1832,9.870112990029156e-06,5.209038249631703e-07
1833,1.12164270831272e-05,5.78023048092291e-07
1834,9.017157026391942e-06,5.348686045181239e-07
1835,9.259488251700532e-06,5.112647158966865e-07
1836,8.365989742742386e-06,5.29595126863569e-07
1837,9.631808097765315e-06,4.251271263910894e-07
1838,8.632512617623433e-06,4.513195790423197e-07
1839,8.973558578873053e-06,4.0550557400820253e-07
1840,7.485657988581806e-06,4.458782143501594e-07
1841,8.496954251313582e-06,4.873196530752466e-07
1842,7.676268069189973e-06,5.091573029858409e-07
1843,8.507133316015825e-06,4.2647897657843714e-07
1844,8.174114555004053e-06,4.4786659714191046e-07
1845,8.3826180343749e-06,4.3414172523625894e-07
1846,9.017688171297777e-06,4.443566581358027e-07
1847,7.693973202549387e-06,4.794575829691894e-07
1848,8.502190212311689e-06,4.827132897844422e-07
1849,8.536948371329345e-06,5.496896164913778e-07
1850,7.724519491603132e-06,4.3449574604892405e-07
1851,7.918621122371405e-06,4.211483428662177e-07
1852,8.586107469454873e-06,4.394618144942797e-07
1853,9.610629604139831e-06,4.4311732949608995e-07
1854,8.091727977443952e-06,4.2604449390637456e-07
1855,8.607321433373727e-06,3.513192439186241e-07
1856,8.061401786108036e-06,5.228961299508228e-07
1857,7.854836439946666e-06,4.554447912141768e-07
1858,7.414408628392266e-06,4.6832479938530014e-07
1859,7.936660949781071e-06,4.924131644656882e-07
1860,8.16706960904412e-06,4.806042852578685e-07
1861,7.821426152077038e-06,4.857442377215193e-07
1862,7.538259978900896e-06,5.222792083259264e-07
1863,7.015943992882967e-06,4.839787379751215e-07
1864,7.952536179800518e-06,4.6940385800553486e-07
1865,8.183790669136215e-06,4.7068442654563114e-07
1866,8.093947144516278e-06,5.099162194710516e-07
1867,8.694297321198974e-06,4.479144877223007e-07
1868,9.337350093119312e-06,4.4360069750837283e-07
1869,8.57350642036181e-06,4.986072781321127e-07
1870,8.278246241388842e-06,4.627377450105996e-07
1871,8.07315700512845e-06,5.42742156994791e-07
1872,8.399149919569027e-06,4.989054787074565e-07
1873,9.92299919744255e-06,4.920495939586544e-07
1874,9.482899258728139e-06,4.6123983565848903e-07
1875,9.267157111025881e-06,5.42400755421113e-07
1876,9.825378583627753e-06,4.0326918337996176e-07
1877,1.0070117241411936e-05,4.935483275403385e-07
1878,9.416750799573492e-06,4.124697454699344e-07
1879,9.606303137843497e-06,4.863022695644759e-07
1880,9.223728739016224e-06,4.5053280928186723e-07
1881,9.25600397749804e-06,4.4135973098491377e-07
1882,9.542491170577705e-06,4.938295887768618e-07
1883,9.628776751924306e-06,4.486730631469982e-07
1884,9.478056199441198e-06,4.436340361735347e-07
1885,9.812190910452046e-06,4.6666403363815334e-07
1886,9.811201380216517e-06,5.117597083881265e-07
1887,9.811014933802653e-06,5.432065108834649e-07
1888,9.354943358630408e-06,5.180282300898398e-07
1889,9.927109203999862e-06,5.193798529035121e-07
1890,1.0047874638985377e-05,5.545010708374321e-07
1891,9.572166163707152e-06,4.538444784429885e-07
1892,1.0054067388409749e-05,5.133911713528505e-07
