year,furent_VERB heureux_ADJ
1800,1.4148740490327327e-07
1801,1.6906396638205479e-07
1802,1.544109693440987e-07
1803,1.014176405078615e-07
1804,6.673997887673977e-08
1805,1.1371511021707192e-07
1806,9.221341201737232e-08
1807,9.964342950752325e-08
1808,1.0650547466184435e-07
1809,1.8524050915402768e-07
1810,1.9891076874500868e-07
1811,2.7577843297876825e-07
1812,2.2937990706850542e-07
1813,1.2940837734731758e-07
1814,7.552024783308298e-08
1815,8.091670622434322e-08
1816,1.1819779643928996e-07
1817,1.3544799060127843e-07
1818,1.5974377731708955e-07
1819,1.656167967212241e-07
1820,1.4477106446975085e-07
1821,9.861488337037372e-08
1822,1.6943290859217086e-07
1823,1.7788836714771605e-07
1824,1.3221146843989118e-07
1825,1.1887347994843367e-07
1826,1.2155018680459762e-07
1827,1.2627664602860023e-07
1828,1.7977710342620412e-07
1829,1.577464416868679e-07
1830,1.5968359434737067e-07
1831,1.7929886553247343e-07
1832,1.2853470821028168e-07
1833,1.285782786908385e-07
1834,1.0828055962974759e-07
1835,8.546289365085613e-08
1836,1.1761312634916976e-07
1837,1.2663360848819138e-07
1838,1.4391729052931623e-07
1839,1.4052865537905745e-07
1840,9.427139247009109e-08
1841,9.502412012807326e-08
1842,1.2678620464612322e-07
1843,1.5830521249426965e-07
1844,1.8661108924789005e-07
1845,1.350415175238595e-07
1846,1.299699334822435e-07
1847,9.222412700182758e-08
1848,9.654266364123032e-08
1849,9.384945087731467e-08
1850,1.5207351111712342e-07
1851,8.513259075471069e-08
1852,1.1653876441641842e-07
1853,1.2242460911693342e-07
1854,1.0962852314833071e-07
1855,1.4753285881852207e-07
1856,1.7291812071107415e-07
1857,1.4790973068556923e-07
1858,1.2968241946964554e-07
1859,1.7720763878514845e-07
1860,1.6294774241032428e-07
1861,1.367629494097855e-07
1862,1.897554255947398e-07
1863,1.6282463377592649e-07
1864,1.12676104890852e-07
1865,1.3791053277145693e-07
1866,1.3039841917361628e-07
1867,1.7712761746224714e-07
1868,1.4029242834112665e-07
1869,1.1915786757299429e-07
1870,1.829161533350998e-07
1871,1.4444800910951017e-07
1872,1.015952975080836e-07
1873,1.3109350049944624e-07
1874,1.0933534611012874e-07
1875,1.0756470913975136e-07
1876,1.2938471627421677e-07
1877,1.3853987468337436e-07
1878,1.497694057661647e-07
1879,1.5151127286117116e-07
1880,1.642968641135667e-07
1881,1.5688142696035356e-07
1882,1.3377324137309188e-07
1883,1.5545573717190564e-07
1884,1.2675258176386706e-07
1885,1.340692250551001e-07
1886,1.1035422886607194e-07
1887,1.044627921942265e-07
1888,1.0779044856690234e-07
1889,1.2467621957057418e-07
1890,1.4223019206838217e-07
1891,9.242619114502304e-08
1892,1.385341192872147e-07
1893,1.0161387109519637e-07
1894,1.0964678409663975e-07
1895,1.552802473270276e-07
1896,1.2855522868449043e-07
1897,1.3226639339336543e-07
1898,1.0071871514583108e-07
1899,1.525611708075303e-07
1900,1.3808201515530527e-07
1901,1.212756330914999e-07
1902,1.0557110385889246e-07
1903,1.188048486255866e-07
1904,1.0749250378694342e-07
1905,1.1611707861902687e-07
1906,1.4249391711018689e-07
1907,1.0954256168815846e-07
1908,1.2622270162410132e-07
1909,1.2762281187406188e-07
1910,1.1864014481943741e-07
1911,1.0640748371315567e-07
1912,1.3023553435687063e-07
1913,1.283323456391372e-07
1914,1.0246017723147816e-07
1915,1.1309531089409575e-07
1916,1.3844201873780548e-07
1917,1.3927359532317496e-07
1918,1.6884973774722312e-07
1919,1.0128633221029304e-07
1920,1.166123695384158e-07
1921,1.2873670129920356e-07
1922,8.410846419337759e-08
1923,1.390689163827119e-07
1924,1.0184383114619777e-07
1925,1.2977849905837502e-07
1926,1.1926367449177633e-07
1927,1.226414667598874e-07
1928,1.0626218482912009e-07
1929,1.0360577817891681e-07
1930,1.1448928205481934e-07
1931,9.466445760608622e-08
1932,1.16171086972372e-07
1933,1.066771559976587e-07
1934,1.0543790551764687e-07
1935,8.976213194955562e-08
1936,1.1397231958198972e-07
1937,7.051026074123001e-08
1938,9.464606876008475e-08
1939,1.0247013904063351e-07
1940,1.0650288118085882e-07
1941,9.444808313219255e-08
1942,1.153000468434584e-07
1943,1.0451646659248581e-07
1944,1.8636480092482088e-07
1945,1.1328221205531008e-07
1946,9.46635054788203e-08
1947,1.1682453759931377e-07
1948,1.2937546500779717e-07
1949,9.522498345404529e-08
1950,8.082874813908347e-08
1951,8.955577612823618e-08
1952,1.0439355691005403e-07
1953,8.403585383121026e-08
1954,7.133951385185355e-08
1955,8.07162265914485e-08
1956,8.721141853129666e-08
1957,1.0160293584249303e-07
1958,8.437688592266568e-08
1959,6.588135903484726e-08
1960,7.059249895746689e-08
1961,7.434530147065743e-08
1962,7.800606027785761e-08
1963,7.241979460559378e-08
1964,8.760914482763837e-08
1965,7.38725844939836e-08
1966,7.422359971087644e-08
1967,9.959278202131827e-08
1968,8.982831900539168e-08
1969,5.8588675244664046e-08
1970,8.691590380749403e-08
1971,7.399292201171193e-08
1972,8.464742506930634e-08
1973,7.277429148189185e-08
1974,4.894247496167736e-08
1975,5.88282453861666e-08
1976,6.799096752274636e-08
1977,6.523227824573041e-08
1978,6.297026544643813e-08
1979,8.075723201272922e-08
1980,5.628299248883195e-08
1981,7.084615560870589e-08
1982,4.6556266397601576e-08
1983,6.69423485533116e-08
1984,6.958810416790584e-08
1985,7.519447819959169e-08
1986,6.953602849080198e-08
1987,4.949761489569937e-08
1988,8.155313224733618e-08
1989,8.067539880585173e-08
1990,6.156975729254555e-08
1991,4.3374843272658836e-08
