year,seront_VERB assez_ADV,seront_VERB passés_ADJ
1800,2.924073059240584e-07,1.2576658381391326e-08
1801,3.524150145040039e-07,4.7623651688866175e-09
1802,4.1623826518844e-07,3.1329761895904085e-08
1803,3.003522515143686e-07,1.755305234496518e-08
1804,2.9662210820902146e-07,7.4155528384522995e-09
1805,3.69574102432324e-07,5.117179835423258e-08
1806,3.4003696214313095e-07,2.0171683878800195e-08
1807,3.1601200589648215e-07,3.131650672116848e-08
1808,2.719288656471974e-07,2.945896149242344e-08
1809,3.1626426899578064e-07,2.710836710662079e-08
1810,3.416585157012264e-07,1.1700633351097167e-08
1811,1.930449116116506e-07,4.26203050629681e-08
1812,2.960601093171533e-07,2.400487364440096e-08
1813,1.9267468553962885e-07,3.4508898849594516e-08
1814,2.674675556590955e-07,9.440030979135372e-09
1815,2.832084646797739e-07,2.1577788444915313e-08
1816,4.3802714344565175e-07,4.6352077731626196e-09
1817,3.658652625304626e-07,1.556873407970727e-09
1818,2.884924843460368e-07,1.192117715653751e-08
1819,4.0369095266612476e-07,3.105315005136333e-09
1820,3.465012472503304e-07,1.4239777357261119e-08
1821,3.9544568464222607e-07,4.536284503586785e-08
1822,1.8647645561031823e-07,8.02049271442229e-09
1823,2.609029210454139e-07,5.929612023614084e-09
1824,2.4673859133628184e-07,3.03160057057994e-08
1825,2.3334424348320226e-07,4.402721520690989e-09
1826,2.8185548728298926e-07,3.523193869980901e-08
1827,2.903440984303174e-07,4.3321183085254233e-08
1828,2.870930302378838e-07,1.6510142586412258e-08
1829,2.8720138933735484e-07,3.0006115814273926e-08
1830,2.1499881630582252e-07,4.383470919577803e-08
1831,2.837599515359557e-07,2.962329048727952e-08
1832,3.869571250092463e-07,2.0294953717581166e-08
1833,2.861156351841032e-07,3.475088550253247e-09
1834,2.9217081998211825e-07,7.467624518753269e-09
1835,3.6302822081779595e-07,2.0420337421001022e-08
1836,3.064662074114821e-07,2.2178475944656384e-08
1837,2.8875247748416655e-07,1.0436836062055477e-08
1838,2.651108133022717e-07,1.4517972157790382e-08
1839,3.006334187150017e-07,1.25846553178377e-08
1840,3.1784745280205584e-07,1.7198159341091923e-08
1841,2.587480962823463e-07,6.420548537278137e-09
1842,2.5692656402398484e-07,1.475818312002275e-08
1843,2.504530184355147e-07,6.497602011990011e-09
1844,2.3216613886933857e-07,2.0307677539577185e-08
1845,2.82917554272899e-07,1.7298706467272496e-08
1846,2.7633245380798144e-07,1.5807153364022497e-08
1847,2.691218456973843e-07,1.7258315665458213e-08
1848,2.671013591970528e-07,1.769948720919956e-08
1849,2.5305832362931824e-07,1.4245005175439474e-08
