year,auraient_VERB eu_VERB,auraient_VERB pu_VERB
1800,7.48311151710368e-07,3.84845725420746e-06
1801,5.357661052585172e-07,3.166972874169005e-06
1802,7.541520972154103e-07,3.2180141715798527e-06
1803,8.327948535225005e-07,4.054755208926508e-06
1804,1.1815448033303255e-06,5.213133590586949e-06
1805,8.69920597779128e-07,3.9231713344634045e-06
1806,8.78909077073331e-07,3.803803338087164e-06
1807,1.412089773111802e-06,6.436965577449882e-06
1808,1.0355958011132316e-06,4.466431619221112e-06
1809,1.04819014268287e-06,4.721373898064485e-06
1810,1.4742798839506577e-06,5.0827552513510454e-06
1811,1.3262435913929949e-06,6.162394583952846e-06
1812,1.0028702490672003e-06,7.1187787398230284e-06
1813,1.1761783298425144e-06,5.751483513449784e-06
1814,1.0037899755843682e-06,5.4122847359394655e-06
1815,1.2245394600540749e-06,6.9480479396588635e-06
1816,1.0753682317954372e-06,5.052376309322426e-06
1817,1.2813068224204471e-06,7.278383236553054e-06
1818,1.3494773156708106e-06,6.405248768714955e-06
1819,1.538166088721482e-06,6.677462351944996e-06
1820,1.7253863688893034e-06,7.666933015570976e-06
1821,1.5640320043530664e-06,7.148592885641847e-06
1822,1.4025836208020337e-06,7.638516763108782e-06
1823,1.6434908047813224e-06,6.898115316289477e-06
1824,1.5065370462252758e-06,6.631626092712395e-06
1825,1.463464627704525e-06,7.385125172731932e-06
1826,1.4039926554687554e-06,7.496475518564694e-06
1827,1.944844598256168e-06,9.257829333364498e-06
1828,2.1995178940414917e-06,8.706348125997465e-06
1829,1.9949779925809707e-06,9.209305972035509e-06
1830,1.8441888869347167e-06,8.715801413927693e-06
1831,1.8023433767666575e-06,7.996729436854366e-06
1832,1.692599198577227e-06,7.927209480840247e-06
1833,1.813996277633123e-06,7.371821084234398e-06
1834,1.6923504517762922e-06,8.076236554188654e-06
1835,1.8121158973372076e-06,7.491994892916409e-06
1836,1.6143242191901663e-06,7.711388207098935e-06
1837,1.6128391280290089e-06,7.602191544719972e-06
1838,1.8463073274688213e-06,7.545558219135273e-06
1839,1.6800514686110546e-06,7.790600648149848e-06
1840,1.8351073549638386e-06,9.044320904649794e-06
1841,1.968540118468809e-06,8.259393325715791e-06
1842,1.7421364191250177e-06,7.593755981361028e-06
1843,1.9073415842285613e-06,8.052891644183546e-06
1844,1.7267013845412293e-06,7.987503522599582e-06
1845,1.829198708946933e-06,8.009301382116973e-06
1846,1.8236771666124696e-06,7.883086254878435e-06
1847,1.9458750557532767e-06,8.728393368073739e-06
1848,1.955793322849786e-06,8.319563676195685e-06
1849,2.066363776975777e-06,8.31489342090208e-06
1850,2.0027537175337784e-06,7.73198735259939e-06
1851,1.917418103403179e-06,8.152735972544178e-06
1852,1.759149427016382e-06,7.571113201265689e-06
1853,1.6834875395943527e-06,6.970438789721811e-06
1854,1.7436649386581848e-06,7.240677859954303e-06
1855,1.777823968041048e-06,7.141545211197808e-06
1856,1.7705987147564883e-06,7.05806223777472e-06
1857,1.7182911733470974e-06,7.64932428864995e-06
1858,1.7034885786415543e-06,7.336599082918838e-06
1859,1.709951789052866e-06,7.644879588042386e-06
1860,1.7178170992337982e-06,7.240647391881794e-06
1861,1.7519805624033324e-06,7.281447778950678e-06
1862,1.661715373302286e-06,7.429828201566124e-06
1863,1.6871829302544938e-06,7.2312118390982505e-06
1864,1.559724978505983e-06,7.065990757837426e-06
1865,1.7796578504203353e-06,7.026377261354355e-06
1866,1.8786131477099843e-06,7.342696335399523e-06
1867,1.621809587959433e-06,7.378700047411257e-06
1868,1.5975552969393902e-06,7.121322596503887e-06
1869,1.7595319832253153e-06,6.95120115778991e-06
1870,1.6949848031799775e-06,6.895767000969499e-06
1871,2.039266064457479e-06,8.279207577288616e-06
1872,1.8535095023253234e-06,7.929876119305845e-06
1873,1.7119972426371532e-06,7.485498372261645e-06
1874,1.5808815305717872e-06,7.232264579215553e-06
1875,1.695288460723532e-06,6.726227184117306e-06
1876,1.7557626961206552e-06,6.945057066332083e-06
1877,1.4967254173825495e-06,6.4643695623090025e-06
1878,1.7012113175951527e-06,6.797598416596884e-06
1879,1.6800644289105549e-06,7.13691360942903e-06
1880,1.5434919760082266e-06,6.730395398335531e-06
1881,1.551382979414484e-06,6.351954198180465e-06
1882,1.6139308627316495e-06,6.400483925972367e-06
1883,1.6815761227917392e-06,6.467843377322424e-06
1884,1.543476741971972e-06,6.597075753234094e-06
1885,1.6081861531347386e-06,6.600330834771739e-06
1886,1.5669010053898091e-06,6.427004791476065e-06
1887,1.5924047147564124e-06,6.469511390605476e-06
1888,1.575008695908764e-06,6.5999456637655385e-06
1889,1.632068119761243e-06,6.298968401097227e-06
1890,1.5750190414109966e-06,6.5969898059847765e-06
1891,1.5553097227893886e-06,6.64321214571828e-06
1892,1.5896947616056423e-06,6.350629973894684e-06
1893,1.6492239183207857e-06,6.4189175645879e-06
1894,1.5564802424705704e-06,6.5989720496872906e-06
1895,1.6316463415932958e-06,7.000852292549098e-06
1896,1.722522142699745e-06,6.756815764674684e-06
1897,1.5644725408492377e-06,6.735680926794885e-06
1898,1.5639692492186441e-06,6.599339485546807e-06
1899,1.525611651231884e-06,6.458975349232787e-06
1900,1.508000991634617e-06,6.496084097307175e-06
1901,1.604526914888993e-06,6.662335636065109e-06
1902,1.2639070519071538e-06,5.9355511439207476e-06
1903,1.3921768413638347e-06,6.392240720742848e-06
1904,1.3108710845699534e-06,6.497921731352108e-06
1905,1.4522375977321644e-06,6.4349505919381045e-06
1906,1.4748377452633576e-06,6.465725618909346e-06
1907,1.5119959471121547e-06,6.416211363102775e-06
1908,1.4518066109303618e-06,6.527236109832302e-06
1909,1.4011004623171175e-06,6.393793228198774e-06
1910,1.5353745084212278e-06,6.440236120397458e-06
1911,1.3694642575501348e-06,6.62333377476898e-06
1912,1.2862061566920602e-06,6.317985935311299e-06
1913,1.4238527228371822e-06,6.159422355267452e-06
1914,1.4418088767342851e-06,6.22931111138314e-06
1915,1.6987859225991997e-06,7.718755114183296e-06
1916,1.42946885262063e-06,8.010958481463604e-06
1917,1.511173309154401e-06,7.478005045413738e-06
1918,1.5230934877763502e-06,7.286957043106668e-06
1919,1.5524432228630758e-06,7.57069301471347e-06
1920,1.4288801821749075e-06,6.967967692617094e-06
1921,1.3691527556147776e-06,6.413359642465366e-06
1922,1.29335205656389e-06,6.339859737636289e-06
1923,1.3386710406848579e-06,6.228376605577068e-06
1924,1.3497531199391233e-06,5.9559306464507245e-06
1925,1.2229974117872189e-06,5.720152330468409e-06
1926,1.1547399481059983e-06,5.5853302001196425e-06
