year,peuvent_VERB oser_VERB,peuvent_VERB poser_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,0.0,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,2.7190360185613827e-08
1805,1.7057265822018053e-08,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,1.581321384946932e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.300593315851529e-08,0.0
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.1921176934492905e-08,4.768470951432846e-09
1819,1.2421260464634543e-08,1.035105001712111e-09
1820,1.6613073583471305e-08,0.0
1821,0.0,1.2819934447350079e-08
1822,1.2030739071633434e-08,1.604098542884458e-08
1823,9.882686891060644e-10,9.882686669016039e-09
1824,2.189489300974401e-08,1.3473780313688621e-08
1825,1.4088708866211164e-08,3.522177216552791e-09
1826,8.807984341885344e-10,4.403992281964975e-09
1827,1.1982455028203276e-08,4.055600300034712e-08
1828,6.420610709767516e-09,2.109629271274116e-08
1829,1.3717081692732336e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,1.3567886369969528e-08
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,1.6217079235048004e-08
1834,7.467624740797874e-09,1.4935249481595747e-08
1835,3.781543966852041e-09,6.050470346963266e-09
1836,6.048674894287842e-09,4.704525213838906e-09
1837,1.3915781860163179e-09,1.1132625488130543e-08
1838,2.5248647617104325e-09,8.2058102535143e-09
1839,2.0974426639952526e-09,2.586845759822154e-08
1840,4.458782232319436e-09,8.280594876453051e-09
1841,1.4767261191650505e-08,1.2841097074556274e-08
1842,5.366612043644636e-09,2.4149754196400863e-08
1843,2.953455480181333e-09,1.5357969118667825e-08
1844,5.488561161115513e-09,2.195424508855126e-09
1845,5.022205318283568e-09,1.2834524554250493e-08
1846,2.3418005312692003e-09,2.1661655580373917e-08
1847,4.853901280910122e-09,2.2112217834546755e-08
1848,8.045221711050488e-10,1.609044275596716e-08
1849,8.379414939696517e-10,1.256912263158938e-08
1850,1.6972489191857676e-08,2.1045888587423178e-08
1851,4.514607354622058e-09,1.3543821175687754e-08
1852,1.3021090872200602e-09,9.765818376195057e-09
1853,5.971931837933653e-09,9.555090940693844e-09
1854,6.234797567117312e-09,1.506742641765868e-08
1855,3.714855978387277e-09,1.3798036491152743e-08
1856,2.5885946719483854e-09,2.0708757375587084e-08
1857,3.4170564155999728e-09,5.857811125054013e-09
1858,1.468102750479261e-09,7.34051397444091e-09
1859,1.1202780925145817e-08,6.619825576592575e-09
1860,7.781213007262977e-09,5.950338888283113e-09
1861,9.431927239234028e-09,5.187560159214399e-09
1862,9.035972525772706e-10,8.132375661773494e-09
1863,1.4983863039219614e-09,1.1987090431375691e-08
