year,doit_VERB unir_VERB,doit_VERB punir_VERB
1800,1.477757365364596e-07,2.0751485863002017e-07
1801,1.976381582835529e-07,1.6906396638205479e-07
1802,8.280008501060365e-08,2.663029761151847e-07
1803,6.826187615160961e-08,1.969842600146876e-07
1804,1.1617699158250616e-07,2.496569493359857e-07
1805,1.2224374756897305e-07,2.7860201612384117e-07
1806,8.645007198992971e-08,1.8442682403474464e-07
1807,1.4519470425966574e-07,2.419911879769643e-07
1808,1.7901984961099515e-07,2.0847880932706175e-07
1809,1.0391540428145163e-07,1.0617443280125372e-07
1810,1.0530570193623134e-07,2.7145469516653975e-07
1811,1.1281845502253418e-07,1.579458341893769e-07
1812,6.668020802180763e-08,2.053750307595692e-07
1813,1.2365688917270745e-07,1.8979895344273245e-07
1814,7.552024783308298e-08,1.195737269199526e-07
1815,1.3755840200246894e-07,1.294667271167782e-07
1816,1.9467873357825738e-07,2.3639559287857992e-07
1817,1.370048607896024e-07,3.5963776667813363e-07
1818,1.2994082965178677e-07,2.622658996642713e-07
1819,9.729986771844779e-08,3.343389209931047e-07
1820,1.376511846729045e-07,2.895421289395017e-07
1821,1.1537941446704281e-07,2.5344024834339507e-07
1822,1.5339192316332628e-07,2.476327267686429e-07
1823,1.2946320282480883e-07,2.431141012948501e-07
1824,1.0947446327236321e-07,1.684222468156804e-07
1825,1.1799293986314296e-07,2.2629988905009668e-07
1826,8.103345550125596e-08,2.818555060457584e-07
1827,1.1337245808817897e-07,2.359621902314757e-07
1828,1.3208114069129806e-07,2.4490043415426044e-07
1829,1.0802202154991392e-07,2.220452586243482e-07
1830,1.586399065445221e-07,2.0978039572128182e-07
1831,6.704218691311326e-08,2.182768810143898e-07
1832,1.7453660916544322e-07,2.557164293648384e-07
1833,8.68772147555319e-08,1.1931138033105526e-07
1834,7.467625096069241e-08,2.1656111925949517e-07
1835,1.0512692227848675e-07,1.701694714029145e-07
1836,1.2030142215735395e-07,2.1909644942752493e-07
1837,1.2176309382994077e-07,1.6003149028165353e-07
1838,1.2434958307494526e-07,1.60328909259988e-07
1839,1.1955422962728335e-07,1.789817645203584e-07
1840,1.598791925516707e-07,2.0765185126947472e-07
1841,1.2905302071430924e-07,1.5794549312886375e-07
1842,1.2745704225380905e-07,1.9722298816304829e-07
1843,1.4176586660141766e-07,1.553517563479545e-07
1844,1.0538037997775973e-07,1.3831174783263123e-07
1845,1.545723193885351e-07,1.5680440412779717e-07
1846,1.33482629394166e-07,1.8090409525939322e-07
1847,9.599938266546815e-08,1.450777205036502e-07
1848,1.6009991554710723e-07,1.1585119352730544e-07
1849,1.3071887394744408e-07,9.384945087731467e-08
1850,1.398533129304269e-07,1.5886250537278102e-07
1851,1.0899551483589676e-07,1.6897529064863193e-07
1852,1.3281513133733824e-07,1.354193415181726e-07
1853,1.2003583549358154e-07,1.1227231766497425e-07
1854,1.2053941134126944e-07,1.4651773483365105e-07
1855,1.422259146011129e-07,1.3744967475304293e-07
1856,1.1803991384340407e-07,1.5428024369157356e-07
1857,1.137391620886774e-07,1.332652033170234e-07
1858,9.83628893891364e-08,1.48278388678591e-07
1859,1.0642641967706368e-07,1.4461772934737382e-07
1860,1.2907658231142705e-07,1.0573295128324389e-07
1861,1.2638783175589197e-07,1.1742749705945243e-07
1862,1.0888346935189475e-07,1.5135253761400236e-07
1863,1.1587520276634677e-07,1.7481173131272953e-07
1864,1.5247235296556028e-07,1.534313014417421e-07
1865,1.299088978612417e-07,1.09198786901743e-07
1866,1.3818340960369824e-07,1.0704348341050718e-07
1867,1.3005535492993658e-07,1.3151118594123545e-07
1868,1.0768925307047539e-07,1.2991868914014049e-07
1869,1.1866951865613373e-07,1.1427434998267927e-07
1870,1.2557566719806346e-07,1.5653952800676052e-07
1871,5.8416475212652585e-08,8.709365317827178e-08
1872,1.4815981330684735e-07,1.4695034167289123e-07
1873,9.278306833948591e-08,1.1074108385855652e-07
1874,8.603436896237326e-08,6.930546447847519e-08
1875,6.293679888358383e-08,1.172913073332893e-07
1876,1.148742825307636e-07,1.1064206972832835e-07
1877,9.586464955191332e-08,1.434877248129851e-07
1878,6.401433694236403e-08,7.850815109122777e-08
1879,1.1241158404118323e-07,1.2646303559904482e-07
1880,1.0204375655575859e-07,1.2386443870582298e-07
1881,9.133984946174678e-08,1.0110135661989261e-07
1882,1.0182738918729228e-07,9.517200538766701e-08
1883,5.687405035814663e-08,8.278333751832179e-08
1884,6.931782081665006e-08,9.770511155693384e-08
1885,7.412481295432372e-08,8.766064496512627e-08
1886,1.1616234729672215e-07,5.3563748991791726e-08
1887,6.724792456225259e-08,7.63884173693441e-08
1888,8.750048152705858e-08,7.925768130689903e-08
1889,8.269980611430583e-08,7.330209683686917e-08
1890,7.734175966334078e-08,8.782878069268918e-08
1891,9.37010327106691e-08,5.736798058819659e-08
1892,8.149066133000815e-08,6.39388275658348e-08
1893,8.80653558965605e-08,6.77425830986067e-08
1894,5.923446977362801e-08,3.654892921645114e-08
1895,7.52326840824935e-08,5.476939080040211e-08
1896,8.668632744956994e-08,1.0614652268259306e-07
1897,6.642453342919907e-08,5.4188436848789934e-08
1898,8.148030872234813e-08,6.620275172508627e-08
1899,7.793885714590942e-08,5.5828543565894506e-08
1900,1.0849301190773986e-07,6.800279805929677e-08
1901,8.774320292559423e-08,9.612630691435697e-08
1902,8.396585116088318e-08,4.2228439411928775e-08
1903,7.506306332061286e-08,4.75219366080637e-08
1904,7.954444924962445e-08,3.117282432185675e-08
1905,1.0321517862621477e-07,6.760594573052003e-08
1906,9.46529965517584e-08,4.3211148437194424e-08
1907,6.737124635947112e-08,6.58283951793237e-08
1908,7.17062818011982e-08,7.367083298959187e-08
1909,8.911593596394596e-08,6.436150812305641e-08
1910,9.40570501484217e-08,8.71096546006811e-08
1911,6.544060227042792e-08,6.650467554436545e-08
1912,8.282979990781314e-08,5.2094211611120045e-08
1913,6.41661728195686e-08,5.037840367094759e-08
1914,6.830678245250965e-08,5.022557658662663e-08
1915,1.0956108553727972e-07,4.358881966481931e-08
1916,1.0987461962486123e-07,4.394984642885902e-08
1917,5.812205117194935e-08,3.838248474608008e-08
1918,8.499918635607173e-08,3.9053681177847466e-08
1919,1.3719693470193306e-07,4.235610262526279e-08
1920,1.166123695384158e-07,3.33178178379967e-08
1921,5.679560644011872e-08,3.256281289054641e-08
1922,7.009038682781465e-08,2.951174238319254e-08
1923,7.961961046021315e-08,4.2463792482294593e-08
1924,8.379555538340355e-08,3.480738541838946e-08
1925,5.829034321891413e-08,3.959344141435395e-08
1926,7.244990030130793e-08,3.343841470382358e-08
1927,9.922810306761676e-08,2.1183527820767267e-08
1928,8.6837914636817e-08,2.399468712610542e-08
1929,8.132496986945625e-08,1.4482528065684619e-08
1930,6.19712636762415e-08,5.671945757512731e-08
1931,8.097803316786667e-08,3.42160717536899e-08
1932,6.575722011348262e-08,3.06867029564728e-08
1933,6.76769076335404e-08,2.7529589274877253e-08
1934,9.106000931069502e-08,3.2350264689284813e-08
1935,7.4203363453762e-08,3.231436807027421e-08
1936,7.032334536916096e-08,3.6374142808881516e-08
1937,8.310137644684801e-08,2.1404900962807005e-08
1938,8.427389275311725e-08,2.463390735840676e-08
1939,1.0552894735837981e-07,2.4470480752825097e-08
