year,auraient_VERB assez_ADV,auraient_VERB passé_VERB
1800,3.458580977167003e-08,4.7162465932615305e-08
1801,3.333655484993869e-08,5.9529565277216534e-08
1802,4.0281122437590966e-08,1.1636768704192946e-07
1803,7.216254971353919e-08,7.996391104825307e-08
1804,8.898663139689234e-08,7.415552971679062e-08
1805,4.5486043376286034e-08,9.950071699904584e-08
1806,1.152667650217154e-08,1.2967511509032192e-07
1807,6.263301344233696e-08,1.9074599322266295e-07
1808,9.064295980465431e-09,1.359644414833383e-07
1809,5.421673421324158e-08,9.93973401364201e-08
1810,6.786367379163494e-08,1.5210824244604737e-07
1811,1.7549536934780008e-08,1.1532553401139012e-07
1812,4.800974906515876e-08,9.335229123053068e-08
1813,4.026038169513413e-08,8.627225156487839e-08
1814,1.8880061958270744e-08,1.0384034254684593e-07
1815,2.4275012222574333e-08,8.361393355471591e-08
1816,1.0660977523002657e-07,1.1819779643928996e-07
1817,5.4490570278176165e-08,2.1484852652520203e-07
1818,6.079800130009971e-08,1.585516571367407e-07
1819,5.796588098405664e-08,1.604412744882211e-07
1820,5.93324074316115e-08,1.3409123766905395e-07
1821,1.0354562363090736e-07,1.9427132258442725e-07
1822,7.318699601910339e-08,1.5038423839541792e-07
1823,1.0475648082319822e-07,1.0475648082319822e-07
1824,4.378978601948802e-08,1.1368501873221248e-07
1825,3.169959583715354e-08,1.3296218526193115e-07
1826,6.34174881497529e-08,1.1274219957613241e-07
1827,6.820781806027298e-08,1.8803237367137626e-07
1828,5.961995697134626e-08,1.430879024155729e-07
1829,4.8009784592295546e-08,2.769135960534186e-07
1830,7.618890407457002e-08,1.9934356032536016e-07
1831,4.365537620287796e-08,1.933309619062129e-07
1832,6.22378593106987e-08,2.5706941642056336e-07
1833,4.865124125785769e-08,1.5522061858064262e-07
1834,7.560969805808782e-08,2.025593204280085e-07
1835,8.848812882433776e-08,1.8000149282215716e-07
1836,6.115882911217341e-08,1.5457725055512128e-07
1837,5.0792603900617905e-08,1.7673042407295725e-07
1838,6.817134590164642e-08,1.956770177002909e-07
1839,6.152497888933794e-08,1.587064843988628e-07
1840,6.242294858793684e-08,1.9236459536386974e-07
1841,4.494383887276854e-08,1.9839494314055628e-07
1842,6.909512961783548e-08,2.072853959589338e-07
1843,6.852016554148577e-08,1.9670014239636657e-07
1844,5.653217982626302e-08,1.6849882911174063e-07
1845,4.631589334280761e-08,2.187449297252897e-07
1846,2.9272506196775794e-08,2.2071469629736384e-07
1847,5.123562374365065e-08,1.9145943497278495e-07
1848,3.378993085334514e-08,1.6331800622992887e-07
1849,5.362825561405771e-08,2.2959596890359535e-07
1850,3.8018377779280854e-08,1.5207351111712342e-07
1851,5.0305622778523684e-08,1.6123597390560462e-07
1852,4.7526981461487594e-08,1.8555054737134924e-07
1853,4.478948767427937e-08,1.6900567345601303e-07
1854,6.702406807335137e-08,1.7509388783309987e-07
1855,4.351688431825096e-08,1.6610712805231742e-07
1856,4.6076984006049315e-08,1.3564235246121825e-07
1857,6.541222319356166e-08,1.4790973068556923e-07
1858,3.327699715782728e-08,1.6540624869776366e-07
1859,4.8884864156661934e-08,1.8026292991635273e-07
1860,4.668727626722102e-08,1.5837056821510487e-07
1861,4.33868656557479e-08,1.249730416930106e-07
1862,2.5300723294208183e-08,1.115942609430931e-07
1863,4.694943456229339e-08,1.5633163741313183e-07
1864,5.274200631788517e-08,1.5486970994516014e-07
1865,4.848049783845454e-08,1.6521023837867688e-07
1866,4.719644408623935e-08,1.3818340960369824e-07
1867,3.299911810472622e-08,1.6887784681784979e-07
1868,2.667531973088444e-08,1.59063944238369e-07
1869,3.271957993433716e-08,1.5773767358950863e-07
1870,5.734048613703635e-08,1.358969541342958e-07
1871,5.523012092112367e-08,1.4975860551658116e-07
1872,2.7213026498884574e-08,1.669065596843211e-07
1873,4.2500630570430076e-08,1.4306550610854174e-07
1874,3.823749850084823e-08,1.3741600923822261e-07
1875,3.318485752856759e-08,1.8308887206330837e-07
1876,1.5719638923883394e-08,1.511503739948239e-07
1877,2.6594708657512456e-08,1.3421050937267864e-07
1878,3.140326043649111e-08,1.5641239770047832e-07
1879,6.1704184872724e-08,1.3257235309538373e-07
1880,4.941741593711413e-08,1.01401973040538e-07
1881,3.974329487732575e-08,1.7222093617874634e-07
1882,2.2628309892525067e-08,1.317766304964607e-07
1883,1.9589950994713945e-08,1.31442249085012e-07
