year,doit_VERB oser_VERB,doit_VERB poser_VERB
1800,1.8864987794131594e-08,1.0375742931501009e-07
1801,5.9529565277216534e-08,1.4287095950749062e-07
1802,2.6854081625060644e-08,2.215461734067503e-07
1803,2.9255089017965474e-08,1.0726865440346955e-07
1804,1.4831105232815389e-08,1.928043786847411e-07
1805,2.2743021688143017e-08,1.7910129201936797e-07
1806,3.458002950651462e-08,1.613734639249742e-07
1807,5.693910232196231e-09,9.679647661187119e-08
1808,2.2660739062985158e-08,1.359644414833383e-07
1809,1.581321384946932e-08,8.584316191218022e-08
1810,2.106114038724627e-08,1.5210824244604737e-07
1811,0.0,9.777599530025327e-08
1812,5.3344164641089264e-09,1.1202274663446588e-07
1813,1.4378708002027452e-08,1.0927818294703684e-07
1814,9.125363931161701e-08,4.405347908686963e-08
1815,3.236668177919455e-08,7.552225866902518e-08
1816,2.5493642752394408e-08,2.6188922674919013e-07
1817,3.580808893843823e-08,1.1832237589715078e-07
1818,1.9073883805731384e-08,1.418620172444207e-07
1819,3.2088255608186955e-08,9.419455437864599e-08
1820,2.610625848831205e-08,9.137190204455692e-08
1821,2.859831660373402e-08,9.664258726616026e-08
1822,2.2056354964661296e-08,9.223566621585633e-08
1823,7.906149512848515e-09,5.435477845594505e-08
1824,4.463189640091514e-08,1.3305357526860462e-07
1825,2.3774695989686734e-08,1.382454541953848e-07
1826,1.5854372037438225e-08,1.418085417981274e-07
1827,2.3043183361437514e-08,1.2627664602860023e-07
1828,1.2841221419535032e-08,1.7060480672626e-07
1829,2.0575622983187714e-08,1.1316592463117559e-07
1830,1.1480519646056564e-08,1.2628571255390852e-07
1831,6.236482441579483e-09,1.3564348932959547e-07
1832,3.6530916958099624e-08,1.2853470821028168e-07
1833,5.791814139399776e-09,9.382738852536932e-08
1834,2.333632664885954e-08,1.23215812664057e-07
1835,1.5882484660778573e-08,1.2781617897417163e-07
1836,1.344150035720304e-08,8.736974876910608e-08
1837,7.653680356156656e-09,1.1132625843401911e-07
1838,8.837027110075724e-09,1.0667553596022117e-07
1839,1.5381244722334486e-08,1.3213887939400593e-07
1840,1.52872523528913e-08,1.254828703167732e-07
1841,6.420548537278137e-09,1.1492782192590312e-07
1842,1.475818312002275e-08,1.2678620464612322e-07
1843,3.2488010504039266e-08,2.463181942857773e-07
1844,2.140538946093784e-08,8.177956090094085e-08
1845,1.897277535078956e-08,1.2109094882362115e-07
1846,1.1709002656346001e-08,1.7914774730343197e-07
1847,2.7505439703645607e-08,1.8175163063460786e-07
1848,8.04522137798358e-09,1.1906928421012708e-07
1849,7.54147322368226e-09,1.080944542763973e-07
1850,3.2587180953669304e-08,1.2016522532576346e-07
1851,2.7087642351375507e-08,1.3930787190474803e-07
1852,3.1250618093281446e-08,1.0351767087968256e-07
1853,8.957897534855874e-09,8.599582201895828e-08
