year,devrait_VERB unir_VERB,devrait_VERB punir_VERB
1800,1.2576657937302116e-08,2.2009152278457123e-08
1801,7.143547975374531e-09,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,5.851017448321727e-09
1804,0.0,2.2246657849223084e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,2.881669125542885e-09,1.729001475325731e-08
1807,1.4234775136401367e-08,2.8469550272802735e-08
1808,0.0,9.064295980465431e-09
1809,4.518061036407062e-09,6.7770915546105925e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,0.0,1.1502966579257645e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,3.776112933451259e-08
1816,0.0,4.6352077731626196e-09
1817,1.401186100480345e-08,1.712560726563339e-08
1818,0.0,2.384235475716423e-09
1819,4.140420006848444e-09,1.2421260464634543e-08
1820,5.933240565525466e-09,1.898636980968149e-08
1821,1.97229765852569e-09,3.747365440176509e-08
1822,1.1028177482330648e-08,3.107940926838637e-08
1823,6.917880934764753e-09,1.0870955913233615e-08
1824,8.421112696055388e-10,1.6000115010683658e-08
1825,5.283265824829186e-09,1.4088708866211164e-08
1826,8.807984341885344e-10,7.92718590769681e-09
1827,0.0,1.5669364195058932e-08
1828,3.668920500743411e-09,8.255071071161524e-09
1829,2.571952872898464e-09,2.9148798597056214e-08
1830,1.1480519646056564e-08,3.444155804999127e-08
1831,4.677361609140007e-09,4.677361831184612e-09
1832,1.3529969367098715e-09,9.470978779013706e-09
1833,8.108539617524002e-09,8.108539617524002e-09
1834,6.534171426153534e-09,5.60071877764301e-09
1835,8.31939672707449e-09,2.117664621437143e-08
1836,6.72075017860152e-09,2.1506400216253496e-08
1837,1.3915781860163179e-09,1.8090515752078318e-08
1838,9.468243078458727e-09,8.837026443941909e-09
1839,5.5931801412612e-09,2.0974425751774106e-08
1840,1.4013314952876499e-08,3.694419348221345e-08
1841,6.420548537278137e-09,1.7977535460289573e-08
1842,1.8783142152756227e-08,7.379091560011375e-09
1843,1.3585895075607368e-08,4.725528912619126e-09
1844,7.1351298203126134e-09,1.811225303072206e-08
1845,1.1160455670733427e-08,2.7343116215661212e-08
1846,7.025401593807601e-09,1.9319854827060112e-08
1847,5.9325460100012606e-09,7.550513103637968e-09
1848,1.6090443422100975e-09,9.65426583121598e-09
1849,9.217356655710773e-09,9.217356211621563e-09
1850,6.788996032014438e-09,1.968808760466345e-08
1851,1.4188765717904062e-08,7.739326512989919e-09
1852,1.3021090872200602e-09,2.5391127644880385e-08
1853,1.1943863675867306e-08,1.1943863675867306e-09
1854,1.558699302961486e-08,1.558699302961486e-08
1855,1.1144567935161831e-08,1.8043586180738203e-08
1856,1.2425253714809514e-08,2.0708757375587084e-08
1857,2.4407544874094356e-09,4.881508974818871e-09
1858,7.829881631948865e-09,6.8511463169329545e-09
1859,8.656694916453489e-09,1.9350259394812497e-08
1860,9.612086238064421e-09,1.373155189554609e-08
1861,2.2165028923382124e-08,7.073945429425521e-09
1862,1.536115412648087e-08,1.0391368654438793e-08
1863,1.4484400345793347e-08,8.990317823531768e-09
1864,1.0068928801842958e-08,1.102787461348953e-08
1865,2.2122168985561075e-08,1.694463946932956e-08
1866,2.092213513549268e-08,8.75810357570117e-09
1867,8.73506067478047e-09,1.747012134956094e-08
1868,2.0253484223076157e-08,1.086772305480821e-08
1869,6.348574999037737e-09,2.05107812956129e-08
1870,7.454262984651905e-09,1.9495765002375265e-08
1871,8.496941816815706e-09,3.18635318130589e-09
1872,3.084143074261192e-08,7.256807155187062e-09
1873,1.496501056408306e-08,1.2570609442263958e-08
1874,1.1949218281515073e-09,2.0911132381229436e-08
1875,6.293679799540541e-09,1.5448122780981066e-08
1876,1.4510435519810017e-08,9.67362390191795e-09
1877,5.566334504436554e-09,9.27722432209066e-09
1878,7.850815109122777e-09,1.3889904337816006e-08
1879,4.887460214320072e-09,9.774920428640144e-09
1880,6.417846254436199e-09,2.0537108014195837e-08
1881,7.669758161910067e-09,1.9523021421719022e-08
1882,3.3276925659464496e-09,2.5290462835059202e-08
1883,1.0742875922176154e-08,3.791603475633565e-09
1884,4.621187876807653e-09,6.601696966868076e-09
1885,1.160214413431504e-08,7.7347630522695e-09
1886,1.0325542199041138e-08,1.0325542199041138e-08
1887,3.264462256069578e-09,1.3710741875172516e-08
1888,1.0779045211961602e-08,8.242799331981132e-09
1889,7.51816386923565e-09,8.771191772893872e-09
1890,7.865263995654459e-09,1.0487018364813139e-08
1891,9.561330394092238e-09,1.466070642663908e-08
1892,7.522214851007902e-09,1.6298132621272998e-08
1893,1.7859408174558666e-08,3.079208221734575e-09
1894,1.764431090123253e-08,4.4110775032635274e-09
1895,9.629783193076946e-09,7.22233739480771e-09
1896,1.533227589334274e-08,2.948514543632541e-09
1897,6.409385022720926e-09,2.9133566670225264e-09
1898,4.52668391659472e-09,7.921697076085366e-09
1899,4.9748205555033564e-09,4.4220627160029835e-09
1900,1.5054054003371675e-08,4.15284251431558e-09
1901,1.117747761014698e-08,8.38310842965484e-09
1902,1.718599307309887e-08,9.820567470342212e-09
1903,1.6200660368781428e-08,2.7001101354784396e-09
1904,7.524475265086039e-09,6.987012746151322e-09
1905,5.160758931310738e-09,7.2250627702885595e-09
1906,8.230695236477459e-09,8.745113966313056e-09
1907,1.5942815068115124e-08,1.697138252154673e-08
1908,1.2278472460991452e-08,1.6698722404839828e-08
1909,1.2102163715610459e-08,3.300590023513905e-09
1910,6.947395991829808e-09,1.4963621453034648e-08
1911,1.0640748726586935e-08,1.755723388896513e-08
1912,6.251305251225858e-09,8.335073964360618e-09
1913,1.113627856597077e-08,9.015082902408267e-09
1914,5.357394972094198e-09,6.027069510139427e-09
1915,2.709575319670421e-08,0.0
1916,8.789969641043172e-09,5.493730803607377e-09
1917,8.773139548168274e-09,5.483212106582869e-09
1918,1.1486376294556067e-09,2.2972752589112133e-09
1919,1.2890987832747669e-08,0.0
1920,1.2872794385998532e-08,3.028892692213958e-09
1921,8.330022005509363e-09,6.815472630705699e-09
1922,2.2871599725249325e-08,2.2133805899215986e-09
1923,7.431163684401554e-09,9.554353752605493e-09
1924,6.445812328337297e-09,1.289162443462999e-09
1925,1.3197813508725176e-08,3.299453377181294e-09
1926,7.802296586589819e-09,2.0063049888108253e-08
