year,grand_ADJ allié_NOUN,grand_ADJ palier_NOUN
1800,6.288328968651058e-09,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,1.990014353303593e-08,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,1.7081730252499483e-08,0.0
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,1.8072244145628247e-08,9.036122072814123e-09
1810,1.4040760554223652e-08,2.3401266702194334e-08
1811,0.0,1.504245972228091e-08
1812,5.3344164641089264e-09,1.600324850414836e-08
1813,5.751483289628823e-09,5.751483289628823e-09
1814,4.405347908686963e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,1.0898113522728181e-08
1818,2.6226590676969863e-08,0.0
1819,4.140420006848444e-09,8.280840124719191e-09
1820,1.1866481131050932e-09,0.0
1821,8.875339574387908e-09,1.676452932031225e-08
1822,7.017931125119503e-09,1.0025615893027862e-09
1823,8.894418535021487e-09,8.894418535021487e-09
1824,4.210556348027694e-09,3.3684450784221553e-09
1825,2.3774695989686734e-08,6.163809906922779e-09
1826,5.284790383086602e-09,7.0463874735082754e-09
1827,5.530363722527909e-09,9.217273055917019e-10
1828,1.0089530988466322e-08,9.172301140836225e-09
1829,1.1145129263923081e-08,8.57317605795771e-10
1830,2.0873671680021744e-09,6.262101504006523e-09
1831,2.3386808933878456e-08,4.677361609140007e-09
1832,8.117981842303834e-09,5.411987746839486e-09
1833,4.6334514003376626e-09,1.1583628278799551e-08
1834,4.667265685043276e-09,1.0267983796552471e-08
1835,1.1344631900556124e-08,2.7227116561334697e-08
1836,6.72075017860152e-09,8.736974699274924e-09
1837,1.0436836284100082e-08,1.461157062010443e-08
1838,2.5248647617104325e-08,1.3255539776935166e-08
1839,4.194885327990505e-09,6.9914749545318955e-09
1840,7.0066574764382494e-09,4.458782232319436e-09
1841,2.5682194149112547e-09,2.760835826620678e-08
1842,1.542900962547833e-08,1.0733224087289273e-08
1843,1.7720733769266417e-09,1.3585895297651973e-08
1844,1.4819115712327857e-08,4.390849017710252e-09
1845,6.696273757711424e-09,1.9530798311961917e-08
1846,5.854501328173001e-10,5.854501328173001e-09
1847,5.393223645455691e-10,5.3932236454556914e-09
1848,6.43617736884039e-09,9.654266219794039e-09
1849,8.379414939696517e-10,1.0893239199560867e-08
1850,1.3577992064028876e-09,6.1100964288129944e-09
1851,0.0,4.514607354622058e-09
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,6.569124799682413e-09,1.7318601663873778e-08
1854,1.2469595134234623e-08,8.313063126763609e-09
1855,2.7596072982305486e-08,1.5920811335945473e-08
1856,1.0354378687793542e-08,1.0354378465748937e-09
1857,2.4407544874094356e-09,3.4170564155999728e-09
1858,2.6425849952715907e-08,1.2723557263338847e-08
1859,2.0877910955618972e-08,1.629495471888731e-08
1860,1.0985241161165504e-08,1.4189270286513178e-08
1861,6.6023493339173456e-09,8.488735048217677e-09
1862,1.490935552794781e-08,1.2650361869148696e-08
1863,1.3485476735297652e-08,1.4983863039219614e-08
1864,8.63051052846231e-09,1.7261019946701595e-08
1865,1.4120533631256649e-09,9.413688717430091e-09
1866,8.271541673821048e-09,1.8489329178805747e-08
