year,voulait_VERB unir_VERB,voulait_VERB punir_VERB
1800,3.144164484325529e-09,1.8236154630812962e-07
1801,0.0,7.381665767525192e-08
1802,8.951360541686881e-09,4.4756802708434407e-08
1803,5.851017448321727e-09,3.90067853572873e-08
1804,1.730295728918918e-08,5.438072037122765e-08
1805,0.0,6.254330742194725e-08
1806,2.0171682990621775e-08,4.8988376022407465e-08
1807,5.97860605466849e-08,2.562259560079383e-08
1808,0.0,3.3991110370834576e-08
1809,2.259030518203531e-09,3.6144488291256494e-08
1810,2.106114038724627e-08,3.978215445954447e-08
1811,5.0141535368197765e-09,7.771937760026049e-08
1812,2.6672082320544632e-09,1.520308643421231e-07
1813,1.7254450312975678e-08,6.326631307729258e-08
1814,3.1466772298927026e-08,9.125363931161701e-08
1815,2.6972236000233352e-08,8.091670622434322e-08
1816,4.6352077731626196e-09,4.6352077731626196e-08
1817,0.0,1.4945985071790346e-07
1818,1.7881765401739358e-08,1.5378319062619994e-07
1819,3.415846450138815e-08,1.563008567018187e-07
1820,2.4919611263385377e-08,1.5307760747873544e-07
1821,1.2819934447350079e-08,1.617284084431958e-07
1822,2.4061478143266868e-08,9.42407893944619e-08
1823,2.9648061783404955e-09,1.1562743651438723e-07
1824,8.421112696055388e-10,7.157945702829238e-08
1825,1.3208164340028361e-08,2.0076410578440118e-07
1826,7.0463874735082754e-09,1.5766292449370667e-07
1827,4.608636583469661e-09,1.3457218983603525e-07
1828,1.4675682002973645e-08,1.3666728193584277e-07
1829,2.2290258527846163e-08,1.3031227297233272e-07
1830,3.339787468803479e-08,1.0228099256437417e-07
1831,3.1182412207897414e-09,9.198811312671751e-08
1832,9.470978667991403e-09,1.97537559643024e-07
1833,1.1583628278799551e-08,8.340212787061319e-08
1834,2.7070139907436896e-08,2.5389923052898666e-07
1835,3.7059130875150004e-08,8.848812882433776e-08
1836,6.72075017860152e-09,1.424799052074377e-07
1837,1.461157062010443e-08,1.551609614125482e-07
1838,1.9567702125300457e-08,1.6474741926231218e-07
1839,2.307186797168015e-08,1.1885507689157748e-07
1840,3.3122379505812205e-08,1.7962521781100804e-07
1841,1.926164472365599e-08,1.3226329542703752e-07
1842,1.2745703159566801e-08,1.3684861244200874e-07
1843,1.3585895075607368e-08,1.0100817604552503e-07
1844,1.5367971784030487e-08,1.4160488603920385e-07
1845,1.0044410636567136e-08,1.6852288808877347e-07
1846,2.1076203893244383e-08,1.6158423932211008e-07
1847,3.128069891999985e-08,1.208082096582075e-07
1848,1.045878850192139e-08,6.516629724728773e-08
1849,6.703531951757213e-09,9.049767868418712e-08
1850,2.4440385715251978e-08,1.2559642925680237e-07
1851,7.094382858952031e-09,8.835731080125697e-08
1852,2.799534470909748e-08,1.1979403780060238e-07
1853,2.6276499198729653e-08,9.734248607173868e-08
1854,1.2469595134234623e-08,1.0495242008801142e-07
1855,9.552486801567284e-09,1.0348527723635925e-07
1856,1.4496129630003907e-08,9.784887566866018e-08
1857,1.3180074809326925e-08,8.59145572462694e-08
1858,8.808616946964776e-09,8.172438725750908e-08
1859,1.7313389832906978e-08,1.1050016013314234e-07
1860,1.4189270203246451e-08,1.0207119771621365e-07
1861,1.5091083938045813e-08,9.526246458335663e-08
1862,3.11741068514948e-08,8.900433101644012e-08
1863,1.548332484446746e-08,1.0039187969823615e-07
1864,1.4863656971897399e-08,1.1651189169015197e-07
1865,2.7770381549885315e-08,8.425251252219823e-08
1866,1.4110277390955162e-08,6.811858099808887e-08
1867,1.4073153309368536e-08,9.608567097529885e-08
1868,2.0253484223076157e-08,4.890475224783586e-08
1869,2.3929244363785074e-08,5.616047005219116e-08
1870,2.3509599600401998e-08,9.919904186972417e-08
1871,1.911811864374613e-08,4.6733180880664804e-08
1872,1.69325495846806e-08,6.22875973022019e-08
1873,5.387403856360606e-09,3.8909028887701425e-08
1874,2.7483201492373155e-08,8.185214284139875e-08
1875,2.6319025181464895e-08,5.378235456987568e-08
1876,2.7811667635546655e-08,5.018192439365521e-08
1877,1.6699003069220453e-08,5.751878973114799e-08
1878,1.2078177569208037e-08,6.03908887342186e-08
1879,7.94212251520321e-09,6.842444122412417e-08
1880,2.1820676820993867e-08,7.829772386003242e-08
1881,2.7890030285249168e-09,3.2073533162702006e-08
1882,1.0648616211028639e-08,5.790185042542362e-08
1883,1.3270612164717477e-08,3.349249766415596e-08
1884,1.4523733327109767e-08,6.733731083841121e-08
1885,9.66845359329227e-09,3.3517306263775026e-08
1886,8.38950331427668e-09,5.0337018109303244e-08
1887,1.1099172247952538e-08,3.656197833379338e-08
1888,1.6485598663962264e-08,3.867775077992519e-08
1889,4.385595886446936e-09,4.8868066926388565e-08
1890,1.3764211992395303e-08,4.9813337454907014e-08
1891,8.286486163910922e-09,2.995883363610119e-08
1892,9.402768341715273e-09,5.578975859066304e-08
1893,1.4780200174868696e-08,3.4487133149241345e-08
1894,5.671385139294216e-09,4.978215883966186e-08
1895,1.0833506536300774e-08,3.250051960890232e-08
1896,7.076434549446731e-09,3.4792471126365854e-08
1897,7.574727511894253e-09,2.0976168357833558e-08
1898,2.546259736391221e-08,3.168678830434146e-08
1899,1.1607914629507832e-08,2.5426860617017155e-08
1900,1.6092265298084385e-08,3.0627212765921286e-08
