year,fut_VERB à_ADP,fut_VERB a_ADP,fut_VERB pas_ADV
1800,9.784639587451238e-06,1.8864987794131594e-08,2.559664244472515e-05
1801,1.0210510481556412e-05,4.0480104601670064e-08,2.672163100214675e-05
1802,1.0041188943432644e-05,2.6854081625060644e-08,2.3358576072496362e-05
1803,8.680959581397474e-06,3.705644502360883e-08,2.4392893465119414e-05
1804,9.835494893195573e-06,5.932442159739537e-08,2.5489727704552934e-05
1805,1.1127023753942922e-05,7.391481915419718e-08,2.8778451451216824e-05
1806,1.0996449418598786e-05,7.492339904047185e-08,2.7957954443991184e-05
1807,9.423421033716295e-06,5.978605877032805e-08,2.3624033929081634e-05
1808,1.060749218595447e-05,4.5321479902327155e-08,2.6121035261894576e-05
1809,9.679945833340753e-06,4.5180611252249037e-08,2.884330206143204e-05
1810,1.035272089211503e-05,7.020380188293984e-08,2.778666566882748e-05
1811,1.2176871678093448e-05,1.1031137958639192e-07,3.1190542358672246e-05
1812,1.0844868484127801e-05,5.60113715408761e-08,2.4698349079699256e-05
1813,1.104572402255144e-05,6.901779769918903e-08,2.93872035399545e-05
1814,1.3304151252668817e-05,1.1328037530233814e-07,3.1790877983439714e-05
1815,1.3510392818716355e-05,9.170560399951455e-08,2.936467353720218e-05
1816,1.0952995580737479e-05,5.3304887615013286e-08,2.6703432013164274e-05
1817,1.1253080629103351e-05,5.1376821463833267e-08,3.0169092497089878e-05
1818,1.2114300261600874e-05,8.106400350982312e-08,3.482533429632895e-05
1819,1.2831161257054191e-05,6.417651354784226e-08,3.337696034577675e-05
1820,1.288818475586595e-05,9.137190204455692e-08,3.378861947567202e-05
1821,1.1964943951170426e-05,7.889190634102761e-08,3.2903841201914474e-05
1822,1.3124533325026277e-05,5.81485721795616e-08,3.1770174246048555e-05
1823,1.3864421816833783e-05,8.696764730586892e-08,3.6935554817318916e-05
1824,1.4117153114057146e-05,1.178955804093107e-07,3.7075631553307176e-05
1825,1.4963089597586077e-05,8.277116414490138e-08,3.7582511140499264e-05
1826,1.2403403161442839e-05,4.844391454650321e-08,3.318672315799631e-05
1827,1.2244225217727944e-05,6.083400216905233e-08,3.293055124231614e-05
1828,1.0762778401840478e-05,4.219258409321469e-08,3.089414531132206e-05
1829,1.2425961358530913e-05,4.8009785869052024e-08,3.536263830028474e-05
1830,1.184372104034992e-05,1.7846989486258735e-07,3.34093565470539e-05
1831,1.0276164175593294e-05,9.042899762334855e-08,2.7223804863751866e-05
