year,auront_VERB osé_VERB,auront_VERB posé_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,6.713520406265161e-09
1803,1.5602713787643552e-08,3.900678446910888e-09
1804,3.9549615138412264e-08,0.0
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,5.76333825108577e-09,4.610670600868616e-08
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,3.008491944456182e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,1.8880061958270744e-08,5.034683425719777e-08
1815,2.697223555614414e-09,1.3486118000116676e-08
1816,2.3176038865813098e-09,1.622322720606917e-08
1817,3.113746815941454e-09,3.113746815941454e-09
1818,2.1458118837358597e-08,9.536941902865692e-09
1819,2.5877625375869684e-08,0.0
1820,3.322614716694261e-08,1.3053129244156025e-08
1821,1.8736827200882544e-08,1.1833785507064931e-08
1822,2.105379337535851e-08,1.0025615893027862e-09
1823,9.882686669016039e-09,0.0
1824,5.052667617633233e-09,2.0210670470532932e-08
1825,1.7610886082763955e-09,4.4027217427355936e-09
1826,5.284790383086602e-09,6.1655889282974385e-09
1827,9.217273166939322e-09,9.217273166939322e-09
1828,1.834460228167245e-08,2.0179061976932644e-08
1829,3.1720752247110795e-08,1.3717081692732336e-08
1830,3.1310507520032616e-09,1.6698937344017395e-08
1831,0.0,1.5591206103948707e-09
1832,2.705993873419743e-09,1.8941957335982806e-08
1833,6.950177322551099e-09,0.0
1834,5.600718555598405e-09,1.6802156110884425e-08
1835,1.285724948729694e-08,1.2100940693926532e-08
1836,8.736974699274924e-09,8.736974699274924e-09
1837,9.74104708006962e-09,3.478945576063097e-09
1838,1.2624323808552163e-09,2.5248647617104325e-09
1839,2.7965900706306e-09,6.9914749545318955e-09
1840,1.9746034141121527e-08,1.1465439264668476e-08
1841,2.5682194149112547e-09,8.346713542550788e-09
1842,1.341653010911159e-09,1.8783142152756227e-08
1843,3.5441467538532834e-09,4.7255288571079745e-09
1844,2.030767731753258e-08,3.2931368743049916e-09
1845,6.696273757711424e-09,5.580227946389016e-10
1846,1.6978054517835517e-08,7.025401593807601e-09
1847,1.5101026207275936e-08,1.0786447290911383e-08
1848,4.82713291560799e-09,1.126331028444838e-08
1849,1.3407063903514427e-08,1.5920887719289567e-08
1850,3.394498016007219e-09,8.82569484161877e-09
1851,1.2898877521649865e-09,1.096404567135778e-08
1852,1.3021090872200602e-08,1.8229528109259263e-08
