year,petit_ADJ art_NOUN,petit_ADJ part_NOUN
1800,6.288328657788611e-08,6.288328968651058e-09
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,4.095712213825209e-08,1.950339223455444e-09
1804,2.4718509905596875e-08,0.0
1805,3.980028751016107e-08,0.0
1806,0.0,1.152667650217154e-08
1807,1.4234775136401367e-08,0.0
1808,2.039466551195801e-08,2.2660739951163578e-09
1809,3.840352036377226e-08,0.0
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,3.760615285841595e-08,0.0
1812,3.7340914360584065e-08,2.6672082320544632e-09
1813,2.013019195779009e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,3.4571415286066554e-08,1.1921177378582115e-09
1819,1.2421260464634543e-08,0.0
1820,5.933240565525466e-09,0.0
1821,2.465372084259343e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,1.087095569118901e-08,9.882686891060644e-10
1824,8.421112696055388e-09,0.0
1825,1.144707639788578e-08,0.0
1826,1.0569580766173203e-08,8.807984341885344e-10
1827,1.566936447261469e-08,0.0
1828,2.2930752408001354e-08,0.0
1829,2.0575622650120806e-08,2.571952872898464e-09
1830,1.0436835840010872e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,2.0294953273491956e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,6.534171426153534e-09,0.0
1835,2.4958190181223472e-08,0.0
1836,8.736974699274924e-09,0.0
1837,8.349468672008697e-09,0.0
1838,1.3886756633496589e-08,6.312161904276081e-10
1839,1.11863602825224e-08,0.0
1840,1.0191501864653674e-08,0.0
1841,6.420548537278137e-09,6.420548537278137e-10
1842,6.708265054555795e-10,0.0
1843,1.358589563071888e-08,0.0
1844,2.140538946093784e-08,0.0
1845,7.812318791877715e-09,0.0
1846,1.1709002656346001e-09,5.854501328173001e-10
1847,5.3932236454556914e-09,5.393223645455691e-10
1848,1.609044403272364e-08,8.045221711050488e-10
1849,1.6758829879393033e-09,3.3517659758786067e-09
