year,pouvaient_VERB oser_VERB,pouvaient_VERB poser_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,1.950339223455444e-09
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,2.305335300434308e-08,0.0
1807,5.124519120158766e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,1.8072244145628247e-08,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,1.8880564667256294e-08,0.0
1816,0.0,3.7081662185300956e-08
1817,0.0,6.227493631882908e-09
1818,0.0,2.384235475716423e-09
1819,2.070209959015301e-08,1.035105001712111e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,4.930744257336528e-09
1822,0.0,1.0025615893027862e-09
1823,6.917880934764753e-09,4.941343334508019e-09
1824,0.0,8.421112696055388e-10
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,6.420610709767516e-09,0.0
1829,0.0,1.714635211591542e-09
1830,1.461157062010443e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,1.3529969367098715e-09,3.111892965534935e-08
1833,5.791814139399776e-09,0.0
1834,8.401078055442213e-09,1.4935249481595747e-08
1835,7.563087933704082e-10,1.5126175867408165e-09
1836,8.064899859050456e-09,5.376600054063374e-09
1837,4.174734336004349e-09,2.0873671680021744e-09
1838,2.5248647617104325e-09,8.837027110075724e-09
1839,1.3982950353153e-09,6.9914751765765e-10
1840,2.5478754661634184e-09,1.9109065441114126e-09
1841,6.420548537278137e-10,1.6693427085101575e-08
1842,4.024959032733477e-09,2.683306021822318e-09
1843,1.4767278067040479e-08,5.906911071384968e-10
1844,1.6465683927435748e-08,0.0
1845,1.0044410636567136e-08,1.8414752389617206e-08
1846,8.781752214304106e-09,6.439951683034906e-09
1847,2.6426796750911308e-08,5.9325460100012606e-09
1848,1.528592186161859e-08,1.6090443422100975e-09
1849,1.5920887719289567e-08,8.379414939696517e-10
1850,2.0366988096043315e-09,6.788996032014438e-10
1851,5.8044946626978344e-09,1.2898877521649865e-09
1852,6.510545436100301e-10,2.6042181744401205e-09
1853,1.7318601663873778e-08,6.569124799682413e-09
1854,2.5978321716024766e-09,5.7152309551611324e-09
1855,0.0,6.368324534378189e-09
1856,4.141751386299575e-09,2.5885946719483854e-09
1857,6.345961978126979e-09,7.322263684272912e-09
1858,1.468102750479261e-09,4.893676130990343e-09
1859,5.092173349652285e-10,0.0
1860,4.577183909670879e-10,1.8308735638683515e-09
1861,1.2733101684148096e-08,9.431927461278633e-10
1862,6.776979422085105e-09,2.710791813242963e-09
1863,3.496234635136375e-09,2.4973103585068657e-09
1864,1.4384183844029508e-09,1.4384183844029508e-09
1865,5.6482134525026595e-09,6.589582213223366e-09
1866,1.4596838404656864e-08,3.8924903300596725e-09
1867,6.308654931785895e-09,1.1161466417775046e-08
1868,5.9278488784286765e-09,0.0
1869,2.441759683335931e-09,0.0
1870,7.454262984651905e-09,5.734048791339319e-10
1871,2.442870794538976e-08,2.1242354542039266e-09
1872,8.4662747923403e-09,4.8378714367913744e-09
1873,5.9860045809045914e-09,3.591602570907071e-09
1874,3.5847653734322193e-09,4.182226565063729e-09
1875,4.577221712764867e-09,1.0870901512305409e-08
1876,4.232210137899983e-09,5.441413541973361e-09
1877,6.184815992682502e-10,0.0
1878,4.22736201599605e-09,1.2078177347163432e-09
1879,7.331190321480108e-09,4.27652757650776e-09
1880,1.2835692508872398e-09,2.5671385017744797e-09
1881,3.4862537301449947e-09,7.669758161910067e-09
1882,3.9932310791357395e-09,3.3276925659464496e-09
1883,5.687405213450347e-09,3.791603475633565e-09
1884,7.2618666635548834e-09,7.922036360241691e-09
1885,6.445635691854079e-10,1.933690763067375e-09
1886,2.5813855497602844e-09,2.5813855497602844e-09
1887,3.9173548849191775e-09,1.9586774424595887e-09
1888,6.974675947901687e-09,3.804368819970705e-09
