year,voulant_VERB unir_VERB,voulant_VERB punir_VERB
1800,2.515331631869344e-08,4.4018303668735825e-08
1801,1.6668277424969347e-08,7.143547975374531e-09
1802,0.0,4.4756802708434407e-08
1803,1.950339223455444e-09,4.290746136170753e-08
1804,3.9549615138412264e-08,6.179627121127851e-08
1805,1.1371510622026904e-08,1.9900143755080535e-08
1806,2.881669125542885e-09,1.152667650217154e-07
1807,1.4234775580490577e-08,6.832692145408714e-08
1808,2.2660739951163578e-09,8.384473915157287e-08
1809,1.581321384946932e-08,5.1957702140725814e-08
1810,2.3401267590372754e-09,2.574139479349924e-08
1811,0.0,9.777599707661011e-08
1812,1.3336041604361526e-08,3.200649967283198e-08
1813,0.0,3.4508900625951355e-08
1814,3.1466771410748606e-09,5.349351184236184e-08
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,9.270415546325239e-09,3.476405652236281e-08
1817,1.556873407970727e-09,2.802372112142848e-08
1818,1.668964877410417e-08,3.695564920747074e-08
1819,1.5526575580793178e-08,3.415846450138815e-08
1820,7.119888678630559e-09,4.9839220750413915e-08
1821,3.94459531705138e-09,2.3667571014129862e-08
1822,2.90742860897808e-08,7.719724237631453e-08
1823,7.906149512848515e-09,1.0277994599849904e-07
1824,9.263223965660927e-09,3.8737120178211626e-08
1825,2.641632912414593e-09,2.905796137042671e-08
1826,6.1655889282974385e-09,5.372870370834448e-08
1827,4.2399456390285195e-08,5.622536747296181e-08
1828,8.255071293206129e-09,7.796455969710792e-08
1829,8.57317605795771e-10,9.85915239448687e-08
1830,3.1310507520032616e-09,1.054120417620652e-07
1831,6.236482441579483e-09,4.8332740476553226e-08
1832,0.0,4.058990932254147e-08
1833,6.950176989484191e-09,4.8651238260255525e-08
1834,1.8669061851994684e-09,6.06744499087597e-08
1835,2.7227116561334697e-08,7.411826175030001e-08
1836,1.3441500135158435e-09,6.519127493387344e-08
1837,1.9482094937295358e-08,4.244313522860921e-08
1838,1.0730675015224733e-08,5.4284593042908114e-08
1839,6.9914749545318955e-09,5.733009666997191e-08
1840,9.554533331179726e-09,5.5416291555587804e-08
1841,4.494383976094696e-09,3.017657856929645e-08
1842,6.708265054555795e-09,6.909513006192469e-08
1843,8.269675388916653e-09,6.320394874137492e-08
1844,2.1954245643662773e-09,7.409557722937166e-08
1845,1.1160455892778032e-09,6.6404710619139e-08
1846,4.6836010625384006e-09,6.439951194536775e-08
1847,1.7258315665458213e-08,3.9909854976372117e-08
1848,7.2406994844342876e-09,7.160247550430654e-08
1849,1.005529792763582e-08,1.4245005397484078e-08
1850,4.752297222410107e-09,4.61651739058766e-08
1851,9.0292140431103e-09,5.095056709869539e-08
1852,7.812654523320361e-09,4.4922763287047474e-08
1853,5.971931837933653e-10,5.0761420844480654e-08
1854,6.7543638460065836e-09,4.9358812148625475e-08
1855,4.2455496895854594e-09,6.315255163258371e-08
1856,6.73034605824796e-09,3.98643568710888e-08
1857,8.786716465536415e-09,2.9777205812209218e-08
1858,2.936205500958522e-09,7.97669184038341e-08
1859,6.110608019582742e-09,4.3283471917732186e-08
1860,3.204028820036342e-09,4.165237332820482e-08
1861,2.8295783494058924e-09,6.036433780609585e-08
1862,1.581295278052508e-08,4.563166244864192e-08
1863,1.1987090431375691e-08,4.395266428591782e-08
1864,9.58945578499737e-09,3.9796243633816175e-08
1865,2.353422234868674e-09,3.483064747733522e-08
1866,8.271542117910258e-09,1.702964524952222e-08
1867,1.455843445796745e-09,3.4454963326879806e-08
1868,4.939874287401835e-09,3.1615194018286275e-08
1869,2.441759683335931e-09,3.4672986259920435e-08
1870,6.307453670473251e-09,2.981705371496446e-08
1871,1.0621176826930423e-08,1.6993883189542203e-08
1872,1.2094678591978436e-09,2.3584624031514068e-08
1873,2.9930021794299932e-09,2.454261860407314e-08
1874,8.364453130127458e-09,2.091113165958447e-08
1875,1.3159512590732447e-08,1.659242937490646e-08
1876,4.836811839936672e-09,3.3857682435467495e-08
1877,1.0514186854493346e-08,2.845015445451793e-08
1878,9.058632954861423e-09,2.6571990385804156e-08
1879,6.109325489944695e-09,2.4437300960578057e-08
1880,2.4387815988902162e-08,2.9522092326317306e-08
1881,0.0,3.486253774553916e-08
