year,avaient_VERB osé_VERB,avaient_VERB posé_VERB
1800,2.986956246786576e-07,3.772997558826319e-08
1801,2.9764782993879635e-07,5.714838380299625e-08
1802,1.7007585029205075e-07,4.2518962573012686e-08
1803,1.3067273130218382e-07,2.145373123596528e-08
1804,1.7550141251376772e-07,1.2853624298259092e-07
1805,1.7341554325867037e-07,4.5486043376286034e-08
1806,1.9019016406218725e-07,5.187004603612877e-08
1807,2.9608332852149033e-07,1.4804166426074516e-07
1808,1.6315732409566408e-07,4.985362878073829e-08
1809,2.213849938925705e-07,3.162642769893864e-08
1810,2.620942041176022e-07,3.2761775514700275e-08
1811,1.9805906958936248e-07,2.5070768572277302e-08
1812,3.414026537029713e-07,5.3344166417446104e-08
1813,3.163315795973176e-07,4.601186631703058e-08
1814,2.6117419338334e-07,1.5733386149463513e-08
1815,3.5873074466508115e-07,4.045835311217161e-08
1816,2.248075787747439e-07,9.733936678912869e-08
1817,4.1568520714463375e-07,3.7364962679475866e-08
1818,4.1485697011012235e-07,2.741870730460505e-08
1819,5.66202459140186e-07,3.9333990287104825e-08
1820,4.829657882510219e-07,5.3399165977907614e-08
1821,3.8361190490832087e-07,5.1279737789400315e-08
1822,3.829785271136643e-07,7.519211919770896e-08
1823,4.387912895253976e-07,8.993244904331732e-08
1824,4.6063485115155345e-07,4.6316120716483056e-08
1825,3.900811407220317e-07,4.402721387464226e-08
1826,4.756311682285741e-07,3.6112734136395375e-08
1827,4.608636459124682e-07,3.6869092667757286e-08
1828,3.457957689079194e-07,5.595103758082587e-08
1829,4.560929767194466e-07,6.858540757548326e-08
1830,3.7990082546457415e-07,6.888311787633938e-08
1831,3.8822102510494005e-07,1.2472965238430334e-07
1832,4.870789211963711e-07,8.794479811058409e-08
1833,3.243415847009601e-07,9.266902623039641e-08
1834,4.1071936607295356e-07,6.347480763224667e-08
1835,4.273144611488533e-07,7.638718813041123e-08
1836,5.235464186625904e-07,9.543465040451338e-08
1837,3.7920506201771786e-07,8.349469027280065e-08
1838,4.083968860868481e-07,8.0164454629994e-08
1839,3.901243132986565e-07,9.788065113980338e-08
1840,6.356949029395764e-07,8.66277645172886e-08
1841,4.0192634287450346e-07,9.309795245826535e-08
1842,6.426517984436941e-07,1.5496092942157702e-07
1843,4.3711142438951356e-07,1.3054273040324915e-07
1844,4.736628511636809e-07,1.1196664928547762e-07
1845,3.549025109350623e-07,1.389476693702818e-07
1846,3.4775737844938703e-07,1.3055537806394568e-07
1847,5.112776193527679e-07,1.3267330700728053e-07
1848,3.0571843012694444e-07,1.2067832244611054e-07
1849,3.9802222318030545e-07,1.4161211936425389e-07
1850,3.7746818293271645e-07,1.8330288753531931e-07
1851,3.7471238556463504e-07,1.2511911506862816e-07
1852,2.3568173901367118e-07,1.1523665222057389e-07
1853,3.147208076370589e-07,1.128695146235259e-07
1854,3.0238766157708596e-07,1.1274591571464043e-07
1855,3.1894691687739396e-07,1.204674759947011e-07
1856,3.0234784276217397e-07,1.0613237577672407e-07
1857,2.9191423323027266e-07,1.1617991901857749e-07
1858,3.1074841899680905e-07,1.2283126693546365e-07
1859,3.5085074046037334e-07,1.0337112144043203e-07
1860,4.526834800344659e-07,1.4189269847975083e-07
1861,4.4801655008086527e-07,1.4619487842537637e-07
1862,3.2258421356345934e-07,1.2424462170201878e-07
1863,3.261487506733829e-07,1.2536497706605587e-07
1864,2.977525923597568e-07,9.253825083987977e-08
1865,3.694872816595307e-07,1.1155221102399082e-07
1866,3.050739394439006e-07,1.2650593816943e-07
1867,2.7806609637082147e-07,1.572310850406211e-07
1868,3.107180646111374e-07,9.731552097491658e-08
1869,2.9154608682802063e-07,1.0597236865805826e-07
1870,3.480567727365269e-07,1.370437701098126e-07
1871,2.697778995752742e-07,8.072094459521395e-08
1872,2.5640719059083494e-07,1.1792311482849982e-07
1873,2.0891155827484909e-07,8.38040605799506e-08
1874,1.672890590498355e-07,1.1949218503559678e-07
1875,2.2600032423270022e-07,1.2072422350684064e-07
1876,2.539326260375674e-07,1.2454790976335062e-07
1877,2.659470794696972e-07,8.782438953858218e-08
1878,2.832332484103972e-07,1.1172313918450527e-07
