year,pourrait_VERB unir_VERB,pourrait_VERB punir_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825400343878e-08
1802,4.475680270843441e-09,1.7902721083373763e-08
1803,0.0,0.0
1804,4.943701892301533e-09,3.9549615138412264e-08
1805,0.0,0.0
1806,1.729001475325731e-08,0.0
1807,2.8469551160981155e-09,1.7081731584767113e-08
1808,0.0,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,1.8721014072298203e-08,2.3401266702194334e-08
1811,0.0,5.0141535368197765e-09
1812,4.267533171287141e-08,8.00162425207418e-09
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,1.0788894222457657e-08,2.6972236000233352e-08
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,1.556873407970727e-09,0.0
1818,5.960588467246453e-09,1.3113295338484932e-08
1819,0.0,8.280840013696888e-09
1820,0.0,3.5599443393152796e-09
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,1.2030739071633434e-08
1823,3.9530747564242574e-09,3.9530747564242574e-09
1824,5.052667617633233e-09,1.1789557774477544e-08
1825,3.522177216552791e-09,1.1447076175841175e-08
1826,2.642395191543301e-09,1.6735169694470642e-08
1827,2.027800150017356e-08,1.6591091167583727e-08
1828,0.0,3.668920500743411e-09
1829,2.571952872898464e-09,1.2859763920403111e-08
1830,2.6092090266160994e-08,1.6698937344017395e-08
1831,0.0,1.091384405071949e-08
1832,0.0,2.4353944638733083e-08
1833,3.4750886612755494e-09,2.3167257001688313e-09
1834,1.0267983796552471e-08,9.334531370086552e-09
1835,7.563087933704082e-09,1.739510224751939e-08
1836,5.376600054063374e-09,2.083432448785061e-08
1837,1.6698937344017395e-08,6.957891152126194e-09
1838,1.7674054220151447e-08,3.1560809521380406e-09
1839,4.894032734625853e-09,2.0974425751774106e-08
1840,1.2102408852854296e-08,3.3122379505812205e-08
1841,7.704658244733764e-09,3.852329122366882e-09
1842,1.0062397137744483e-08,1.2745703159566801e-08
1843,6.497602011990011e-09,4.7255288571079745e-09
1844,6.037417232818143e-09,1.701453911095996e-08
1845,1.2276501593078137e-08,8.928364714222425e-09
1846,1.4636253098387897e-08,1.0538101946622191e-08
1847,4.314578916364553e-09,3.4516631330916425e-08
1848,8.04522137798358e-09,5.470750608083108e-08
1849,6.703531951757213e-09,1.1731181359664333e-08
1850,1.2220192857625989e-08,1.6972489191857676e-08
1851,2.579775504329973e-09,1.9348316282474798e-09
1852,1.1718981340891332e-08,1.3672145193766028e-08
1853,8.957897534855874e-09,9.555090940693844e-09
1854,4.676098175337984e-09,1.1430461910322265e-08
1855,7.429711956774554e-09,7.960405667972736e-09
1856,2.0708756931497874e-09,1.1907535402144731e-08
1857,3.4170564155999728e-09,3.905207268672939e-09
1858,8.31924928945682e-09,8.808616946964776e-09
1859,5.601390462572908e-09,1.018434669930457e-08
1860,1.5104706818647173e-08,1.785101666484934e-08
1861,1.2733101684148096e-08,1.1789909493131745e-08
1862,3.6143890103090826e-09,1.581295272501393e-08
1863,7.991393324857654e-09,8.990317823531768e-09
1864,1.582260189536555e-08,6.712618905169165e-09
1865,9.88437331983505e-09,4.706844247692743e-09
1866,3.4059290943133647e-09,4.379051787850585e-09
1867,8.73506067478047e-09,1.455843445796745e-08
1868,1.975949626142892e-09,1.0373735648272486e-08
1869,5.860222973552709e-09,1.3673853160867111e-08
1870,5.734048791339319e-09,1.834895613228582e-08
1871,4.248470908407853e-09,9.559059321873065e-09
1872,9.675742873582749e-09,1.3908880269752899e-08
1873,1.2570609442263958e-08,1.0774807712721213e-08
1874,9.559374625212058e-09,1.3144139998644278e-08
1875,1.1443054503956773e-08,2.460256709468922e-08
1876,9.069021977836655e-09,1.209202959984168e-08
1877,6.184816214727107e-09,8.658742167710898e-09
1878,1.3285995414946683e-08,8.4547240319921e-09
1879,1.832797580370027e-09,6.109325489944695e-09
1880,1.0910338410496934e-08,1.6044616302224313e-08
1881,6.2752567586699115e-09,2.7890030285249168e-09
1882,9.317538740560849e-09,1.4641846846075168e-08
1883,5.0554711528150165e-09,6.951272890631799e-09
1884,6.601696966868076e-09,9.242375753615306e-09
1885,5.156508553483263e-09,7.7347630522695e-09
1886,3.872078213618124e-09,7.098810428374236e-09
1887,4.570247291724172e-09,1.3057849246322917e-09
1888,5.706553452000662e-09,4.4384300679212174e-09
1889,8.771191772893872e-09,5.012109394186837e-09
1890,3.2771931834929546e-09,8.520702365899524e-09
1891,8.286486163910922e-09,3.1871101313640793e-09
1892,3.761107425503951e-09,6.8953633913793055e-09
1893,4.310891643655168e-09,5.542574843531156e-09
1894,5.041231432301174e-09,6.9316934414587195e-09
1895,1.745398137131815e-08,1.8055843487019274e-09
1896,4.1279202278587945e-09,3.5382172747233653e-09
1897,8.740070001067579e-09,5.2440420894583895e-09
1898,2.26334195829736e-09,6.224190496340043e-09
1899,1.2713430308508578e-08,9.949641111006713e-09
1900,1.0901211489056095e-08,5.710158568206225e-09
1901,5.58873880507349e-09,9.500856101851696e-09
1902,8.838511256215043e-09,9.820567470342212e-09
1903,8.100330184390714e-09,1.6200660812870638e-09
1904,1.1824175416563776e-08,1.289910045443321e-08
1905,1.4966200723165457e-08,5.160758931310738e-09
1906,3.0865106026567446e-09,3.600929110447737e-09
1907,2.057137349353866e-09,4.6285588695127444e-09
1908,1.964555629285769e-09,2.9468334439286537e-09
1909,5.500983557560346e-10,5.5009836685826485e-09
1910,8.01622590529405e-09,6.412980813053082e-09
1911,8.51259862599818e-09,9.044636151145369e-09
1912,1.2502610502451716e-08,6.772247651554153e-09
1913,4.242391771214216e-09,6.893886794756554e-09
1914,6.696743715117748e-10,1.0045115850232378e-08
1915,1.1780761921542648e-09,3.534228465440492e-09
1916,4.394984820521586e-09,1.0987462051303964e-09
1917,6.57985488317081e-09,0.0
1918,6.89182577673364e-09,2.2972752589112133e-09
1919,1.1049418269237776e-08,2.762354567309444e-09
1920,1.0601124422748853e-08,0.0
1921,5.300923255902035e-09,3.7863738810983705e-09
1922,8.115729421831475e-09,7.377935484775833e-10
1923,2.1231896241147297e-09,1.2739137744688378e-08
1924,7.734974438733389e-09,1.933743654092268e-08
1925,3.299453377181294e-09,4.399271169575059e-09
1926,6.687683296036084e-09,1.1146138456652466e-09
1927,7.804457524684949e-09,7.804457524684949e-09
1928,1.1426041446327417e-08,2.0566874425753667e-08
1929,3.342121912552898e-09,4.4561625500705304e-09
1930,5.2518016602221e-09,5.2518016602221e-09
1931,5.7026783295555106e-09,1.0264820993199919e-08
1932,9.863582839386709e-09,6.575722188983946e-09
1933,2.2941324395731044e-09,4.588264879146209e-09
1934,1.1981580172459871e-09,3.5944740517379614e-09
1935,4.787313656606784e-09,2.393656828303392e-09
1936,2.424942913137329e-09,2.424942913137329e-09
1937,8.813782592653752e-09,6.295559185076627e-09
1938,7.779128452511941e-09,2.5930428915188486e-09
1939,0.0,1.2235240376412548e-08
1940,1.2678914806940611e-08,5.0715658339584024e-09
1941,2.9515025978810172e-09,5.9030051957620344e-09
1942,1.2136847082899749e-08,3.034211770724937e-09
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,2.2492303131116387e-08,0.0
1945,6.535512131478072e-09,0.0
1946,1.2528993842408909e-08,1.1136883415474585e-08
1947,1.0728784083369192e-08,8.344609447874518e-09
1948,1.3046265401328583e-08,4.348755133776194e-09
1949,9.817008539414473e-09,1.9634016634739737e-09
1950,1.701657836861159e-08,5.317680518146517e-09
1951,1.0661401539380222e-08,1.2793682557799002e-08
1952,8.435843135146115e-09,3.1634410646574906e-09
1953,1.1851209791302608e-08,2.1547654771580937e-09
1954,9.772536557761669e-09,6.840775057526116e-09
1955,1.220129064449793e-08,1.8771215692936494e-09
1956,7.849027205963921e-09,6.104799332717903e-09
1957,4.417518795207798e-09,1.0602045463770082e-08
1958,6.617794756635931e-09,3.3088973783179654e-09
1959,1.3951345856355601e-08,7.750747821333448e-10
1960,6.2287499602575735e-09,1.3841666701708277e-09
1961,1.250668635321972e-08,6.948159270159238e-10
1962,3.361236977639237e-08,5.0735651235811474e-09
1963,2.5217607557692645e-08,1.939815863494232e-09
1964,2.311907998375773e-08,3.6503808864551957e-09
1965,5.47204326295514e-09,2.73602163147757e-09
1966,1.3293779410616935e-08,3.3234448526542337e-09
1967,1.6763140209263838e-08,3.451234853457663e-09
1968,8.084548142051062e-09,7.186265360559219e-09
1969,6.8126366770115965e-09,4.995933444718048e-09
1970,1.3796174869185052e-08,5.518470125309705e-09
1971,1.3359833239690033e-08,1.541519245584766e-09
1972,4.6171320100540925e-09,1.0260293725750103e-09
1973,4.9618833486420044e-09,3.3079223804577396e-09
1974,6.1881286761433785e-09,1.6876715580593782e-09
1975,1.1994108817248161e-08,3.4268881066168433e-09
1976,6.2848797277581525e-09,1.7140580066410394e-09
1977,8.22749424145286e-09,0.0
1978,6.534650598410963e-09,2.3762365408686037e-09
1979,6.437170796402825e-09,5.851973350345929e-10
1980,7.390696055153967e-09,2.8425752862659692e-09
1981,6.325549417596221e-09,2.5302198114474095e-09
1982,1.4277254933858785e-08,2.483000915987077e-09
1983,1.0104505676622466e-08,5.052252838311233e-09
1984,5.799008384599347e-09,5.219107812592938e-09
1985,6.015557829641693e-09,1.8046674155058895e-09
1986,7.792831269171074e-09,1.7983456945813714e-09
1987,5.49973533381376e-09,2.4443267410134695e-09
1988,1.4391728697660255e-08,5.996553809062277e-10
1989,8.780995486290522e-09,1.6464366536794728e-09
1990,7.083246433836621e-09,1.089730194969718e-09
1991,1.0550637696837839e-08,1.7584396161396398e-09
1992,6.61193322315512e-09,4.958949695321735e-09
1993,1.4955860550003308e-08,2.2156829704300662e-09
1994,1.160483886764041e-08,6.329911705904578e-09
1995,8.133675954979935e-09,4.880205572987961e-09
1996,2.6690460952494277e-09,1.067618438099771e-09
1997,8.630809844589749e-09,5.274384040632185e-09
1998,1.0013071261028017e-08,2.3840645013706308e-09
1999,5.941261704833778e-09,1.8280804647829996e-09
2000,7.95245647111642e-09,2.2090156370779823e-09
2001,9.20054432640427e-09,5.695575122643959e-09
2002,5.6955880012310445e-09,3.504977197366088e-09
2003,9.167230530238157e-09,3.7502307925763034e-09
2004,6.166707589017051e-09,3.9643119897903034e-09
2005,4.954124666056714e-09,4.053374524914943e-09
2006,9.882935358973555e-09,4.117890028965121e-09
2007,8.38840730210677e-09,1.5977917877663117e-09
2008,5.5346713878634546e-09,4.257439678578834e-10
2009,7.629108011997232e-09,4.291373478793048e-09
2010,7.085689368580006e-09,5.668551850135373e-09
2011,6.118355155848576e-09,3.4415748029203996e-09
2012,3.4042526575461807e-09,2.0425516833455504e-09
2013,5.29933741333366e-09,3.3469500504423877e-09
2014,6.9294245896855955e-09,2.3819897165822113e-09
2015,5.098123256885856e-09,2.438232948875907e-09
2016,8.906762438698479e-09,4.764082017771898e-09
2017,4.779661555431858e-09,2.5156112748447867e-09
2018,9.29327992338358e-09,3.0977600484760615e-09
2019,8.16316081397872e-09,4.846876677788714e-09
