year,tout_DET paiement_NOUN
1800,1.1318992676478956e-07
1801,5.9529566165394954e-08
1802,1.4545960880241182e-07
1803,1.033679772888263e-07
1804,1.977480703629908e-07
1805,1.4498676748075923e-07
1806,8.068673551520078e-08
1807,2.8184855693780264e-07
1808,2.0621273222332093e-07
1809,1.1746958961111886e-07
1810,2.0593115124256656e-07
1811,2.1059445032278745e-07
1812,7.468182872116813e-08
1813,1.782959859752964e-07
1814,9.440031512042424e-08
1815,1.2407228489053068e-07
1816,1.8772591836579977e-07
1817,4.514932872012878e-08
1818,1.5020683008515334e-07
1819,1.4698491490605647e-07
1820,7.475883112562087e-08
1821,1.084763683323331e-07
1822,8.922798144794797e-08
1823,1.3242800633861407e-07
1824,1.2547457828304687e-07
1825,1.5761742844233595e-07
1826,1.7968288545944233e-07
1827,1.8434545623335907e-07
1828,1.8803217471941025e-07
1829,1.68891570950791e-07
1830,2.1917355041978226e-07
1831,1.4343909882086336e-07
1832,9.876877449244148e-08
1833,2.1661384863591593e-07
1834,3.397769319235522e-07
1835,1.7319472078725084e-07
1836,1.9826213204510168e-07
1837,1.4750728993817575e-07
1838,1.559103939285933e-07
1839,1.8177836125232716e-07
1840,1.7962521781100804e-07
1841,1.566613825332297e-07
1842,1.7978149635666796e-07
1843,9.628264763250627e-08
1844,1.6246140965847644e-07
1845,1.0937246841535853e-07
1846,1.0830827434915591e-07
1847,1.2458346887456173e-07
1848,7.88431737674955e-08
1849,9.971503622807631e-08
1850,6.585326239871847e-08
1851,1.0448091103398838e-07
1852,1.0221556046019487e-07
1853,8.838459031323964e-08
1854,6.546537356655335e-08
1855,6.739810132216917e-08
1856,1.0872097533365377e-07
1857,6.248331674285623e-08
1858,7.340514329712278e-08
1859,7.587338402004207e-08
1860,7.415037872604557e-08
1861,4.1500479497358356e-08
1862,9.984749915759039e-08
1863,7.941447321968553e-08
1864,4.938569908574664e-08
1865,1.1155221280034766e-07
1866,7.347075481334286e-08
1867,7.910083077433683e-08
1868,6.174842459572005e-08
1869,7.471784257973013e-08
1870,7.74096586830808e-08
1871,1.6993883633631413e-07
1872,6.349706183073067e-08
1873,6.225444693086502e-08
1874,4.301718492527584e-08
1875,7.609631147431628e-08
1876,5.562333704745015e-08
1877,5.07154904738627e-08
1878,8.696287778775513e-08
1879,9.163988057281358e-08
1880,8.53573531856e-08
1881,8.92480951364405e-08
1882,7.653692613018848e-08
1883,8.594300737740923e-08
1884,9.902545627937798e-08
1885,9.346171836455142e-08
1886,9.422057178909427e-08
1887,7.899998966109933e-08
1888,7.735549889531512e-08
1889,8.395282957707195e-08
1890,8.848421817475582e-08
1891,9.178877036220001e-08
1892,7.20878894355792e-08
1893,9.668713918387084e-08
1894,9.578339543736547e-08
1895,9.870527861721712e-08
1896,1.1676117583903078e-07
1897,1.3110105356872737e-07
1898,1.2391797188371356e-07
1899,7.628057829833779e-08
1900,1.1524137999430195e-07
1901,1.419539721325691e-07
1902,9.869670503093175e-08
1903,1.177247987982355e-07
1904,9.674325340824907e-08
1905,1.398565725452272e-07
1906,1.3940739762574594e-07
1907,1.373139184579486e-07
1908,1.1050625214892307e-07
1909,1.5897842509104976e-07
1910,1.277252010822849e-07
1911,1.2024045714653653e-07
1912,1.5784546647523712e-07
1913,1.3734743653515125e-07
1914,2.0358100805140111e-07
1915,3.0865595057605333e-07
1916,2.1755174728355087e-07
1917,2.291982728053199e-07
1918,2.6763257210404845e-07
1919,2.0441423664863123e-07
1920,2.3625362999268873e-07
1921,2.0749327589442146e-07
1922,3.061843276697118e-07
1923,2.484131922386723e-07
1924,3.158447920981189e-07
1925,2.7605427099786084e-07
1926,2.3852736674712105e-07
1927,2.1852480358575121e-07
1928,2.536581096279633e-07
1929,2.5845742257502025e-07
1930,1.659569406342598e-07
1931,2.1784231307719892e-07
1932,1.8959997838408071e-07
1933,1.904129938168353e-07
1934,1.6294949567452477e-07
1935,1.986735149728247e-07
1936,1.8308319127413597e-07
1937,1.9012588126088303e-07
1938,2.21705164449304e-07
1939,1.651757450815694e-07
1940,1.9271950435495455e-07
1941,1.5938114117375335e-07
1942,1.1833425972440637e-07
1943,1.5677469988872872e-07
1944,1.9279116258985596e-07
1945,1.6774481537140673e-07
1946,1.670532476794051e-07
1947,1.6093175858600262e-07
1948,1.1089325901991742e-07
1949,1.2663940474055835e-07
1950,1.4783152835207147e-07
1951,1.4925961977496627e-07
1952,1.7820718412053793e-07
1953,1.6376218248126406e-07
1954,1.4072451293145605e-07
1955,1.417226727085108e-07
1956,1.308171242442313e-07
1957,1.917203125145761e-07
1958,1.7950768693708596e-07
1959,1.8446779925795909e-07
1960,1.2734333676434062e-07
1961,1.4174244888920384e-07
1962,1.2113136804714486e-07
1963,1.0798308824888636e-07
1964,1.5270760478358625e-07
1965,1.8112463706643211e-07
1966,1.2684481109914714e-07
1967,1.3509119511923018e-07
1968,1.1857338044762855e-07
1969,1.6759086918227695e-07
1970,1.8808784929547073e-07
1971,1.901207085097667e-07
1972,2.7292381332699733e-07
1973,2.723522669612066e-07
1974,2.1827217722147907e-07
1975,2.421667630869706e-07
1976,2.473957110282754e-07
1977,2.2625609830129179e-07
1978,2.500988998122011e-07
1979,2.1710820874432102e-07
1980,1.586156965771579e-07
1981,1.3979464696944888e-07
1982,1.4649705093461307e-07
1983,1.5283064236371047e-07
1984,1.7570995503035647e-07
1985,2.0332586458948754e-07
1986,1.9062463962882248e-07
1987,2.13878585952898e-07
1988,1.3912005059069088e-07
1989,2.1952489248633356e-07
1990,1.4874817111376615e-07
1991,1.617764464612037e-07
1992,1.6419633475095452e-07
1993,1.2020080486507823e-07
1994,1.666876805472839e-07
1995,1.106179965404408e-07
1996,2.930612623686102e-07
1997,2.733089772277708e-07
1998,2.665384215561062e-07
1999,2.6507166239753133e-07
2000,2.3327205411760588e-07
2001,2.4885283522735335e-07
2002,3.0055178967813845e-07
2003,2.441816846499023e-07
2004,2.427039902386241e-07
2005,1.8465373585740963e-07
2006,1.6883348763485628e-07
2007,1.817488097799469e-07
2008,1.400697655640215e-07
2009,1.554430753003544e-07
2010,1.3793475872603267e-07
2011,1.2121990877744793e-07
2012,8.714886590155402e-08
2013,1.1044935099846498e-07
2014,1.1130387989055635e-07
2015,1.0196246691407396e-07
2016,1.2738740906570456e-07
2017,1.5093667293797353e-07
2018,9.680500134834347e-08
2019,8.800907735917463e-08
