year,tout_DET achat_NOUN,tout_DET pacha_NOUN
1800,3.144164395507687e-08,2.2009151834367913e-08
1801,1.4287095950749062e-08,0.0
1802,5.594600338554301e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,4.696516775481996e-08,0.0
1805,1.9900144199169745e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.04980771911778e-07,1.4234775136401367e-08
1808,2.855253242728395e-07,0.0
1809,9.487928132045909e-08,0.0
1810,9.828532654410083e-08,0.0
1811,6.267691787797958e-08,0.0
1812,1.0135391192989118e-07,1.0668832928217853e-08
1813,1.4953856464217097e-07,0.0
1814,1.290137632281585e-07,0.0
1815,8.900837666914185e-08,0.0
1816,5.3304889391370125e-08,0.0
1817,1.71256075987003e-08,0.0
1818,1.1921176934492905e-08,2.384235475716423e-09
1819,2.898294049202832e-08,0.0
1820,4.746592452420373e-08,1.0679833017945839e-08
1821,5.5224334438719325e-08,5.9168927535324656e-09
1822,3.8097340393505874e-08,3.0076847679083585e-09
1823,5.5343047478118024e-08,0.0
1824,4.7158231097910175e-08,9.263223965660927e-09
1825,4.490775928900348e-08,9.68598756756478e-09
1826,1.1009980660503516e-07,8.807984341885344e-10
1827,9.032927383856304e-08,0.0
1828,5.8702728900073e-08,6.420610931812121e-09
1829,8.65890772416833e-08,1.714635211591542e-09
1830,1.0228099256437417e-07,4.174734336004349e-09
1831,5.145097947689692e-08,0.0
1832,3.2471926925126127e-08,0.0
1833,6.718504685920834e-08,0.0
1834,7.187588835222414e-08,9.334530925997342e-10
1835,4.386591001548368e-08,0.0
1836,5.645430078971003e-08,1.3441500135158435e-09
1837,9.114837240531415e-08,3.478945576063097e-09
1838,6.185918799417323e-08,4.418513555037862e-09
1839,1.0207553913232914e-07,0.0
1840,7.898413834084295e-08,1.9109065441114126e-09
1841,9.566617364953345e-08,1.4125206782011901e-08
1842,6.574099842282521e-08,6.037438549100216e-09
1843,9.155712277220118e-08,5.906911015873817e-09
1844,1.212972051689576e-07,0.0
1845,2.3269550197824174e-07,1.1160455892778032e-09
1846,1.1826092372047015e-07,7.610851504580296e-09
1847,9.276344670183789e-08,1.6179670936367074e-09
1848,6.194820834082293e-08,0.0
1849,7.29009101974043e-08,3.3517659758786067e-09
1850,7.46789554639804e-08,6.788996032014438e-10
1851,1.709101269398161e-07,1.9348316282474798e-09
1852,9.70071276640283e-08,6.510545436100301e-10
1853,8.300984966069791e-08,1.3735443005202796e-08
1854,6.598493751397427e-08,0.0
1855,6.845948874456553e-08,1.0613874223963649e-09
1856,9.784887566866018e-08,0.0
1857,8.249750393929389e-08,0.0
1858,7.144766733802044e-08,0.0
1859,9.573286074981979e-08,5.092173349652285e-10
1860,6.911548000587686e-08,2.288591982591015e-09
1861,7.215424346895816e-08,3.772770984511453e-09
1862,6.776979732947552e-08,0.0
1863,8.690640029840324e-08,0.0
1864,9.10998316783207e-08,4.794727948009836e-10
1865,7.766292853261803e-08,5.648213063924601e-09
1866,7.639012089555308e-08,2.919367858567057e-09
1867,6.793935902749126e-08,0.0
