year,pourront_VERB unir_VERB,pourront_VERB punir_VERB
1800,4.4018303668735825e-08,3.144164484325529e-09
1801,0.0,0.0
1802,8.951360541686881e-09,2.2378401354217203e-09
1803,0.0,0.0
1804,7.4155526164076946e-09,1.4831105232815389e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,1.2535384286138651e-08
1812,0.0,1.600324850414836e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,2.5034472272977837e-08
1819,0.0,8.280840013696888e-09
1820,0.0,2.3732962262101864e-09
1821,1.97229765852569e-09,9.861488514673056e-09
1822,0.0,8.02049271442229e-09
1823,0.0,2.9648061783404955e-09
1824,0.0,8.421112696055388e-10
1825,8.805443041381977e-10,4.4027217427355936e-09
1826,0.0,1.0569580766173203e-08
1827,0.0,1.935627302884768e-08
1828,0.0,5.503380862137419e-09
1829,1.714635211591542e-09,8.573175946935407e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,2.182768810143898e-08
1832,0.0,2.0294953273491956e-08
1833,0.0,3.4750886612755494e-09
1834,0.0,0.0
1835,0.0,1.5126175867408165e-09
1836,6.720750067579218e-10,8.736974699274924e-09
1837,5.5663127440652715e-09,7.653680356156656e-09
1838,2.5248647617104325e-09,9.468243078458727e-09
1839,0.0,1.5381244722334486e-08
1840,0.0,1.2102408852854296e-08
1841,1.2841097074556274e-09,4.494383976094696e-09
1842,0.0,8.049918065466954e-09
1843,0.0,1.063243981747064e-08
1844,0.0,0.0
1845,5.580227946389016e-10,1.674068439427856e-09
1846,2.9272506640865004e-09,1.4050803187615202e-08
1847,3.775256551818984e-09,1.1865092020002521e-08
1848,8.045221711050488e-10,0.0
1849,0.0,8.379414495607307e-09
1850,0.0,2.7155984128057753e-09
1851,0.0,9.029214709244116e-09
1852,0.0,1.3672145193766028e-08
1853,0.0,3.5831591027601917e-09
1854,5.195664454227256e-10,5.195664454227256e-10
1855,0.0,1.0613874223963649e-09
1856,3.1063134287023786e-09,2.0708756931497874e-09
1857,7.810414537345878e-09,9.763018171682347e-10
1858,2.4468380654951716e-09,0.0
1859,5.092173349652285e-10,7.638259802433822e-09
1860,0.0,1.373155145145688e-09
1861,0.0,4.2443675241088386e-09
1862,0.0,7.228778020618165e-09
1863,0.0,9.989241434027463e-09
1864,0.0,7.1920918109924514e-09
1865,1.4120533631256649e-09,1.0355057256106193e-08
1866,0.0,9.244664589402873e-09
1867,4.85281148598915e-10,1.455843445796745e-09
1868,1.2843672791973404e-08,1.2349684830326169e-08
1869,9.767038289254515e-10,5.371870948067681e-09
1870,1.7202146374017957e-09,1.1468097582678638e-09
1871,0.0,0.0
1872,6.047339295989218e-10,3.628403577593531e-09
1873,5.986004469882289e-10,4.190203295451056e-09
1874,4.182226565063729e-09,1.1949218281515073e-09
1875,1.1443054281912168e-09,0.0
1876,0.0,3.02300739996042e-09
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,1.2078177347163432e-09,6.039088673581716e-10
1879,6.10932526790009e-10,1.3440515367335593e-08
1880,6.417846254436199e-10,5.134277003548959e-09
1881,0.0,0.0
1882,6.655385131892899e-10,1.3310770263785798e-09
1883,0.0,1.0742875922176154e-08
1884,2.6406787867472303e-09,2.6406787867472303e-09
1885,5.156508553483263e-09,6.445635691854079e-10
1886,6.453463874400711e-10,5.808117542471791e-09
1887,0.0,3.9173548849191775e-09
1888,6.340614699951175e-10,0.0
1889,0.0,1.8795409673089125e-09
1890,0.0,1.3108772956016423e-09
1891,0.0,1.2748440081367107e-09
1892,5.641661360300532e-09,7.522214851007902e-09
1893,0.0,4.310891643655168e-09
1894,6.301539290376468e-10,6.301539290376468e-10
1895,0.0,4.213029924926559e-09
1896,5.89702897624278e-10,3.5382172747233653e-09
