year,eut_VERB eu_VERB,eut_VERB pu_VERB
1800,3.961647223604814e-07,7.954736247484107e-07
1801,2.7383600809116615e-07,3.9289511732931715e-07
1802,3.110597788236191e-07,5.706492629542481e-07
1803,2.6134546260436764e-07,5.460950092128769e-07
1804,3.0898135605639254e-07,6.772871756766108e-07
1805,1.648869130121966e-07,5.77104174226406e-07
1806,2.795219131712656e-07,4.870020688940713e-07
1807,2.5053205376934784e-07,4.014206638203177e-07
1808,2.923235342677799e-07,5.415917030404671e-07
1809,3.2530039106859476e-07,4.969867291038099e-07
1810,2.2933242860290193e-07,4.165425764313113e-07
1811,2.7577843297876825e-07,4.3873842514585704e-07
1812,2.2937990706850542e-07,3.8941240632084373e-07
1813,2.933256553205865e-07,4.6011865606487845e-07
1814,2.73760917934851e-07,5.758419092671829e-07
1815,2.400528842372296e-07,5.070780275673314e-07
1816,3.314173682156252e-07,4.658383829792001e-07
1817,1.6814232139950036e-07,4.810738687410776e-07
1818,2.193496584368404e-07,3.492905022994819e-07
1819,2.794783426907088e-07,3.239878765270987e-07
1820,7.618280619681173e-07,3.5243448337496375e-07
1821,2.376618652988327e-07,2.810524222240929e-07
1822,2.526455205043021e-07,4.110502516141423e-07
1823,3.053750390336063e-07,3.053750390336063e-07
1824,7.309525926757487e-07,5.827409950143192e-07
1825,4.2706398062364315e-07,3.3548738542776846e-07
1826,5.434526428871322e-07,2.2548439915226481e-07
1827,1.9540618723112857e-07,2.9310928084669285e-07
1828,2.302247565921789e-07,3.549680513970088e-07
1829,2.1175745246182487e-07,2.7519894274519174e-07
1830,1.8995041273228708e-07,3.5485243188304594e-07
1831,2.2919073217053665e-07,3.1338325356955465e-07
1832,1.6371262745451531e-07,3.368962495642336e-07
1833,1.8649642186119308e-07,3.6604265574169403e-07
1834,1.698884659617761e-07,3.229747562727425e-07
1835,1.973965879642492e-07,3.131118546662037e-07
1836,4.1198197209268983e-07,3.8778728139732266e-07
1837,3.9938294094099547e-07,3.76421894543455e-07
1838,3.023525607659394e-07,3.3706945146150247e-07
1839,3.083240471823956e-07,3.4118397707061376e-07
1840,1.9172762222297024e-07,3.318607753044489e-07
1841,2.0995193494854902e-07,3.8523290868397453e-07
1842,2.0661455835124798e-07,3.803586423600791e-07
1843,2.2150916834107193e-07,3.3196840831806185e-07
1844,1.8496452014460374e-07,3.4577936958157807e-07
1845,1.7856729073173483e-07,3.253272780057159e-07
1846,1.7329324464299134e-07,3.1028858415993454e-07
1847,1.65032645327301e-07,3.640425916273671e-07
1848,1.97107937083274e-07,3.218088693301979e-07
1849,1.7177801225898293e-07,3.4355602451796585e-07
1850,2.0638547937323892e-07,3.1365161134999653e-07
1851,1.9090339264948852e-07,3.6761801425200247e-07
1852,1.490914911528307e-07,3.5417366461842903e-07
1853,1.8632427156717313e-07,3.05762910102203e-07
1854,2.909572174303321e-07,3.351203474721842e-07
1855,2.0272500478313304e-07,3.651172733043495e-07
1856,1.9310915888581803e-07,2.919934729561646e-07
1857,2.499332651950681e-07,3.2803740168674267e-07
1858,1.903639912370636e-07,3.327699573674181e-07
1859,1.9604867418365757e-07,4.099199486518046e-07
1860,1.835450689213758e-07,2.9660151312782546e-07
1861,1.650587364565581e-07,3.711463421041117e-07
1862,1.8297843951131654e-07,2.9999429784766107e-07
1863,1.6781926603925967e-07,3.5012291732527956e-07
1864,2.1576275344159512e-07,3.1261626531886577e-07
1865,1.6426886872977775e-07,3.280670455296786e-07
1866,1.8051423467113636e-07,3.63461282404387e-07
1867,1.7712761746224714e-07,3.033007089925377e-07
1868,1.783294578672212e-07,2.9095858167238475e-07
1869,1.919222967217138e-07,3.1938213851390174e-07
1870,2.2420130108002922e-07,3.1365246400127944e-07
1871,1.8268424639700243e-07,4.1847437159958645e-07
1872,1.608592299362499e-07,3.6042141005054873e-07
1873,2.1370036051848729e-07,3.93280487287484e-07
1874,1.8640780297118908e-07,3.4294257034162e-07
1875,1.5219262650134624e-07,2.969472632230463e-07
1876,1.6989301343528496e-07,3.561102630555979e-07
1877,1.7255636919344397e-07,3.0120054361759685e-07
1878,1.437303041029736e-07,3.538905843925022e-07
1879,1.7778135941171058e-07,3.8916402900213143e-07
1880,1.6622222176465584e-07,2.8623594516830053e-07
1881,1.624594290206005e-07,3.9394666373482323e-07
1882,1.6039477657159296e-07,3.8867449347890215e-07
1883,1.7125408646734286e-07,3.899032208209974e-07
1884,1.3797546216665069e-07,3.723357053786458e-07
1885,1.3858117142717674e-07,4.1123155369859887e-07
1886,1.7811559871461213e-07,5.220852017373545e-07
1887,1.5995865965123812e-07,4.250329936894559e-07
1888,1.5217474924611452e-07,3.7473031966328563e-07
1889,1.372064986071564e-07,3.658839773379441e-07
1890,1.3567580481321784e-07,3.2444214070892485e-07
1891,1.4405736692424398e-07,4.0795009681460215e-07
1892,1.629813226600163e-07,4.40676416246788e-07
1893,1.3856437419690337e-07,3.935228107820876e-07
1894,1.2729108789244492e-07,3.96366829136241e-07
1895,1.4384488622454228e-07,3.6352432175590366e-07
1896,1.4565661388132867e-07,4.316625279443542e-07
1897,1.0837687369757987e-07,4.0437390680381213e-07
1898,1.1599627214309294e-07,4.0966489223137614e-07
1899,1.2823981876408652e-07,3.963273798035516e-07
1900,1.0018732865546554e-07,3.5766356631938834e-07
1901,1.1345139938612192e-07,4.191554126009578e-07
1902,1.0311595843859322e-07,4.0166122516893665e-07
1903,1.5174619250046817e-07,4.3849789221894753e-07
1904,1.1179220393842115e-07,4.525434462721023e-07
1905,1.4604948717078514e-07,4.897560188510397e-07
1906,1.1574415026416318e-07,4.1307802689516393e-07
1907,1.1725683179975022e-07,3.5074191373496433e-07
1908,1.2376700908589555e-07,4.046984543037979e-07
1909,1.402750768875194e-07,3.867191367135092e-07
1910,1.122271626741167e-07,4.088275318281376e-07
1911,1.2024045759062574e-07,3.484845194634545e-07
1912,1.0887690393701632e-07,4.2300499103475886e-07
1913,1.177263726503952e-07,3.653759961252945e-07
1914,1.2455943476652465e-07,4.0113494037541386e-07
1915,1.060268601804637e-07,4.13504750440552e-07
1916,1.0767713121140332e-07,4.823496055905707e-07
1917,1.3598366876976797e-07,4.419468950800365e-07
1918,1.3783650842924544e-07,4.594550659930974e-07
1919,1.3719693470193306e-07,6.012725179971312e-07
1920,1.1888403861348706e-07,5.179406343813753e-07
1921,1.075330118283091e-07,4.043847070533957e-07
1922,1.0181550891275037e-07,4.891571165899222e-07
1923,9.342033990833443e-08,4.830256443710823e-07
1924,1.0828964747133796e-07,4.280019254565559e-07
1925,1.1218141793278846e-07,4.916185503134329e-07
1926,8.471064916193427e-08,4.012609906567377e-07
1927,1.0257286930936971e-07,4.0360194475397293e-07
1928,1.0511958237202634e-07,4.5247122670843964e-07
1929,8.355304714768863e-08,4.3447585085232276e-07
1930,9.663315125862937e-08,4.2854702542172163e-07
1931,9.352392282835353e-08,4.3568462615439785e-07
1932,6.13734059129456e-08,4.2742192363220965e-07
