year,auraient_VERB osé_VERB,auraient_VERB posé_VERB
1800,1.5720821977538435e-08,0.0
1801,1.904946067554647e-08,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,3.213406074564773e-08,0.0
1805,3.695740957709859e-08,0.0
1806,8.645007376628655e-09,0.0
1807,2.562259560079383e-08,2.2775640928784924e-08
1808,2.945896149242344e-08,0.0
1809,3.6144488291256494e-08,9.036122072814123e-09
1810,1.1700633351097167e-08,0.0
1811,6.267691787797958e-08,5.0141535368197765e-09
1812,3.7340914360584065e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,3.776012391654149e-08,0.0
1815,3.506390555685357e-08,0.0
1816,2.7811246638975717e-08,2.3176038865813098e-08
1817,4.3592454090912724e-08,9.341240669868967e-09
1818,8.464036227451288e-08,3.5763532135746345e-09
1819,6.624672010957511e-08,2.070210003424222e-09
1820,6.051905643289501e-08,2.0173018810965004e-08
1821,6.212737702071536e-08,0.0
1822,5.3135764233047666e-08,8.02049271442229e-09
1823,2.4706716672540097e-08,0.0
1824,2.6105450245950124e-08,2.5263338088166165e-09
1825,3.522177394188475e-08,9.68598712347557e-09
1826,6.165588928297439e-08,0.0
1827,7.005127855563842e-08,1.1060727445055818e-08
1828,1.4675682002973645e-08,1.8344602503717056e-09
1829,4.2865881511033876e-08,1.714635211591542e-09
1830,4.800944353178238e-08,0.0
1831,3.897801548191637e-08,1.5591206103948707e-09
1832,3.92369123858316e-08,1.6235963684607668e-08
1833,4.2859426230279496e-08,1.50587169400751e-08
1834,5.600718466780563e-08,1.120143711119681e-08
1835,3.7059130875150004e-08,4.5378527602224494e-09
1836,5.309392392405243e-08,3.36037508930076e-09
1837,5.6358917532861597e-08,1.1132625488130543e-08
1838,4.607878167917079e-08,5.680945491803868e-09
1839,4.334714631681891e-08,5.5931801412612e-09
1840,5.286841542329057e-08,1.0191501864653674e-08
1841,5.778493772368165e-08,1.4125206782011901e-08
1842,5.836190553054621e-08,2.0795621225033756e-08
1843,5.2571508035725856e-08,1.594865928211675e-08
1844,6.147188713612195e-08,2.195424508855126e-09
1845,5.245414413934668e-08,5.580227835366713e-09
1846,6.088681203664237e-08,2.4588905134237393e-08
1847,4.1527822958187244e-08,7.550513103637968e-09
1848,2.333114323960217e-08,4.02261068899179e-09
1849,3.5193544078993e-08,1.6758829879393033e-09
1850,7.467895812851566e-08,6.1100964288129944e-09
1851,5.095056465620473e-08,1.4188765717904062e-08
1852,2.669323606596663e-08,3.906327261660181e-09
1853,4.120633079196523e-08,5.3747388761848924e-09
1854,3.740878540270387e-08,9.352196350675968e-09
1855,3.980202833986368e-08,6.8990182455763716e-09
1856,5.7466799319172424e-08,1.3978411317339123e-08
1857,5.7113656026785975e-08,5.369659827891837e-09
1858,2.5447114637699997e-08,1.468102794888182e-08
1859,4.4811123700583266e-08,1.5276520048956854e-09
1860,4.211009141386057e-08,9.612086238064421e-09
1861,5.234719679947375e-08,1.5562680033553988e-08
1862,4.111367601922211e-08,6.325180823552046e-09
1863,2.0477944673302773e-08,5.9935452156878455e-09
1864,5.130359070903978e-08,5.753673537611803e-09
1865,3.0594488720225854e-08,2.3534221238463715e-09
1866,4.525020003143254e-08,3.4059290943133647e-09
1867,3.930777126015528e-08,1.1161466417775046e-08
1868,4.347089088696521e-08,1.8277534152844055e-08
1869,5.225365384831093e-08,1.5138908793232986e-08
1870,4.472558146062511e-08,1.490852596930381e-08
1871,3.504988654867702e-08,1.0621177271019633e-09
1872,4.5959779981785687e-08,1.6327815544059376e-08
1873,4.2500630570430076e-08,1.3767810003173508e-08
1874,2.7483201492373155e-08,2.9873046258899194e-09
1875,2.2313955128083762e-08,1.0298748520654044e-08
1876,4.111290152764013e-08,3.02300739996042e-09
1877,4.329371350308975e-08,1.6699003069220453e-08
1878,4.287753085918666e-08,8.4547240319921e-09
1879,4.2765275765077604e-08,5.498392852132383e-09
1880,3.914886193001621e-08,3.2089231272180996e-09
1881,4.811030152040985e-08,6.2752567586699115e-09
1882,3.660461800336634e-08,7.320923423037584e-09
1883,4.1707636455612374e-08,1.2638677882037541e-09
1884,2.3766109080725073e-08,5.941527270181268e-09
1885,3.867381437316908e-08,7.090199094506033e-09
1886,2.1296431285122708e-08,1.2261581083805595e-08
1887,2.3504128421336645e-08,7.834709769838355e-09
1888,2.6630582183884144e-08,9.510921827882157e-09
1889,2.4434033463194282e-08,5.6386229019267375e-09
