year,pouvait_VERB oser_VERB,pouvait_VERB poser_VERB
1800,1.8864987794131594e-08,9.432493897065797e-09
1801,0.0,0.0
1802,8.951360541686881e-09,2.2378401354217203e-09
1803,4.095712213825209e-08,0.0
1804,1.9774807569206132e-08,2.2246657849223084e-08
1805,8.528632911009026e-09,1.1371510844071508e-08
1806,3.458002950651462e-08,5.187004603612877e-08
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,2.0331274441787173e-08,2.259030518203531e-09
1810,1.1700633351097167e-08,0.0
1811,0.0,5.0141535368197765e-09
1812,4.5342538612658245e-08,1.8670457180292033e-08
1813,1.0352670187785407e-07,2.8757416448144113e-09
1814,5.664018942752591e-08,0.0
1815,5.394447111228828e-09,4.8550024445148665e-08
1816,1.1588019432906549e-08,2.3176038865813098e-08
1817,1.2454987263765815e-08,6.227493631882908e-09
1818,7.152706427149269e-09,0.0
1819,8.280840013696888e-09,3.1053151161586356e-09
1820,1.542642635854463e-08,1.898636980968149e-08
1821,1.676452932031225e-08,9.86148829262845e-10
1822,3.107940926838637e-08,1.1028177482330648e-08
1823,3.9530747564242574e-09,4.941343334508019e-09
1824,1.6842225392110777e-08,2.5263338088166165e-09
1825,1.4969252504215547e-08,1.8491430608946757e-08
1826,3.6112734136395375e-08,4.403992281964975e-09
1827,2.7651818612639545e-08,1.013900075008678e-08
1828,1.1006761724274838e-08,2.2930752408001354e-08
1829,4.543783305166471e-08,2.0575622983187714e-08
1830,4.4878394334091354e-08,1.982998831806526e-08
1831,9.354723218280014e-09,2.6505050598757407e-08
1832,2.841293600397421e-08,1.0823975493678972e-08
1833,3.938433579264711e-08,1.1583628278799551e-08
1834,2.8003592333902816e-08,2.240287422239362e-08
1835,2.8739734148075513e-08,2.193295500774184e-08
1836,1.8818100855355624e-08,2.083432448785061e-08
1837,3.75726116885744e-08,1.3219993100221927e-08
1838,2.3354999711955315e-08,2.3354999711955315e-08
1839,2.3771015378315496e-08,1.677954131196202e-08
1840,5.923810419972142e-08,1.4013314952876499e-08
1841,1.8619591202195807e-08,1.2841097074556274e-08
1842,5.2995293486901573e-08,1.0062397137744483e-08
1843,3.721353891705803e-08,1.9492807368237663e-08
1844,5.2690189988879865e-08,3.3480223038395707e-08
1845,4.743193926515232e-08,4.073566373108406e-08
1846,4.859236213405893e-08,2.1661655580373917e-08
1847,7.766242049456196e-08,2.9123407685460734e-08
1848,3.781254065415851e-08,2.815827571112095e-08
1849,2.8490010350878947e-08,3.1841775438579134e-08
1850,3.1229383523623255e-08,4.955967014552698e-08
