year,est_VERB assez_ADV,est_VERB passée_ADJ
1800,3.37620367645286e-05,0.0
1801,2.985050559800584e-05,0.0
1802,3.093813938903622e-05,0.0
1803,3.571656270651147e-05,1.950339223455444e-09
1804,3.0181299734977074e-05,0.0
1805,3.069170634262264e-05,0.0
1806,2.47304851654917e-05,0.0
1807,2.6248926587868482e-05,0.0
1808,2.9420438295346685e-05,0.0
1809,2.8877188015030697e-05,0.0
1810,2.4409862817265093e-05,0.0
1811,2.4872708308976144e-05,0.0
1812,2.8720498448819853e-05,2.6672082320544632e-09
1813,2.9950848329463042e-05,0.0
1814,2.5374803954036906e-05,3.1466771410748606e-09
1815,2.5515735615044832e-05,0.0
1816,2.9897089916630648e-05,0.0
1817,3.069998638238758e-05,0.0
1818,2.693590067792684e-05,0.0
1819,2.5485320293228142e-05,1.035105001712111e-09
1820,2.50928605964873e-05,0.0
1821,2.573552592366468e-05,0.0
1822,2.612575190141797e-05,0.0
1823,2.3022706955089234e-05,0.0
1824,2.309069168404676e-05,0.0
1825,2.470807339705061e-05,8.805443041381977e-10
1826,2.4716966436244547e-05,0.0
1827,2.2996175175649114e-05,0.0
1828,2.7733369279303588e-05,0.0
1829,2.7126387067255564e-05,8.57317605795771e-10
1830,2.7851740014739335e-05,0.0
1831,2.8873355404357426e-05,0.0
1832,2.6781221095006913e-05,0.0
1833,2.5867400836432353e-05,0.0
1834,2.4599288735771552e-05,0.0
1835,2.3854736355133355e-05,0.0
1836,2.19708035729127e-05,0.0
1837,2.5074847144423984e-05,0.0
1838,2.224216405011248e-05,0.0
1839,2.3283009795704857e-05,1.3982950353153e-09
1840,2.0789389964193106e-05,6.369688665408546e-10
1841,2.2339014321914874e-05,6.420548537278137e-10
1842,2.019523162744008e-05,4.695785538189057e-09
1843,2.1369432943174616e-05,5.906911071384968e-10
1844,2.162767486879602e-05,5.488561272137815e-10
1845,2.034941644524224e-05,5.580227946389016e-10
1846,2.252285230497364e-05,2.3418005312692003e-09
1847,1.9709535990841687e-05,1.0786447290911383e-09
1848,2.0966652300558053e-05,1.6090443422100975e-09
1849,2.0443258108571172e-05,8.379414939696517e-10
1850,2.070168557111174e-05,6.788996032014438e-10
1851,2.1673984520020895e-05,2.579775504329973e-09
1852,2.2297967007034458e-05,0.0
1853,2.3887130737421103e-05,0.0
1854,2.2039488612790592e-05,4.676098175337984e-09
1855,2.168998253182508e-05,1.5920811335945473e-09
1856,2.1541249225265346e-05,1.0354378465748937e-09
1857,2.1329753508325666e-05,4.881509085841174e-10
1858,2.0477587895584293e-05,2.4468380654951716e-09
1859,2.1347408619476482e-05,5.092173349652285e-10
1860,2.135073191311676e-05,0.0
1861,2.1052534066257067e-05,2.357981809808507e-09
1862,2.1072792151244357e-05,4.517986262886353e-10
1863,2.0550367480609566e-05,1.4983863039219614e-09
1864,2.1588262825389393e-05,4.794727948009836e-10
1865,2.0352394130895846e-05,5.177528628053096e-09
1866,2.1603807908832096e-05,0.0
1867,2.290866723342333e-05,1.94112459439566e-09
1868,2.245814903290011e-05,1.4819622196071691e-09
1869,2.1828353055752814e-05,0.0
1870,2.2107051336206496e-05,2.8670243956696595e-09
1871,2.1413356080302037e-05,0.0
1872,2.1383995772339404e-05,0.0
1873,2.4091872546705417e-05,6.584604861359367e-09
1874,2.3605680325999856e-05,1.7923826867161097e-09
1875,2.306919668626506e-05,5.721527140956084e-10
1876,2.4314653273904696e-05,0.0
1877,2.430385211482644e-05,4.9478527941460015e-09
1878,2.3409318600897677e-05,3.0195443923020093e-09
1879,2.4070130166364834e-05,1.221865053580018e-09
1880,2.3605480237165466e-05,1.9253538763308597e-09
1881,2.435078567941673e-05,2.7890030285249168e-09
1882,2.449248313496355e-05,6.655385131892899e-10
1883,2.4545575797674246e-05,1.2638677882037541e-09
1884,2.4315369955729693e-05,6.601696966868076e-10
1885,2.4138260414474644e-05,0.0
1886,2.4056576876319014e-05,1.2906927748801422e-09
1887,2.399053300905507e-05,1.3057849246322917e-09
1888,2.3831200451240875e-05,1.9021844099853524e-09
1889,2.4537408535252325e-05,2.5060546970934183e-09
1890,2.442098775645718e-05,1.9663159989136147e-09
1891,2.4268567358376458e-05,6.374220040683554e-10
1892,2.474119173712097e-05,1.2537024751679837e-09
1893,2.4375012799282558e-05,1.847525021858587e-09
1894,2.475244582456071e-05,0.0
1895,2.3706119463895448e-05,3.0093072478365457e-09
1896,2.4644274162710644e-05,5.89702897624278e-10
1897,2.4533377654734068e-05,0.0
1898,2.483791467966512e-05,1.13167097914868e-09
1899,2.4363354896195233e-05,5.527578395003729e-10
1900,2.5574761821189895e-05,1.038210628578895e-09
1901,2.527954347897321e-05,0.0
1902,2.401128767814953e-05,3.928227076954727e-09
1903,2.636009594425559e-05,2.1600881083827517e-09
1904,2.5646637368481606e-05,5.374625189347171e-09
1905,2.5334682504762895e-05,2.0643036169332163e-09
1906,2.5440049284952693e-05,0.0
1907,2.4876448151189834e-05,3.0857059130084963e-09
1908,2.4676783141330816e-05,1.964555629285769e-09
1909,2.533368024160154e-05,1.6502950117569526e-09
1910,2.4662720534252003e-05,5.344150677544235e-10
1911,2.468228012730833e-05,0.0
1912,2.5042729248525575e-05,2.0837684910901544e-09
1913,2.5581091904314235e-05,8.484783542428431e-09
1914,2.4921262593124993e-05,2.0090231700464756e-09
1915,2.208068144682329e-05,0.0
1916,2.103989027091302e-05,0.0
1917,2.108733679051511e-05,2.1932848870420685e-09
1918,2.0538789613055997e-05,2.2972752589112133e-09
1919,2.0952458726242185e-05,9.207848372660976e-10
1920,2.2792417439632118e-05,2.2716695191604686e-09
1921,2.3654234610148706e-05,2.2718242842501013e-09
1922,2.349060923734214e-05,1.4755870969551665e-09
1923,2.246016083518043e-05,4.246379248229459e-09
1924,2.4570146706537344e-05,0.0
1925,2.3137967218644917e-05,1.0998177923937646e-09
1926,2.296773345733527e-05,3.343841648018042e-09
1927,2.2995276594883762e-05,1.1149224876660924e-09
1928,2.3996972231543623e-05,6.8556245125250825e-09
1929,2.2666270524496213e-05,3.342121912552898e-09
1930,2.4299037249875255e-05,1.0503603542488804e-09
1931,2.407784813840408e-05,6.843213995466613e-09
1932,2.3196955226012506e-05,6.575722188983946e-09
1933,2.3108796085580252e-05,4.588264879146209e-09
1934,2.398352989985142e-05,0.0
1935,2.5238718080800027e-05,0.0
1936,2.4762304747127928e-05,6.0623572828433225e-09
1937,2.380854493821971e-05,1.2591118148108649e-09
1938,2.5322360670543276e-05,0.0
1939,2.4759538064245135e-05,6.117620188206274e-09
1940,2.431815846648533e-05,5.0715658339584024e-09
1941,2.394849252596032e-05,2.9515025978810172e-09
1942,2.5526824174448848e-05,3.034211770724937e-09
1943,2.4076529371086508e-05,2.9032352077962287e-09
