year,faut_VERB unir_VERB,faut_VERB punir_VERB
1800,3.144164395507687e-08,1.6664071722516383e-07
1801,3.095537337571841e-08,2.0478169915350009e-07
1802,2.0140561218795483e-08,1.5888664961494214e-07
1803,1.950339267864365e-08,1.6382848855300836e-07
1804,5.438072037122765e-08,1.408955085935304e-07
1805,3.695740957709859e-08,5.685755510853596e-08
1806,8.645007376628655e-09,8.35684019762084e-08
1807,0.0,1.537355700520493e-07
1808,4.5321479902327155e-09,1.4049658147996524e-07
1809,2.9367397402779716e-08,1.5361408145508904e-07
1810,2.106114038724627e-08,1.3338723192646285e-07
1811,3.259199843341776e-08,1.579458341893769e-07
1812,2.6672082320544632e-09,5.067695596494559e-08
1813,4.601186631703058e-08,1.782959770935122e-07
1814,3.776012391654149e-08,2.2656075771010364e-07
1815,2.6972236000233352e-08,2.022917726662854e-07
1816,7.879853569647821e-08,8.806894413737609e-08
1817,5.293369653713853e-08,2.506566261217813e-07
1818,3.099506074022429e-08,2.1577331210664852e-07
1819,2.2772310259711048e-08,2.7844325245496293e-07
1820,3.322614716694261e-08,2.480094565271429e-07
1821,5.226588939422072e-08,1.8440982785250526e-07
1822,1.7043547018147365e-08,1.9750463309264887e-07
1823,2.9648060007048116e-08,1.620760627929485e-07
1824,3.705289586264371e-08,1.5579058754155994e-07
1825,1.2327619813845558e-08,1.5057307223287353e-07
1826,3.52319382557198e-08,1.35642963527971e-07
1827,1.7512819638909605e-08,1.843454668915001e-07
1828,2.935136400594729e-08,2.577416751137207e-07
1829,4.286587973467704e-09,1.4660130887023115e-07
1830,2.2961039292113128e-08,1.9203777412712952e-07
1831,4.677361609140007e-09,2.650505166457151e-07
1832,9.470978667991403e-09,1.5288865995444212e-07
1833,1.6217079235048004e-08,1.807046032809012e-07
1834,8.401078055442213e-09,1.6148737813637126e-07
1835,3.6302822081779595e-08,1.3916081798015512e-07
1836,5.040562456315456e-08,1.424799052074377e-07
1837,1.8090515752078318e-08,1.273294003567571e-07
1838,1.0730675015224733e-08,1.0288823659720947e-07
1839,1.8876983531868063e-08,1.1046530801195331e-07
1840,2.165694112932215e-08,1.719815969636329e-07
1841,2.6966304744746594e-08,1.0337083011791037e-07
1842,2.683306021822318e-08,2.0057711935805855e-07
1843,4.784597962270709e-08,1.1400338451039715e-07
1844,3.4577936958157807e-08,1.1635749785909866e-07
1845,2.6785095030845696e-08,1.389476693702818e-07
1846,2.86870562860031e-08,8.313391930414582e-08
1847,2.1033571329098777e-08,2.03324532321858e-07
1848,2.815827571112095e-08,1.3033259449457546e-07
1849,2.1786478399121734e-08,6.703531596485846e-08
1850,1.2899092460827433e-08,9.708264059327121e-08
1851,2.192809134271556e-08,9.738652551050109e-08
1852,2.6042181744401205e-08,1.1979403780060238e-07
1853,3.1651239851271384e-08,8.420423824873069e-08
1854,2.4939190268469247e-08,1.1378504893855279e-07
1855,2.4942604426314574e-08,9.127931832608738e-08
1856,1.346069211649592e-08,9.474256046360097e-08
1857,1.2691923956253959e-08,8.64027143165913e-08
1858,1.8595969208945462e-08,1.0032035646645454e-07
1859,1.884104072757964e-08,9.82789458703337e-08
1860,1.4189270203246451e-08,1.1534503130405938e-07
1861,2.4051415081771665e-08,1.2355825163012923e-07
1862,2.801151488540654e-08,2.0963456393019442e-07
1863,2.2975255475898848e-08,1.2686336958722677e-07
1864,3.1165733105353866e-08,9.973034309496143e-08
1865,2.4004906507002488e-08,1.4685353733057127e-07
1866,2.8707116683790446e-08,1.2310000840898283e-07
1867,2.2808213984149006e-08,1.2083501133020036e-07
1868,1.778354707937524e-08,1.314006539132606e-07
1869,2.490594752657671e-08,1.2404139226873667e-07
1870,3.55511033944822e-08,1.1640118913192055e-07
1871,1.274541272522356e-08,1.2108142755096196e-07
1872,1.5118347462816928e-08,1.2276099425889697e-07
1873,1.1972009161809183e-08,7.48250528204153e-08
1874,2.6885741633009275e-08,6.452577849813679e-08
1875,1.8881038954532414e-08,9.841026837875688e-08
1876,1.209202959984168e-08,1.07619065659037e-07
