year,peut_VERB oser_VERB,peut_VERB poser_VERB
1800,6.288328791015374e-08,1.9179402954705438e-07
1801,4.524246932646747e-08,1.3096504858367553e-07
1802,2.2378401354217203e-08,1.991677720525331e-07
1803,7.606323038089613e-08,2.3599105247740226e-07
1804,1.1123329102247226e-07,1.408955085935304e-07
1805,9.665784261869703e-08,1.7625842474444653e-07
1806,9.221341201737232e-08,8.35684019762084e-08
1807,6.832692633906845e-08,3.4732852327579167e-07
1808,1.5862518409903714e-08,1.4049658147996524e-07
1809,1.1521055398588942e-07,3.162642769893864e-07
1810,3.7442028144596406e-08,1.9657065308820165e-07
1811,2.2563691359778204e-08,1.7549537290051376e-07
1812,1.0668832928217853e-08,1.6269970615212515e-07
1813,0.0,2.415623043816595e-07
1814,9.125363931161701e-08,1.6992056828257773e-07
1815,4.045835311217161e-08,1.8610842289490392e-07
1816,5.3304887615013286e-08,2.248075787747439e-07
1817,4.826307531402563e-08,1.4167548556542897e-07
1818,3.814776761146277e-08,1.2159600260019943e-07
1819,8.9019032145643e-08,1.770029598446854e-07
1820,9.730514705097448e-08,1.8986369809681491e-07
1821,6.212737702071536e-08,1.6764529675583617e-07
1822,4.912551787583652e-08,1.4637399203820678e-07
1823,5.237824041159911e-08,1.2748665767503553e-07
1824,4.463189640091514e-08,1.625274705929769e-07
1825,8.453225319726698e-08,2.042862803364187e-07
1826,6.694067877788257e-08,1.761596877258853e-07
1827,3.2260455640198415e-08,1.253549157809175e-07
1828,4.494427585655103e-08,1.3208114069129806e-07
1829,6.687077558353849e-08,2.1690135554308654e-07
1830,6.888311787633938e-08,2.1708618191951246e-07
1831,2.182768810143898e-08,2.806417001011141e-07
1832,7.576782934393123e-08,2.300094763540983e-07
1833,2.7800709290204395e-08,1.8417969727124728e-07
1834,9.334530659543816e-08,2.4176435431400023e-07
1835,4.310960122211327e-08,2.1479169731719594e-07
1836,5.981467410265395e-08,2.473236122568778e-07
1837,3.409366655660051e-08,2.5117986979239504e-07
1838,6.817134590164642e-08,2.297626906511141e-07
1839,3.4957377437194737e-08,2.663751956788474e-07
1840,5.86011346115356e-08,3.3568258572813647e-07
1841,3.467096121312352e-08,3.268059174388327e-07
1842,5.500777433553594e-08,2.80405487274038e-07
1843,4.548321541619771e-08,3.4260085612913826e-07
1844,4.7750482679020934e-08,3.1833656066737603e-07
1845,4.687391452762313e-08,3.158409072057111e-07
1846,6.322861167973315e-08,2.903832694300945e-07
1847,5.3392913201832926e-08,3.2359341162191413e-07
1848,2.252662056889676e-08,2.494018644938478e-07
1849,1.9272654583346593e-08,3.3852836622827454e-07
1850,5.159636984330973e-08,3.279085092344758e-07
1851,6.965393595237401e-08,2.818404709614697e-07
1852,6.119912399071836e-08,2.7669818791764555e-07
1853,3.941475057445132e-08,2.9979096893839596e-07
1854,3.4810952342922974e-08,4.696880750998389e-07
