year,aurait_VERB osé_VERB,aurait_VERB posé_VERB
1800,1.0375742931501009e-07,3.772997558826319e-08
1801,6.667310969987739e-08,4.7623651688866175e-09
1802,5.147032311469957e-08,4.475680270843441e-09
1803,5.655983770225248e-08,0.0
1804,1.656140113936999e-07,0.0
1805,4.8328921309348516e-08,2.842877711017877e-09
1806,1.123850950079941e-07,0.0
1807,1.8505208743135881e-07,0.0
1808,6.571614363792833e-08,2.039466551195801e-08
1809,9.03612189517844e-08,1.3554183553310395e-08
1810,9.828532654410083e-08,9.360507036149102e-09
1811,1.6546707115594472e-07,0.0
1812,8.801787032552966e-08,4.267533171287141e-08
1813,1.322841143291953e-07,2.8757416448144113e-09
1814,1.8565394555025705e-07,0.0
1815,2.6702514333010186e-07,8.091670444798638e-09
1816,1.228330006597389e-07,4.6352077731626196e-09
1817,2.16405396713526e-07,2.80237220096069e-08
1818,1.8358613829150272e-07,2.384235475716423e-09
1819,2.1323162968656106e-07,1.449147024601416e-08
1820,2.468228217367141e-07,1.0679833017945839e-08
1821,2.238557783584838e-07,2.3667571014129862e-08
1822,1.804610860745015e-07,1.0025615893027862e-08
1823,2.5200850473083847e-07,3.9530747564242574e-09
1824,2.2905426533270656e-07,1.8526447931321854e-08
1825,1.7610885549856903e-07,5.283265824829186e-09
1826,1.7087489823097712e-07,2.906634755106552e-08
1827,1.778933693685758e-07,1.2904182611350734e-08
1828,2.559071958785353e-07,3.944089499441361e-08
1829,3.1206360517899157e-07,4.200856196234781e-08
1830,2.7344509589966037e-07,1.461157062010443e-08
1831,2.432228143334214e-07,7.483778574624012e-08
1832,2.1242051673198148e-07,4.6001897402447867e-08
1833,2.108220371610514e-07,4.865124125785769e-08
1834,2.6323377255721425e-07,2.14694217959277e-08
1835,2.9798565037708613e-07,1.9664028627630614e-08
1836,3.2125186066878086e-07,8.736974699274924e-09
1837,2.2056514126234106e-07,2.1569462660409044e-08
1838,2.1398228966518218e-07,2.209256599883247e-08
1839,2.1743487366165937e-07,2.7965899818127582e-08
1840,2.4204817350437224e-07,2.229391071750797e-08
1841,2.292135832249187e-07,4.8796167106957e-08
1842,2.7235554966864584e-07,5.836190553054621e-08
1843,2.829410448157432e-07,3.071593823733565e-08
1844,2.832097720784077e-07,1.756339607084101e-08
1845,2.226510957825667e-07,3.013322924516615e-08
1846,1.8324588779705664e-07,3.0443406018321184e-08
1847,2.2597606630370137e-07,4.260646591092154e-08
1848,1.7940844543318235e-07,5.229394162142853e-08
1849,1.566950658116184e-07,6.619738002200393e-08
1850,2.0231207997767342e-07,4.480737203493845e-08
1851,1.3737304982441856e-07,4.6435957301582675e-08
1852,1.666699631641677e-07,3.7761164861649377e-08
1853,1.606449728797088e-07,2.09017620989016e-08
1854,1.8704392346080567e-07,4.9878380536938494e-08
1855,2.0590915994489478e-07,3.237231638308913e-08
1856,1.589397129464487e-07,3.468716869292621e-08
1857,1.6743575770306052e-07,4.051652524594829e-08
1858,1.5512952700191818e-07,2.838332058274773e-08
1859,2.0776067799488374e-07,5.14309519417111e-08
1860,1.8812225732744992e-07,2.4716793944890014e-08
1861,1.9854206811942277e-07,2.5937801240161207e-08
1862,1.5541873210622725e-07,1.8975542914745347e-08
1863,1.9229290160183155e-07,3.5461809488879226e-08
1864,1.9898121195183194e-07,3.212467802882202e-08
1865,1.7274118135901517e-07,3.7654753981541944e-08
1866,1.6202490371597378e-07,5.7900795269461014e-08
1867,1.533488500626845e-07,2.91168689159349e-08
1868,1.8030540616109647e-07,5.0386717020955984e-08
1869,1.484589802203118e-07,4.444002499326416e-08
1870,1.6915443268317176e-07,3.899153000475053e-08
1871,2.5278401949435647e-07,4.0360472297606975e-08
1872,2.0560953828407946e-07,5.382132073350476e-08
1873,2.0172835490939178e-07,2.6937019725892242e-08
1874,1.583271398430952e-07,2.0313670745508716e-08
1875,1.6592429119555163e-07,3.776207790906483e-08
1876,1.6807921099371015e-07,2.7811667635546655e-08
1877,2.139946388979297e-07,3.834585982076533e-08
1878,1.437303041029736e-07,1.5701630218245555e-08
1879,2.0893892838103056e-07,2.443730195977878e-08
1880,1.3734191384173755e-07,2.1178893305773272e-08
1881,1.4502815304240357e-07,2.2312024228199334e-08
1882,1.3576985224972304e-07,2.5290463057103807e-08
1883,1.3460191894409945e-07,3.6652167523243406e-08
1884,1.9408989260227827e-07,1.7824582698722224e-08
1885,1.4180398011376383e-07,3.609556031847205e-08
1886,1.310053221459384e-07,4.58195934527339e-08
1887,1.3580162772086624e-07,3.982643903555072e-08
1888,1.1730136861842766e-07,3.61415040117663e-08
1889,1.1841108715771043e-07,4.698852507090123e-08
1890,8.061895329092295e-08,4.391439034634459e-08
1891,1.1409854039357015e-07,2.2947192590550003e-08
1892,1.234896984669831e-07,2.7581453565517222e-08
1893,1.1885744299888756e-07,4.865148994781521e-08
1894,1.4304494300176884e-07,6.175508815431385e-08
1895,9.990900196044095e-08,2.888934957923084e-08
1896,1.3858017666734668e-07,3.184395680477792e-08
1897,1.3343174032343086e-07,2.155884004650943e-08
1898,1.0694290608626034e-07,2.772593887812036e-08
1899,1.2879257837994373e-07,3.703477347016815e-08
1900,1.1212674877469908e-07,4.3085741197046445e-08
1901,1.0171504527534125e-07,4.079779358789892e-08
1902,6.972602761834423e-08,4.713872669981356e-08
1903,9.234376818767487e-08,3.456140973412403e-08
1904,1.0211788037395308e-07,3.654745128756076e-08
1905,8.257214290097181e-08,2.7352022868853965e-08
1906,1.131720566149852e-07,2.006231980544726e-08
1907,9.719973803612447e-08,3.291419758966185e-08
1908,8.889614377949329e-08,3.634427869769752e-08
1909,9.516701737766198e-08,3.080550925460557e-08
1910,9.566029746110871e-08,3.7943468811363346e-08
1911,7.18250490194805e-08,4.5223181643905264e-08
1912,9.63742934345646e-08,7.032718940536142e-08
1913,9.439321502213716e-08,2.8105844762649212e-08
1914,9.308473636338022e-08,3.214437072074361e-08
1915,1.873141144415058e-07,2.238344798399794e-08
1916,1.3844201873780548e-07,3.076489463182952e-08
1917,9.869781791849164e-08,4.7155623406069935e-08
1918,1.0912057746281789e-07,4.020231614276781e-08
1919,1.418008679365812e-07,4.051453217357448e-08
1920,1.1131180599477375e-07,4.0890050456710014e-08
1921,1.332803520881498e-07,3.332008802203745e-08
1922,8.484625624305409e-08,4.131644004701229e-08
1923,9.978991499792755e-08,3.078624999375279e-08
1924,1.7145860908840405e-07,4.383152329978657e-08
1925,9.128487477028102e-08,3.959344141435395e-08
1926,8.248142790989732e-08,4.458455293843144e-08
1927,1.2487132039495918e-07,2.8987985345452216e-08
1928,1.0054916543822401e-07,4.227635130860108e-08
1929,1.0026365515614089e-07,3.5649300400564243e-08
1930,1.291943192427425e-07,4.7266215830177316e-08
1931,7.983749839013399e-08,2.6232321204133768e-08
1932,9.973178549671502e-08,3.287861005674131e-08
1933,1.204419532996326e-07,4.817677989876756e-08
1934,1.0543790551764687e-07,4.193552882725271e-08
1935,7.300653237507504e-08,5.984141893122796e-08
1936,7.517323297179246e-08,3.394919900756577e-08
1937,7.680581859403901e-08,6.1696475484041e-08
1938,9.334954143014329e-08,5.963998717106733e-08
1939,5.8117393564316444e-08,5.352917753498332e-08
1940,6.593035806190528e-08,3.296517903095264e-08
1941,5.60785480274717e-08,4.7224041566096275e-08
1942,8.192371581117186e-08,3.3376331032286544e-08
1943,1.219358836124229e-07,2.9032351633873077e-08
1944,8.675602458652065e-08,5.462416652335378e-08
1945,1.32888743564763e-07,7.406913482554955e-08
1946,7.9350293447078e-08,4.733175273941015e-08
1947,9.05986183852292e-08,4.887557025767819e-08
1948,5.3272248834446145e-08,3.587722829934137e-08
1949,7.559096104614582e-08,6.184715317658629e-08
1950,7.232046073113452e-08,3.616023036556726e-08
1951,7.996051465397613e-08,4.904244832459881e-08
