year,fallait_VERB unir_VERB,fallait_VERB punir_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,1.904946067554647e-08,2.6193008650921e-08
1802,0.0,4.475680270843441e-09
1803,0.0,2.145373123596528e-08
1804,0.0,3.213406074564773e-08
1805,0.0,3.1271653710973624e-08
1806,0.0,1.4408345627714425e-08
1807,0.0,8.540865792383556e-09
1808,0.0,4.078933102391602e-08
1809,0.0,2.25903047379461e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,4.011322829455821e-08
1812,2.6672082320544632e-09,1.600324850414836e-08
1813,2.5881675469463516e-08,7.476928232108548e-08
1814,0.0,7.237357380063258e-08
1815,0.0,5.1247248222807684e-08
1816,0.0,2.7811246638975717e-08
1817,1.556873407970727e-09,4.514932783195036e-08
1818,2.384235475716423e-09,3.5763530803478716e-08
1819,6.210630232317271e-09,7.03871378959775e-08
1820,4.746592452420373e-09,7.95054262425765e-08
1821,3.94459531705138e-09,4.043210211079895e-08
1822,3.0076847679083585e-09,4.0102463572111446e-08
1823,9.882686891060644e-10,4.348382276475604e-08
1824,2.5263338088166165e-09,6.14741253457396e-08
1825,1.1447076175841175e-08,4.57883047033647e-08
1826,0.0,2.025836387531399e-08
1827,1.8434546111834038e-09,5.530363722527909e-08
1828,1.1923991571904935e-08,5.6868266540277546e-08
1829,1.971830521085849e-08,5.3153691226270894e-08
1830,7.305785310052215e-09,5.740259823028282e-08
1831,0.0,5.14509785887185e-08
1832,2.705993873419743e-09,6.494385473843067e-08
1833,0.0,3.4750886612755494e-08
1834,9.334531370086552e-09,8.307732457524253e-08
1835,1.5126175867408165e-09,4.9160071569076536e-08
1836,1.747394939854985e-08,4.5029025841358816e-08
1837,4.174734336004349e-09,6.401259611266141e-08
1838,6.943378316748294e-09,7.195864526465812e-08
1839,1.0487212875887053e-08,4.544459031308179e-08
1840,7.64362617644565e-09,4.968357103507515e-08
1841,5.778493683550323e-09,6.548959419205858e-08
1842,7.379091560011375e-09,8.787826999423487e-08
1843,2.2446261738195972e-08,7.383638944702398e-08
1844,1.0977122322231025e-08,6.202074587235984e-08
1845,1.562463758375543e-08,7.700714377278928e-08
1846,1.1123552745573306e-08,8.781751859032738e-08
1847,9.707802561820245e-09,7.712309724183797e-08
1848,3.218088684420195e-09,4.263967667839097e-08
1849,9.217356655710773e-09,3.6869426622843093e-08
1850,4.073397619208663e-09,7.128446100068686e-08
1851,2.579775504329973e-09,6.384944128967618e-08
1852,6.510545436100301e-10,5.5339636872986375e-08
1853,1.0152284346531815e-08,3.881755716861335e-08
1854,7.79349651480743e-09,4.46827144173767e-08
1855,5.306937111981824e-09,5.041590256382733e-08
1856,5.177189343896771e-09,4.866558001026533e-08
1857,4.393358121745905e-09,4.490988203542656e-08
1858,1.663849857891364e-08,3.866004050223637e-08
1859,6.110608019582742e-09,4.073738679721828e-08
1860,1.6020143434047895e-08,6.545373310018476e-08
1861,1.0846716413936974e-08,5.0932406736592384e-08
1862,0.0,5.1505043785482485e-08
1863,3.496234635136375e-09,4.4452125536054155e-08
1864,1.726102105692462e-08,4.93856973093898e-08
1865,8.47231973466478e-09,6.071829261600215e-08
1866,5.838735717134114e-09,5.692767146570077e-08
1867,1.455843445796745e-09,7.958610837022206e-08
1868,1.975949626142892e-09,4.890475224783586e-08
1869,2.9301114867763545e-09,4.248661511496721e-08
1870,1.0894693147633916e-08,8.199689460752779e-08
1871,1.4869648623516696e-08,2.549082545044712e-08
1872,6.652073114565837e-09,3.809823923006661e-08
1873,5.986004469882289e-10,1.5563610844537834e-08
1874,8.961913877669758e-09,5.197910013521323e-08
1875,6.865832347102696e-09,1.8881038954532414e-08
1876,1.4510435519810017e-08,5.622793608495158e-08
1877,6.184816214727107e-09,2.8450154232473324e-08
1878,3.0195443923020093e-09,2.6571990829893366e-08
1879,4.27652757650776e-09,4.826366861720999e-08
1880,5.134277003548959e-09,4.8775632421893533e-08
1881,4.8807553554297556e-09,1.8825771164188154e-08
1882,3.9932310791357395e-09,2.728707926280549e-08
1883,2.5277355764075082e-09,2.8437025179073316e-08
1884,1.9144920315739e-08,2.8387297845711146e-08
1885,1.933690763067375e-09,2.1915161241281567e-08
1886,3.872078213618124e-09,2.8395241713496944e-08
1887,1.0446279397058333e-08,1.697520346510828e-08
1888,6.340614699951175e-10,3.297119732792453e-08
1889,3.759081934617825e-09,3.4458253139746375e-08
1890,1.9663159989136147e-09,2.0974036729626278e-08
1891,6.374220040683554e-10,1.784781566982474e-08
1892,6.8953633913793055e-09,1.8805536683430546e-08
1893,9.853466487186324e-09,1.1700991287000306e-08
1894,1.2603078580752936e-08,3.4028310835765296e-08
1895,1.745398137131815e-08,2.166701307260155e-08
1896,1.7691086373616827e-09,1.1794058174530164e-08
1897,3.4960281336537946e-09,1.631479840114025e-08
1898,0.0,1.1882545614128048e-08
1899,4.9748205555033564e-09,3.371822998587959e-08
1900,4.15284251431558e-09,1.557315876254961e-08
1901,6.706486921359556e-09,1.117747761014698e-08
1902,1.178468167495339e-08,2.1605249145295602e-08
1903,7.020286574288548e-09,1.2420506401156217e-08
1904,1.0749250378694342e-08,1.289910045443321e-08
1905,8.257214467732865e-09,1.2901897328276846e-08
1906,1.388929860013377e-08,9.773950537805831e-09
1907,5.142843484406967e-09,2.2114226894132116e-08
1908,2.4556945366072114e-09,1.5716445034286153e-08
1909,6.60118004702781e-09,1.1001967337165297e-08
1910,3.740905363258662e-09,1.1222716089775986e-08
1911,5.320374141248863e-10,2.3409645777405785e-08
1912,1.5628263128064646e-09,2.135862686714063e-08
1913,4.772690687104841e-09,1.4318072061314524e-08
1914,2.0090231700464756e-09,7.366418142140674e-09
1915,1.0602685840410686e-08,1.295883844676382e-08
1916,0.0,9.888715624128963e-09
1917,0.0,1.0966424213165737e-08
1918,0.0,1.8378202071289707e-08
1919,1.8415696745321952e-09,2.301962176431971e-08
1920,8.329454459499175e-09,5.300562211374427e-09
1921,6.058197943303867e-09,2.3475516641724425e-08
1922,9.591316185719734e-09,8.853522359686394e-09
1923,7.431163684401554e-09,1.6985516992917837e-08
1924,6.445812328337297e-09,5.156649773851996e-09
1925,4.399271169575059e-09,1.4297631523163545e-08
1926,1.1146138456652466e-09,1.4489979882625903e-08
1927,5.574612327308159e-09,1.7838759802657478e-08
1928,2.2852082448565625e-09,7.998228745975666e-09
1929,1.1140406375176326e-09,1.893869061575515e-08
1930,0.0,1.995684684175103e-08
1931,2.2810713318222042e-09,2.2810713318222042e-09
1932,7.6716757391182e-09,1.2055489939655217e-08
1933,9.176529758292418e-09,1.4911860191091364e-08
1934,2.3963160344919743e-09,1.3179738189705859e-08
1935,1.196828414151696e-09,9.574627313213568e-09
1936,3.6374143697059935e-09,0.0
1937,7.554670666820584e-09,1.0072894518486919e-08
1938,5.186085783037697e-09,1.4261735792331365e-08
1939,1.5294050470515685e-09,1.070583532936098e-08
1940,0.0,1.5214697057785997e-08
1941,0.0,8.854508237732261e-09
1942,9.102635090130207e-09,2.730790527039062e-08
1943,2.9032352077962287e-09,3.193558839598154e-08
1944,6.4263723231761105e-09,2.2492303131116387e-08
1945,4.357008087652048e-09,1.9606536838523425e-08
1946,4.1763312808029696e-09,1.9489545977080525e-08
1947,2.3841741914054637e-09,2.8610090296865565e-08
1948,0.0,1.6307831529616124e-08
1949,0.0,9.817008539414473e-09
1950,2.1270722960764488e-09,1.0635361036293034e-08
1951,1.0661401761424827e-09,9.595261474260042e-09
