year,eut_VERB osé_VERB,eut_VERB posé_VERB
1800,9.746909768182377e-08,5.345079756580162e-08
1801,7.143547975374531e-08,3.095537337571841e-08
1802,8.280008501060365e-08,6.713520406265161e-09
1803,2.9255089017965474e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,4.943701892301533e-09
1805,5.685755510853596e-08,3.4114531644036106e-08
1806,4.610670600868616e-08,4.610670600868616e-08
1807,3.9857372513552036e-08,2.2775640928784924e-08
1808,6.345007363961486e-08,2.2660739951163578e-09
1809,4.743964154840796e-08,1.581321384946932e-08
1810,1.8721014072298203e-08,1.4040760554223652e-08
1811,2.2563691359778204e-08,6.267691787797958e-08
1812,1.0668832928217853e-08,2.6672083208723052e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,1.2586708564299443e-08,4.090680150170556e-08
1815,1.0788894400093341e-07,8.091670444798638e-09
1816,2.3176038865813098e-08,1.3905623319487859e-08
1817,5.60474440192138e-08,2.6466848268569265e-08
1818,2.384235386898581e-08,2.1458118837358597e-08
1819,2.2772310259711048e-08,5.796588098405664e-08
1820,9.01852530432734e-08,3.678609061807947e-08
1821,1.577838126820552e-08,1.577838126820552e-08
1822,1.0025615893027862e-08,2.90742860897808e-08
1823,2.174191138237802e-08,3.5577674140085946e-08
1824,7.747424035642325e-08,1.51580028528997e-08
1825,8.805442774928451e-08,2.3774695989686734e-08
1826,3.52319382557198e-08,4.1397527184017235e-08
1827,1.7512819638909605e-08,2.949527377893446e-08
1828,1.6510142586412258e-08,2.7516904310687096e-08
1829,2.2290258527846163e-08,3.1720752247110795e-08
1830,1.7742621594152297e-08,2.817945699007396e-08
1831,2.0268567268999504e-08,2.8064171431196883e-08
1832,3.2471927369215337e-08,4.19429042608499e-08
1833,1.853380560135065e-08,2.548398292390175e-08
1834,3.733812548034621e-08,2.0535967593104942e-08
1835,2.7983425354705105e-08,2.4201881387853064e-08
1836,2.688300071440608e-08,3.024337402735e-08
1837,1.6698937344017395e-08,1.87863058442872e-08
1838,3.66105403770689e-08,3.1560809077291196e-08
1839,2.307186797168015e-08,3.8453112694014635e-08
1840,2.6115722917552375e-08,4.267691267045848e-08
1841,3.146068650039524e-08,3.5955071808757566e-08
1842,3.4882980060046975e-08,3.5553803456878086e-08
1843,2.008349753168659e-08,3.18973185642335e-08
1844,2.360081374774836e-08,3.567564732520623e-08
1845,2.287893430263921e-08,5.022205229465726e-08
1846,2.4003455223464698e-08,2.8101606375230404e-08
1847,2.2651539310913904e-08,1.6179670936367074e-08
1848,2.172209789819135e-08,7.562508130831702e-08
1849,1.508294644736452e-08,2.011059585527164e-08
1850,2.5798184921654865e-08,1.8330290174617403e-08
1851,1.6768540334055615e-08,4.063146263888484e-08
1852,3.2552727180501506e-09,2.929745512858517e-08
1853,1.3138249599364826e-08,3.1054046445433414e-08
1854,1.610655964157104e-08,4.000661490977109e-08
1855,1.8574279891936385e-08,3.874064091746732e-08
1856,1.2425253714809514e-08,2.5368226630462232e-08
1857,2.4407546206361985e-08,4.4421732070532016e-08
1858,2.4468379322684086e-08,4.3553715300959084e-08
1859,4.226503946824778e-08,4.226503946824778e-08
1860,3.112485202905191e-08,4.211009141386057e-08
1861,3.206855225812433e-08,2.87673795895671e-08
1862,1.671654992208005e-08,2.5752521892741242e-08
1863,1.5982786649715308e-08,2.6471489888990618e-08
1864,2.1576274988888144e-08,4.8426752385921645e-08
1865,1.3649848362717876e-08,2.165148416111151e-08
1866,2.7247432754506917e-08,3.5518972651971126e-08
1867,1.2132028714972876e-08,2.620518202434141e-08
1868,2.420538258718352e-08,2.766329387782207e-08
1869,1.4162205630441349e-08,4.785848872757015e-08
1870,1.7202147262196377e-08,3.039045992636602e-08
1871,2.0180236148803488e-08,2.549082545044712e-08
1872,1.6327815544059376e-08,3.084143074261192e-08
1873,5.028243776905583e-08,2.8134220286801792e-08
1874,1.7326366119618797e-08,3.1665429389704514e-08
1875,2.0597497041308088e-08,2.689117728493784e-08
1876,1.0882827083946722e-08,3.143927784776679e-08
1877,8.658742167710898e-09,2.4739264858908427e-08
1878,2.536417298415472e-08,2.959153455606156e-08
1879,2.1382637882538802e-08,2.2604503158163425e-08
1880,2.8238524407697696e-08,2.6954953824542827e-08
1881,1.045876096839038e-08,1.9523021421719022e-08
1882,1.6638463051776853e-08,2.3293848627758962e-08
1883,2.0221884611260066e-08,3.791603475633565e-08
1884,2.6406787867472303e-08,2.178559910248623e-08
1885,1.6758653131887513e-08,1.353583467533781e-08
1886,2.3877817056927597e-08,2.774989482645651e-08
1887,1.1099172247952538e-08,3.0685946228459215e-08
1888,9.510921827882157e-09,2.7264643875923866e-08
1889,1.566284169030041e-08,1.3156786771162388e-08
1890,1.1142456735058204e-08,3.5393686204088226e-08
1891,1.0198752065093686e-08,2.2947192590550003e-08
1892,1.3790726782758611e-08,2.6954603882245465e-08
1893,1.1700991287000306e-08,3.4487133149241345e-08
1894,2.835692747282792e-08,2.520615716150587e-08
1895,1.0833506536300774e-08,2.5880042997528108e-08
1896,1.533227589334274e-08,1.592197840238896e-08
1897,1.2236098356765979e-08,1.806281169081103e-08
1898,1.3014216371232123e-08,3.677930848766664e-08
1899,1.326618814800895e-08,3.2612710754165164e-08
1900,1.142031713641245e-08,3.2703635355346705e-08
1901,1.2854099118442264e-08,2.8502569193733507e-08
1902,3.928227076954727e-09,1.7677022512430085e-08
1903,1.1340462791054051e-08,1.3500550899436803e-08
1904,1.8811189050893518e-08,1.8811189050893518e-08
1905,2.0643035725242953e-08,2.0126959654476195e-08
1906,6.173021205313489e-09,3.549487459508782e-08
1907,1.131425531042396e-08,1.491424583832668e-08
1908,1.1296195090437777e-08,2.0627833663411366e-08
1909,1.320236009405562e-08,2.2003934674330594e-08
1910,2.1911017000775246e-08,1.60324518105881e-08
1911,1.1172785363555704e-08,2.2877609140437016e-08
1912,1.1460726589973547e-08,2.6047105805560022e-08
1913,4.242391771214216e-09,3.3939134169713725e-08
1914,6.696743604095445e-09,1.0714789944188396e-08
1915,9.424609537234119e-09,7.068456930880984e-09
1916,1.3184954461564757e-08,3.735737053034427e-08
1917,2.0836205649743533e-08,2.3029491202919417e-08
1918,1.4932290071101306e-08,3.331049214239101e-08
1919,2.301962176431971e-08,3.867296172188617e-08
1920,1.1358347151713133e-08,1.741613253614105e-08
1921,9.087297137000405e-09,2.7261890522822796e-08
1922,1.8444838545406128e-08,3.32007097370024e-08
1923,2.0170300985000722e-08,2.7601466001669905e-08
1924,2.1915761649893284e-08,3.738571052736006e-08
1925,8.798542339150117e-09,1.8696901804560184e-08
1926,1.3375366592072169e-08,3.1209186346359274e-08
1927,1.3379070296082318e-08,6.355057990958812e-08
1928,9.14083297942625e-09,2.9707706517001498e-08
1929,7.798284684668033e-09,3.8991423423340166e-08
1930,7.352522590764465e-09,1.3654684494213143e-08
1931,1.3686427990933225e-08,1.8248570654577634e-08
1932,6.575722188983946e-09,3.3974561830518724e-08
1933,8.02946331646126e-09,2.064719240024715e-08
1934,1.3179738189705859e-08,1.7972370258689807e-08
1935,3.590485242455088e-09,3.8298509252854274e-08
1936,1.9399543305098632e-08,1.576212937948185e-08
1937,2.1404900962807005e-08,1.6368453259474336e-08
1938,6.482607339819424e-09,2.3337385357535823e-08
1939,7.647025235257843e-09,3.211750509990452e-08
1940,2.5357829169792012e-09,1.2678914806940611e-08
1941,5.9030051957620344e-09,1.7709016475464523e-08
1942,1.8205270180260413e-08,1.517105907566929e-08
1943,8.709705845433291e-09,1.1612940831184915e-08
1944,1.2852744646352221e-08,2.5705489292704442e-08
1945,1.742803235060819e-08,3.703456741277478e-08
1946,1.8097434661967782e-08,2.3665876369705074e-08
1947,9.536696765621855e-09,3.814678706248742e-08
1948,1.3046265401328583e-08,1.6307831529616124e-08
1949,1.0798709482173763e-08,2.0615717133409817e-08
1950,4.2541445921528975e-09,4.1477910883713776e-08
1951,1.0661401761424827e-09,2.7719645245838365e-08
1952,2.1089607837865287e-09,3.057992969957013e-08
1953,1.723812381726475e-08,2.477980309834038e-08
1954,4.886268278880834e-09,3.224936762080688e-08
1955,8.447047505910632e-09,1.9709776921672528e-08
1956,7.849027205963921e-09,3.401245152190313e-08
1957,7.951533653738352e-09,2.8272120644601273e-08
1958,1.5717262158432277e-08,2.7298403537656668e-08
