year,fut_VERB heureux_ADJ,fut_VERB peureux_ADJ
1800,5.973912493573152e-07,0.0
1801,5.5481552863057e-07,0.0
1802,5.057518706053088e-07,0.0
1803,6.572643087565666e-07,1.950339223455444e-09
1804,6.130190399744606e-07,0.0
1805,6.908192631271959e-07,0.0
1806,6.454938556998968e-07,0.0
1807,4.6690064436916145e-07,0.0
1808,6.16372119566222e-07,0.0
1809,4.4728804482474516e-07,0.0
1810,5.195081484998809e-07,0.0
1811,4.562879780678486e-07,0.0
1812,6.934741350050899e-07,0.0
1813,5.40639405244292e-07,0.0
1814,5.160550244909246e-07,0.0
1815,4.828029886994045e-07,0.0
1816,3.6386381907504983e-07,0.0
1817,5.386781936067564e-07,0.0
1818,6.49704190891498e-07,0.0
1819,7.494160172427655e-07,0.0
1820,6.431632755266037e-07,0.0
1821,5.818278054903203e-07,0.0
1822,7.248520432767691e-07,1.0025615893027862e-09
1823,6.295271646195033e-07,0.0
1824,6.450572413996269e-07,8.421112696055388e-10
1825,6.938689125490782e-07,0.0
1826,6.491484327852959e-07,0.0
1827,6.074183147575241e-07,0.0
1828,4.78794106584246e-07,0.0
1829,6.764236104572774e-07,8.57317605795771e-10
1830,6.063801833988691e-07,0.0
1831,5.877884632354835e-07,0.0
1832,6.074956218071748e-07,0.0
1833,6.822756972724164e-07,0.0
1834,5.320682703313651e-07,0.0
1835,5.634500439555268e-07,0.0
1836,5.517735530702339e-07,0.0
1837,5.308870640874375e-07,0.0
1838,6.116484883023077e-07,0.0
1839,5.593180389951158e-07,0.0
1840,5.535259219868749e-07,6.369688665408546e-10
1841,4.963084165865439e-07,0.0
1842,5.071448185844929e-07,0.0
1843,4.743249633065716e-07,0.0
1844,5.779455136689648e-07,5.488561272137815e-10
1845,5.027785618949565e-07,5.580227946389016e-10
1846,4.695310167335265e-07,0.0
1847,4.2498601260376745e-07,0.0
1848,4.2559221924420854e-07,0.0
1849,4.105913262719696e-07,0.0
1850,4.406058451422723e-07,0.0
1851,3.766472218558192e-07,6.449438760824933e-10
1852,4.687592820573627e-07,0.0
1853,5.768886239820858e-07,5.971931837933653e-10
1854,4.842359544454666e-07,0.0
1855,5.036283141635067e-07,0.0
1856,5.078822482573742e-07,0.0
1857,5.106058438286709e-07,0.0
1858,4.6881416437827284e-07,0.0
1859,4.837564802073757e-07,0.0
1860,6.165466857055435e-07,0.0
1861,5.380914558372751e-07,0.0
1862,6.058619419491151e-07,0.0
1863,5.60396472337743e-07,0.0
1864,4.5166336803958984e-07,0.0
1865,4.612707584783493e-07,9.41368871743009e-10
1866,5.055371730122715e-07,0.0
1867,5.056629674982105e-07,0.0
1868,4.7175797135423636e-07,0.0
1869,4.5612068788614124e-07,4.883519144627257e-10
