year,faudrait_VERB oser_VERB,faudrait_VERB poser_VERB
1800,0.0,0.0
1801,0.0,7.143547975374531e-09
1802,0.0,6.713520406265161e-09
1803,0.0,7.801356893821776e-09
1804,0.0,4.943701892301533e-09
1805,0.0,2.842877755426798e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,6.798221985349073e-09
1809,0.0,2.710836710662079e-08
1810,2.3401267590372754e-09,2.106114038724627e-08
1811,1.0028307073639553e-08,2.0056614147279106e-08
1812,0.0,8.00162425207418e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,0.0,7.784366928831332e-09
1818,1.1921177378582115e-09,2.6226590676969863e-08
1819,0.0,7.24573512300708e-09
1820,0.0,1.3053129244156025e-08
1821,0.0,8.875339574387908e-09
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,0.0,5.929612356680991e-09
1824,0.0,1.6000115010683658e-08
1825,0.0,6.163809906922779e-09
1826,0.0,1.145037931138404e-08
1827,1.3825909306319772e-08,1.8434546111834038e-09
1828,9.172301251858528e-10,2.8434133270138773e-08
1829,0.0,1.971830521085849e-08
1830,5.218417697960831e-09,1.7742621594152297e-08
1831,1.5591206103948707e-09,2.0268567268999504e-08
1832,1.2176972319366541e-08,9.470978667991403e-09
1833,0.0,9.266902800675325e-09
1834,2.8003592777992026e-09,3.173740381612333e-08
1835,0.0,1.9664028627630614e-08
1836,4.704525213838906e-09,2.2850549896702432e-08
1837,8.349468672008697e-09,1.948209416013924e-08
1838,1.199310784016916e-08,2.1461350030449466e-08
1839,0.0,1.3982949909063791e-08
1840,1.2739377330817092e-09,2.4204817705708592e-08
1841,5.1364388298225094e-09,3.723918240439161e-08
1842,2.0124795163667386e-09,2.683306021822318e-08
1843,5.31621990873532e-09,1.4767278067040479e-08
1844,3.841992946007622e-09,1.975882035765153e-08
1845,3.348136878855712e-09,2.7901139176833567e-08
1846,2.9272506640865004e-09,2.1661655580373917e-08
1847,4.853901280910122e-09,2.8044762956369595e-08
1848,6.43617736884039e-09,1.850401076808339e-08
1849,0.0,2.76520690789539e-08
1850,6.788996032014438e-10,2.1045888587423178e-08
1851,1.1608989325395669e-08,3.8696632564949596e-09
1852,9.114764054629632e-09,6.510545436100301e-09
1853,5.971931837933653e-10,6.569124799682413e-09
1854,5.195664343204953e-09,2.4939190268469247e-08
1855,3.1841622671890946e-09,1.4859423913549108e-08
1856,2.5885946719483854e-09,1.2942972915652717e-08
1857,4.881508974818871e-09,1.757343248698362e-08
1858,6.8511463169329545e-09,2.5447114637699997e-08
1859,4.582956236731661e-09,1.6804172275897145e-08
1860,5.034902272882391e-09,2.0139609091529564e-08
1861,4.715963730639317e-10,2.357981898626349e-08
1862,6.776979422085105e-09,2.5752521892741242e-08
1863,1.4983863039219614e-08,1.7980635647063536e-08
1864,3.3563094525845827e-09,2.3014694150447212e-08
1865,3.765475486972036e-09,1.7886009118228685e-08
1866,1.9462451650298362e-09,1.3137154475373336e-08
1867,1.2132028714972876e-08,8.249779526181555e-09
1868,2.9639244392143382e-09,1.5807597009143137e-08
1869,1.953407657850903e-09,1.0743741896135361e-08
1870,1.1468097582678638e-09,1.548193218070537e-08
1871,4.248470908407853e-09,1.5931766128574054e-08
1872,6.047339295989218e-10,2.7213026498884574e-08
1873,5.986004469882289e-10,1.5563610844537834e-08
1874,1.7923826867161097e-09,1.6728906260254917e-08
1875,0.0,1.602027666081085e-08
1876,7.859819461941697e-09,2.2370254981751714e-08
1877,1.2369631985365004e-09,1.6699003069220453e-08
1878,6.039088673581716e-10,6.6429977074733415e-09
1879,6.10932526790009e-10,1.8327975581655664e-08
1880,6.417846254436199e-09,1.9895322722618403e-08
1881,4.183504653809678e-09,2.649552932609822e-08
1882,7.986462158271479e-09,1.2645231528551903e-08
1883,2.5277355764075082e-09,1.9589950994713945e-08
1884,2.6406787867472303e-09,1.650424152899177e-08
1885,3.2228177904158883e-09,1.6114089618213256e-08
1886,2.5813855497602844e-09,1.936039240035825e-08
1887,0.0,1.3057849024278312e-08
1888,5.07249175996094e-09,6.340614699951175e-09
1889,5.012109394186837e-09,1.50363277384713e-08
1890,1.9663159989136147e-09,2.6872983838188702e-08
1891,5.736798147637501e-09,2.1672347472190268e-08
1892,1.2537024751679837e-09,8.775916882086676e-09
1893,2.463366621796581e-09,1.7243566574620672e-08
1894,6.301539290376468e-10,3.780923574225881e-09
1895,6.018614495673091e-10,1.2639090662958097e-08
1896,0.0,1.7101383420481397e-08
1897,4.661370844871726e-09,1.6897470089816125e-08
1898,7.921697076085366e-09,8.487532454637403e-09
1899,1.1055156790007459e-08,2.3215829259015663e-08
1900,4.671947717582725e-09,1.453494924419374e-08
1901,0.0,8.38310842965484e-09
1902,1.4730852093691738e-09,6.874397495693074e-09
1903,3.2401321625741275e-09,1.674068350610014e-08
1904,4.299700151477737e-09,2.8485512615361586e-08
1905,2.0643036169332163e-09,7.741138396966107e-09
1906,1.5432553013283723e-09,8.745113966313056e-09
1907,0.0,8.228549397415463e-09
1908,8.840499887696751e-09,1.620758460774141e-08
1909,3.300590023513905e-09,2.585462333115629e-08
1910,5.878565634276356e-09,3.153049021875631e-08
1911,4.788336838146279e-09,1.8621308939259507e-08
1912,0.0,1.5628263128064646e-08
1913,5.30298971401777e-10,2.7575547179026216e-08
1914,3.3483718020477227e-09,8.705766774141921e-09
1915,4.712304768617059e-09,2.238344798399794e-08
1916,2.197492410260793e-09,2.7468654906215306e-08
1917,4.386569774084137e-09,2.8512703309502285e-08
1918,3.44591288836682e-09,6.89182577673364e-09
1919,9.207848372660976e-10,1.2890987832747669e-08
1920,2.2716695191604686e-09,2.7260034229925623e-08
1921,1.5145494858259667e-09,4.695103328344885e-08
1922,7.377935484775833e-10,1.549366501762961e-08
1923,7.431163684401554e-09,1.4862327368803108e-08
1924,9.02413699321869e-09,1.933743654092268e-08
1925,3.299453377181294e-09,1.0998178368026856e-08
1926,1.1146138456652466e-09,2.7865345586519652e-08
1927,1.1149224876660924e-09,5.574612327308159e-09
1928,3.4278122562625413e-09,2.5137291359556002e-08
1929,4.4561625500705304e-09,1.893869061575515e-08
1930,1.0503603542488804e-09,3.151081173768944e-08
1931,5.7026783295555106e-09,1.8248570654577634e-08
1932,1.0959536389520963e-08,1.2055489939655217e-08
1933,5.735331320977366e-09,2.6382522833046096e-08
1934,4.7926320689839486e-09,2.875579241390369e-08
1935,3.590485242455088e-09,2.8723881939640705e-08
1936,3.6374143697059935e-09,1.8187071404440758e-08
1937,0.0,2.6441348666139675e-08
1938,6.482607339819424e-09,1.9447821131279852e-08
1939,1.070583532936098e-08,3.211750509990452e-08
1940,5.0715658339584024e-09,5.0715658339584024e-09
1941,2.9515025978810172e-09,5.9030051957620344e-09
