year,grand_ADJ auto_NOUN,grand_ADJ poteau_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,0.0
1802,0.0,3.5805442166747525e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,1.1371510844071508e-08
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,1.5862518409903714e-08
1809,0.0,2.259030518203531e-09
1810,0.0,1.8721014072298203e-08
1811,0.0,1.2535384286138651e-08
1812,3.200649700829672e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,2.697223555614414e-09
1816,0.0,2.3176038865813098e-08
1817,0.0,9.341240669868967e-09
1818,3.2187177367859476e-08,1.1921177378582115e-09
1819,1.0351049795076506e-08,0.0
1820,1.1866481131050932e-09,9.493184904840746e-09
1821,0.0,2.6626018723163725e-08
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,1.3835761869529506e-08,8.894418535021487e-09
1824,9.263223965660927e-09,4.210556348027694e-09
1825,0.0,8.805443041381977e-10
1826,7.0463874735082754e-09,7.927186018719112e-09
1827,1.566936447261469e-08,1.8434546111834038e-09
1828,7.337841001486822e-09,1.0089530988466322e-08
1829,0.0,6.858540846366168e-09
1830,1.0436835840010872e-09,9.39315203396518e-09
1831,0.0,1.5591206548037917e-08
1832,1.3529969367098715e-09,1.8941957335982806e-08
1833,5.791814139399776e-09,8.108539617524002e-09
1834,0.0,1.4001796166951408e-08
1835,0.0,5.294161553592858e-09
1836,2.688300027031687e-09,1.2097349788575684e-08
1837,6.957890930081589e-10,9.74104708006962e-09
1838,2.5248647617104325e-09,9.468243078458727e-09
1839,6.9914749545318955e-09,6.292327547896548e-09
1840,1.2739377330817092e-09,6.369688665408546e-10
1841,1.2841097074556274e-09,7.704658244733764e-09
1842,8.049918065466954e-09,1.8783142152756227e-08
1843,1.2404512972352677e-08,1.1813821920725331e-08
1844,6.037417232818143e-09,5.488561161115513e-09
1845,1.3950569588416784e-08,1.1160455892778032e-09
1846,7.610851504580296e-09,8.196302303531411e-09
1847,0.0,7.550513103637968e-09
1848,4.02261068899179e-09,3.218088684420195e-09
1849,1.005529792763582e-08,1.6758829879393033e-09
1850,6.1100964288129944e-09,6.1100964288129944e-09
1851,6.449438760824933e-10,9.674158363282004e-09
1852,5.859490670445666e-09,1.8229528109259263e-08
1853,1.1943863675867306e-09,1.791579506971175e-08
1854,6.234797567117312e-09,6.754363734984281e-09
1855,2.1227748447927297e-09,1.0083180512765466e-08
1856,2.5885946719483854e-09,2.0708756931497874e-09
1857,4.393358121745905e-09,1.2203773103180993e-08
1858,1.9574704079872163e-09,3.4255731584664773e-09
1859,9.675129142294736e-09,1.1202780925145817e-08
1860,4.119465657481669e-09,3.204028820036342e-09
1861,6.6023493339173456e-09,1.5091083938045813e-08
1862,9.035972858839614e-09,1.0391368654438793e-08
1863,1.0988165932701577e-08,8.490855130105501e-09
1864,5.753673537611803e-09,4.315255264231155e-09
1865,0.0,2.8241067262513297e-09
1866,9.731225825149181e-10,6.3252967308358166e-09
1867,1.455843445796745e-09,8.73506067478047e-09
1868,1.975949626142892e-09,7.903798504571569e-09
1869,9.767038733343725e-09,4.395167341186834e-09
1870,1.0894693147633916e-08,1.204150201772336e-08
1871,4.248470908407853e-09,1.0621176826930423e-08
1872,1.2094678591978436e-09,1.8142017887967654e-09
1873,7.781805422268917e-09,5.387403856360606e-09
1874,5.974609251779839e-09,1.1949218503559678e-08
1875,5.149374260327022e-09,6.293679799540541e-09
1876,3.02300739996042e-09,5.441413541973361e-09
1877,4.329371083855449e-09,8.040260901509555e-09
1878,2.4156354694326865e-09,1.509772218355465e-08
1879,1.832797580370027e-09,1.1607718342077078e-08
1880,0.0,1.1552122813895949e-08
1881,6.9725074602899895e-09,7.669758161910067e-09
1882,0.0,1.1314154946262533e-08
1883,0.0,3.159669414998234e-09
1884,6.601696966868076e-10,1.4523733327109767e-08
1885,5.156508553483263e-09,7.7347630522695e-09
1886,2.5813855497602844e-09,8.38950331427668e-09
1887,1.3057849246322917e-09,1.3057849024278312e-08
1888,3.1703073499755874e-09,5.07249175996094e-09
1889,1.2530273485467092e-09,1.1903759755682586e-08
1890,0.0,9.176140736144589e-09
1891,0.0,1.211101796627645e-08
1892,3.1342561879199593e-09,8.775916882086676e-09
1893,0.0,2.3401982574000613e-08
1894,1.8904617871129403e-09,8.192000855444803e-09
1895,3.0093072478365457e-09,4.814891596538473e-09
