year,pourraient_VERB unir_VERB,pourraient_VERB punir_VERB
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,1.1700633351097167e-08,1.6380887757350138e-08
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,0.0
1818,0.0,0.0
1819,5.175524897538253e-09,5.175524897538253e-09
1820,3.5599443393152796e-09,1.542642635854463e-08
1821,0.0,2.9584463767662328e-09
1822,6.015369535816717e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,0.0,0.0
1825,0.0,5.283265824829186e-09
1826,0.0,1.7615968683770689e-09
1827,5.530363722527909e-09,2.7651818612639545e-09
1828,2.7516904310687096e-09,0.0
1829,0.0,8.573175946935407e-09
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,0.0,2.705993873419743e-09
1833,0.0,1.3900354645102198e-08
1834,0.0,4.667265685043276e-09
1835,3.479020449503878e-08,9.832014313815307e-09
1836,0.0,0.0
1837,5.5663127440652715e-09,0.0
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,1.3982950353153e-09,3.4957374772659477e-09
1840,6.3696887764308485e-09,7.64362617644565e-09
1841,5.1364388298225094e-09,1.926164561183441e-09
1842,0.0,6.708265054555795e-10
1843,3.5441467538532834e-09,1.1813822142769936e-09
1844,5.488561272137815e-10,5.488561272137815e-10
1845,7.254296274794569e-09,1.1160455892778032e-09
1846,0.0,1.7563503984519002e-09
1847,7.011190739092399e-09,3.235934187273415e-09
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,2.7155984128057753e-09
1851,0.0,1.3543821175687754e-08
1852,1.9531636308300904e-09,1.9531636308300904e-09
1853,2.388772735173461e-09,2.388772735173461e-09
1854,3.63696517347023e-09,6.754363734984281e-09
1855,5.306937111981824e-09,1.5920811335945473e-09
1856,3.1063134287023786e-09,1.5531567143511893e-09
1857,1.4644527812635033e-09,9.763018171682347e-10
1858,3.4255731584664773e-09,1.9574704079872163e-09
1859,2.5460866748261424e-09,1.018434669930457e-09
1860,0.0,4.577183909670879e-10
1861,1.4147891747029462e-09,5.187560159214399e-09
1862,4.517986262886353e-10,4.517986262886353e-10
1863,0.0,4.994620717013731e-09
1864,0.0,1.4384183844029508e-09
1865,0.0,4.706844358715045e-10
1866,1.9462451650298362e-09,0.0
1867,2.426405742994575e-09,0.0
1868,4.44588676984381e-09,9.87974813071446e-10
1869,0.0,4.883519144627257e-10
1870,2.8670243956696595e-09,8.601073631098188e-09
1871,0.0,0.0
1872,0.0,6.047339518033823e-09
1873,0.0,0.0
1874,5.974609251779839e-09,1.1949218281515073e-09
1875,2.8607636259891933e-09,1.1443054281912168e-09
1876,6.04601479992084e-10,3.627608879952504e-09
1877,3.710889595609501e-09,6.184815992682502e-10
1878,4.831270938865373e-09,6.039088673581716e-10
