year,fût_VERB à_ADP,fût_VERB a_ADP,fût_VERB pas_ADV
1800,1.7230021285286057e-06,0.0,6.719079465256073e-06
1801,1.6382535932280007e-06,0.0,7.022107638476882e-06
1802,1.331514908997633e-06,0.0,6.333087640086887e-06
1803,1.4217972648111754e-06,1.950339223455444e-09,6.131866484793136e-06
1804,2.358145820835489e-06,0.0,8.443842489214148e-06
1805,1.8450276684234268e-06,2.842877711017877e-09,7.943000127852429e-06
1806,1.9336000605107984e-06,2.881669125542885e-09,8.63348031998612e-06
1807,1.839133005887561e-06,5.693910232196231e-09,9.645484169595875e-06
1808,1.590783995197853e-06,4.5321479902327155e-09,7.437254680553451e-06
1809,1.845627934926597e-06,2.259030518203531e-09,8.347117727680597e-06
1810,2.349487203900935e-06,0.0,8.653788427182008e-06
1811,1.75996785856114e-06,5.0141535368197765e-09,7.4560462053341325e-06
1812,1.6910099702727166e-06,2.6672082320544632e-09,8.0416330092703e-06
1813,1.967007392522646e-06,0.0,8.034821803448722e-06
1814,2.114566996169742e-06,9.440030979135372e-09,7.983119758137036e-06
1815,1.7666814073891146e-06,0.0,7.422759153996594e-06
1816,1.779919784894446e-06,0.0,7.986463060660753e-06
1817,1.8604637261887547e-06,0.0,8.916214028431568e-06
1818,2.0015656900795875e-06,4.768470951432846e-09,8.573711056669708e-06
1819,1.942892140505137e-06,2.070210003424222e-09,8.707303095434327e-06
1820,1.9010102505490067e-06,1.1866481131050932e-09,9.025645340443589e-06
1821,1.9930068901885534e-06,9.86148829262845e-10,8.551882274332456e-06
1822,2.0863305962848244e-06,1.0025615893027862e-09,8.453599548374768e-06
1823,2.7720936941477703e-06,5.929612356680991e-09,1.0494425623619463e-05
1824,2.1162256871321006e-06,2.5263338088166165e-09,1.0125545486516785e-05
1825,2.434705038467655e-06,1.7610886082763955e-09,9.655168469180353e-06
1826,2.3860829969635233e-06,4.403992170942672e-09,8.326187526108697e-06
1827,2.3568566120957257e-06,3.6869091668556564e-09,9.839439371717162e-06
1828,2.247213842565543e-06,3.6689205562545624e-09,9.871230759017635e-06
1829,2.240170942968689e-06,1.714635211591542e-09,9.529942872177344e-06
1830,2.151031821995275e-06,3.1310507520032616e-09,9.478734682488721e-06
1831,1.9457825146673713e-06,6.236482219534878e-09,7.987375283846632e-06
1832,2.0403194866958074e-06,1.0823975604701275e-08,8.437288670393173e-06
1833,1.7607114841666771e-06,5.791814250422078e-09,8.723630344320554e-06
1834,1.8379691937298048e-06,1.213489042584115e-08,8.137843906297348e-06
1835,2.219766201960738e-06,3.025235173481633e-09,8.106118002615403e-06
1836,1.977244664885802e-06,4.70452493628315e-09,8.019199412956368e-06
1837,2.0609272723959293e-06,8.349469338142512e-09,7.99600820755586e-06
1838,2.1625467070407467e-06,8.2058102535143e-09,8.760649507166818e-06
1839,2.112124548148131e-06,4.894032734625853e-09,8.426125532423612e-06
1840,2.239582499896642e-06,5.7327197988676915e-09,8.028355296119116e-06
1841,1.9865176454914035e-06,1.926164561183441e-09,7.89149635238573e-06
1842,2.027908521995414e-06,7.379091560011375e-09,7.328108949877787e-06
1843,1.7549432413943578e-06,4.13483786099178e-09,7.507684131269343e-06
1844,1.8167137341151829e-06,1.097712254427563e-09,8.913423698686529e-06
1845,1.7159201206595753e-06,1.674068439427856e-09,8.26208543003304e-06
1846,1.8266043753101258e-06,2.9272506640865004e-09,7.606753570144065e-06
1847,1.7964828202821082e-06,3.775256551818984e-09,7.943140190036502e-06
1848,1.6999553054120042e-06,6.4361772578180876e-09,7.0926676016824786e-06
1849,1.7378906704834662e-06,8.379414939696517e-10,7.4836552812485024e-06
1850,1.7264417238038732e-06,2.0366988096043315e-09,7.428519438690273e-06
1851,1.842604660851066e-06,4.514607354622058e-09,7.527784873673227e-06
1852,1.5924794070087955e-06,3.906327261660181e-09,6.526821834995644e-06
1853,1.5825619357201504e-06,1.7915795513800958e-09,7.2254401857207995e-06
1854,1.8065325093630236e-06,6.7543638460065836e-09,7.471885055565508e-06
1855,1.6881366491361405e-06,3.714855978387277e-09,7.284301773324842e-06
1856,1.7260748563785455e-06,3.1063134287023786e-09,7.416841071972158e-06
1857,1.9052530433327775e-06,8.298565390418844e-09,7.518988240917679e-06
1858,1.752914727148891e-06,3.91494070495213e-09,7.896925126260612e-06
1859,1.8128137071471428e-06,2.036869339860914e-09,7.577663382107858e-06
1860,1.7498574607088813e-06,2.746310290291376e-09,7.251632268889807e-06
1861,1.7835774315244635e-06,3.301174722469824e-09,7.569121862616157e-06
1862,1.7213527598869405e-06,1.355395878865906e-09,7.298806849576067e-06
1863,1.7131549157056725e-06,4.495158911765884e-09,7.070385436236393e-06
1864,1.689182681730017e-06,6.233146554457392e-09,6.909682269906625e-06
1865,1.7274119272769894e-06,4.236159978354692e-09,7.3652699938975275e-06
1866,1.7647578260948649e-06,7.784980660119345e-09,7.30523106540204e-06
1867,1.8120398408427718e-06,4.85281148598915e-09,6.67601261739037e-06
1868,1.6430020650659571e-06,2.469937032678615e-09,6.6342508944217116e-06
1869,1.7658804836173658e-06,4.883519144627257e-10,6.549775662278989e-06
1870,1.5441793266290915e-06,4.013834153937523e-09,6.879138254589634e-06
1871,1.5836175180083956e-06,1.0621177271019633e-09,6.511843821499497e-06
1872,1.5686798633396393e-06,1.8142017887967654e-09,6.397480319719762e-06
1873,1.7269622958338005e-06,4.1902030178953e-09,5.975828116788762e-06
1874,1.6573566199440393e-06,2.987304570378768e-09,6.120987109170528e-06
1875,1.783972152225033e-06,4.00506905418041e-09,6.148352895252174e-06
1876,1.575591454638925e-06,3.02300739996042e-09,5.601632892648922e-06
1877,1.4484838857242721e-06,4.9478527941460015e-09,5.4853135225130245e-06
1878,1.3895943311581505e-06,4.8312708278430705e-09,5.551130470848875e-06
1879,1.5010612059995765e-06,2.443730107160036e-09,5.624244749924401e-06
1880,1.5499098253712873e-06,1.9253538763308597e-09,5.610481366602471e-06
1881,1.4572540294466307e-06,6.2752567586699115e-09,5.494336164701963e-06
1882,1.50877576743369e-06,4.658769592325029e-09,5.809485628560651e-06
1883,1.3877267974748975e-06,1.8958017378167824e-09,5.5862956287455745e-06
1884,1.5137691207200987e-06,1.3203393933736152e-09,5.3883049986325204e-06
1885,1.4212627093002084e-06,5.156508553483263e-09,5.327962298906641e-06
1886,1.3468379620462656e-06,5.808117542471791e-09,5.213753411226207e-06
1887,1.3540989129978698e-06,2.6115699047757346e-09,4.91236278321594e-06
1888,1.439953621229506e-06,5.07249175996094e-09,5.347674232325517e-06
1889,1.4090292097534984e-06,2.5060546970934183e-09,4.84232441522181e-06
1890,1.389529984408e-06,3.277193239004106e-09,4.9819891501101665e-06
1891,1.3162764389562653e-06,2.5496880162734215e-09,4.837395408685552e-06
1892,1.2518219136836706e-06,1.2537024751679837e-09,4.431211436894955e-06
1893,1.2470793535612756e-06,3.079208221734575e-09,4.500570867094211e-06
1894,1.2048543567289016e-06,3.150769645188234e-09,4.6568375182687305e-06
1895,1.4378470041265246e-06,6.018614495673091e-10,4.814289695787011e-06
