year,petit_ADJ or_NOUN,petit_ADJ port_NOUN
1800,3.144164484325529e-09,8.897985246392182e-07
1801,0.0,7.334042160245247e-07
1802,0.0,8.682820009653369e-07
1803,1.950339223455444e-09,1.291124559710255e-06
1804,0.0,8.997537292998459e-07
1805,8.528633133053631e-09,9.7510701380088e-07
1806,5.76333825108577e-09,6.397305583050183e-07
1807,5.693910232196231e-09,1.1245472437693138e-06
1808,0.0,9.064295909411157e-07
1809,6.7770915546105925e-09,7.251488227666414e-07
1810,2.3401267590372754e-09,7.207590329016966e-07
1811,0.0,1.1733118707724088e-06
1812,2.6672082320544632e-09,6.347955832097796e-07
1813,0.0,6.182844551894107e-07
1814,0.0,7.489091817802773e-07
1815,0.0,5.421419539963779e-07
1816,6.952811659743929e-09,6.234354259504471e-07
1817,4.670620334934483e-09,4.1101458236880717e-07
1818,1.1921177378582115e-09,5.471820259117521e-07
1819,1.035105001712111e-09,4.709727647878026e-07
1820,1.779972080839798e-08,7.891209836685675e-07
1821,7.88919063410276e-09,5.147696624518971e-07
1822,3.0076847679083585e-09,6.286061022819922e-07
1823,9.882686891060644e-10,8.08403793683965e-07
1824,1.6842225392110777e-09,6.425308924917772e-07
1825,4.4027217427355936e-09,5.961285065581023e-07
1826,0.0,8.085729632512084e-07
1827,2.7651819167751057e-09,7.604250527037948e-07
1828,2.7516904310687096e-09,6.539850829767602e-07
1829,8.573175946935407e-09,9.730554779707745e-07
1830,3.1310507520032616e-09,7.149232617020829e-07
1831,0.0,6.267664696135711e-07
1832,0.0,6.115546398177685e-07
1833,6.950177100506494e-09,9.359571553346768e-07
1834,9.334530925997342e-10,7.32760654820197e-07
1835,2.2689263801112247e-09,8.190824445364342e-07
1836,1.3441500135158435e-09,7.197923093116287e-07
1837,6.957890930081589e-10,5.921165358024894e-07
1838,1.2624323808552163e-09,7.782895590224825e-07
1839,2.7965901816529026e-09,9.56433822807412e-07
1840,0.0,8.121353012313648e-07
1841,6.420548537278137e-10,7.197435105688044e-07
1842,0.0,6.312477482950385e-07
1843,4.134837805480629e-09,5.635193158770591e-07
1844,0.0,5.927645991832264e-07
1845,8.928364714222425e-09,7.483085902038056e-07
1846,1.1709002656346001e-09,6.990274430407339e-07
1847,1.6179670936367074e-09,6.887146843936875e-07
1848,7.240699539945439e-09,5.687971587065022e-07
1849,0.0,4.6170577494564213e-07
1850,6.788996032014438e-10,6.999454669198713e-07
1851,3.2247193804124663e-09,8.068247960846264e-07
1852,1.3021090872200602e-09,6.354292247934268e-07
1853,1.1943863675867306e-09,7.142430380469023e-07
1854,1.5586993362681767e-09,8.749499027516094e-07
1855,5.306937111981824e-10,9.043020767762755e-07
1856,5.177189232874468e-10,6.419714568828283e-07
1857,0.0,6.858520205099694e-07
1858,4.893676019968041e-10,7.966904567169308e-07
1859,0.0,5.90692087243383e-07
1860,1.8308735638683515e-09,7.588970873939616e-07
1861,3.301174722469824e-09,7.748328156864659e-07
1862,3.1625904395315985e-09,9.094706294732191e-07
1863,5.9935452156878455e-09,7.496925773509133e-07
1864,1.4384183844029508e-09,5.729699648071573e-07
1865,1.4120533631256649e-09,7.488589393034317e-07
1866,1.9462451650298362e-09,7.809308764095135e-07
1867,1.455843445796745e-09,7.657736791344405e-07
1868,3.951899252285784e-09,6.357618103081109e-07
1869,4.395167341186834e-09,6.60251762596431e-07
1870,3.4404292748035914e-09,6.15263420655765e-07
1871,0.0,4.62021200631213e-07
1872,0.0,5.297469301002167e-07
1873,5.986004469882289e-10,6.147626754327007e-07
