year,aurait_VERB eu_VERB,aurait_VERB pu_VERB
1800,3.53718496626243e-06,9.064626283361576e-06
1801,2.471667585268733e-06,8.388906280742958e-06
1802,2.9651382646989077e-06,7.778732651786413e-06
1803,2.5939511942851823e-06,9.133438652497716e-06
1804,4.884377631242387e-06,1.33232770167524e-05
1805,2.948064093288849e-06,1.107869411498541e-05
1806,2.6972422801918583e-06,1.042876101564616e-05
1807,5.3892858886683825e-06,1.3716629837290384e-05
1808,4.2171636778221e-06,1.1636289855232462e-05
1809,3.969116733060218e-06,1.2264276847417932e-05
1810,5.131897978571942e-06,1.3268519069242757e-05
1811,4.926405836158665e-06,1.4668906260340009e-05
1812,5.355754183256067e-06,1.941460868692957e-05
1813,5.9154003793082666e-06,2.0325742298155092e-05
1814,4.4399612306733616e-06,1.5604371583322063e-05
1815,5.09775236423593e-06,1.6830674212542363e-05
1816,4.4822459130955394e-06,1.4475754142040387e-05
1817,5.403907380241435e-06,1.6977704945020378e-05
1818,5.50519962416729e-06,1.6633619452477433e-05
1819,5.575075647357153e-06,1.80108272616053e-05
1820,5.8976411310140975e-06,2.053375828836579e-05
1821,7.275806183315581e-06,2.1125280909473076e-05
1822,6.234930424398044e-06,2.027380105573684e-05
1823,5.98890846958966e-06,1.8342267139814794e-05
1824,6.224886419659015e-06,1.868729123088997e-05
1825,6.570621735590976e-06,2.0063202100573108e-05
1826,5.636229161609663e-06,2.096300340781454e-05
1827,8.250381142715923e-06,2.4804603526717983e-05
1828,8.260574759333394e-06,2.4701925212866627e-05
1829,8.75321256899042e-06,2.629221671668347e-05
1830,7.963305506564211e-06,2.646468419698067e-05
1831,8.020116183615755e-06,2.3955888536875136e-05
1832,8.709241228643805e-06,2.3141659767134115e-05
1833,7.476073733414523e-06,2.17644792428473e-05
1834,7.4246859185223e-06,2.172051972593181e-05
1835,7.616785751451971e-06,2.2510774215334095e-05
1836,7.358549282798776e-06,2.2162344976095483e-05
1837,7.2487309807911515e-06,2.086045242322143e-05
1838,7.16051636118209e-06,2.1664602172677405e-05
1839,7.069779712765012e-06,2.2102849470684305e-05
1840,7.965933036757633e-06,2.3216241970658302e-05
1841,8.280581823782995e-06,2.2028259991202503e-05
1842,8.053943020058796e-06,2.235797728644684e-05
1843,7.586836545669939e-06,2.246280200779438e-05
1844,7.66806897445349e-06,2.262384987261612e-05
1845,7.73810188547941e-06,2.373605821048841e-05
1846,7.709207238804083e-06,2.2725418602931313e-05
1847,8.27913754619658e-06,2.379544275754597e-05
1848,7.916498361737467e-06,2.1926447516307235e-05
1849,8.578845154261217e-06,2.3842787413741462e-05
1850,7.881345482019242e-06,2.233579652966e-05
1851,8.248187441495247e-06,2.3563025024486706e-05
1852,7.470850960089592e-06,2.138649142580107e-05
1853,7.129292043828173e-06,2.1273812308209017e-05
1854,7.1861236392578576e-06,2.1378080418799073e-05
1855,7.843122148187831e-06,2.2396336134988815e-05
1856,7.891071618360002e-06,2.2069321857998148e-05
1857,8.0046984294313e-06,2.3536684238933958e-05
1858,7.648815881111659e-06,2.2393462131731212e-05
1859,7.919857125671115e-06,2.4050334104686044e-05
1860,7.5230595939501654e-06,2.3013622922007926e-05
1861,7.613923571625492e-06,2.2937976609682664e-05
1862,7.51566994949826e-06,2.344789754715748e-05
1863,7.112339972081827e-06,2.2255031581153162e-05
1864,7.369496870524017e-06,2.1887453840463422e-05
1865,7.443403774232138e-06,2.203932854172308e-05
1866,7.872561582189519e-06,2.299829247931484e-05
1867,7.799438208166976e-06,2.285916889377404e-05
1868,7.29224211681867e-06,2.1588237359537743e-05
1869,7.920579264464322e-06,2.2254196665016934e-05
1870,7.660115443286486e-06,2.2304875528789125e-05
1871,7.939330316730775e-06,2.4282135200337507e-05
1872,7.604528946103528e-06,2.3990400222828612e-05
1873,7.910504791652784e-06,2.2458889361587353e-05
1874,7.687529432587326e-06,2.387513632129412e-05
1875,7.534679298260016e-06,2.2260173864196986e-05
1876,7.784849003655836e-06,2.2700971385347657e-05
1877,7.122433999029454e-06,2.0870662410743535e-05
1878,7.70164933783235e-06,2.243400740553625e-05
1879,7.68553127272753e-06,2.2946014723856933e-05
1880,6.998019671300426e-06,2.2203181288205087e-05
1881,7.058966730255634e-06,2.0663723262259737e-05
1882,7.249710961332312e-06,2.117077929142397e-05
1883,7.363293661910575e-06,2.1127445506863296e-05
1884,7.100785296643153e-06,2.157302515115589e-05
1885,6.989002940827049e-06,2.0869678337476216e-05
1886,6.471533652074868e-06,2.020579449890647e-05
1887,7.072784228512319e-06,2.0903657059534453e-05
1888,6.970237791392719e-06,2.1054011085652746e-05
1889,6.842782568128314e-06,2.0522707927739248e-05
1890,7.13641611582716e-06,2.1240144633338787e-05
1891,6.896268587297527e-06,2.0575344024109654e-05
1892,6.5618787630228326e-06,1.981476816581562e-05
1893,7.1259037213167176e-06,2.062699968519155e-05
1894,6.785497589589795e-06,2.0513400158961304e-05
1895,7.204883331723977e-06,2.1621270207106136e-05
1896,7.017464668024331e-06,2.1136131181265227e-05
1897,6.821333499829052e-06,2.0702895199065097e-05
1898,6.90036358719226e-06,2.114640301442705e-05
1899,6.875754934299039e-06,2.0705203496618196e-05
1900,6.406278771464713e-06,2.024095374508761e-05
1901,6.6835727920988575e-06,2.086723361571785e-05
1902,6.115267296991078e-06,1.8950258890981786e-05
1903,6.732454494340345e-06,2.0457653590710834e-05
1904,6.660773124167463e-06,2.0102710550418124e-05
1905,6.530940481752623e-06,2.059658982034307e-05
1906,6.702357950416626e-06,2.0287119696149603e-05
1907,6.709353328915313e-06,2.0829029381275177e-05
1908,6.6087650338886306e-06,2.136650618922431e-05
1909,6.6715929278871045e-06,2.1429632397484966e-05
1910,6.6262123255000915e-06,2.0948002202203497e-05
1911,6.437652700697072e-06,2.066912202280946e-05
1912,6.627425591432257e-06,2.0839768694713712e-05
1913,6.22995230514789e-06,2.046741974481847e-05
1914,6.353200660669245e-06,2.0222827515681274e-05
1915,6.8540471147571225e-06,2.206536737503484e-05
1916,6.512268555525225e-06,2.2756132239010185e-05
1917,6.480060164903989e-06,2.2711465135216713e-05
1918,6.057915015844628e-06,2.1720738004660234e-05
1919,6.525602202600567e-06,2.236126056232024e-05
1920,6.436397143261274e-06,2.207759825978428e-05
1921,6.468641004175879e-06,2.0441117158043198e-05
1922,6.283787570282584e-06,2.0945959477103315e-05
1923,6.426895197364502e-06,2.1072657546028495e-05
1924,6.448390649893554e-06,2.11242149816826e-05
1925,6.241466053324984e-06,1.9747229089261964e-05
1926,6.00553948970628e-06,1.9753186279558577e-05
1927,6.652742285950808e-06,2.0762086933245882e-05
1928,6.122073045844445e-06,2.0566874809446745e-05
1929,6.469233994721435e-06,2.101303471135907e-05
1930,6.096291599533288e-06,2.0528243112494238e-05
1931,5.823575065733166e-06,1.9889801478711888e-05
1932,5.829377641930478e-06,1.991457429539878e-05
1933,6.300834684225265e-06,1.990274540730752e-05
1934,6.077057605580194e-06,2.0404631868586875e-05
1935,5.518576017493615e-06,1.9695007722475566e-05
1936,5.694978426618036e-06,2.0192499505355954e-05
1937,5.954339940217324e-06,2.0650692022172734e-05
1938,5.8745386013470124e-06,2.0793611838598736e-05
1939,5.940209121035878e-06,2.0345674784039147e-05
1940,5.6218309509858955e-06,1.9520457499311306e-05
1941,5.283189693727763e-06,2.087892971758265e-05
