year,était_VERB heureux_ADJ,était_VERB peureux_ADJ,etait_VERB heureux_ADJ
1800,4.338947121595993e-07,0.0,0.0
1801,2.0001934331048687e-07,0.0,0.0
1802,1.7902721083373763e-07,0.0,0.0
1803,2.02835281015723e-07,0.0,1.950339223455444e-09
1804,2.4224138428508013e-07,9.887403784603066e-09,2.4718509461507665e-09
1805,1.051864728651708e-07,2.842877711017877e-09,2.842877711017877e-09
1806,1.556101381083863e-07,0.0,2.881669125542885e-09
1807,2.2775640218242188e-07,0.0,0.0
1808,2.6513066586630885e-07,0.0,2.2660739951163578e-09
1809,2.1008983708270534e-07,0.0,0.0
1810,2.457133234656794e-07,0.0,0.0
1811,3.209058263564657e-07,2.5070767684098882e-09,0.0
1812,2.90725694185312e-07,0.0,0.0
1813,4.917518481306615e-07,0.0,0.0
1814,4.6570821155000885e-07,0.0,0.0
1815,2.7241958377999254e-07,0.0,0.0
1816,1.8077309960062848e-07,2.3176038865813098e-09,0.0
1817,2.16405396713526e-07,0.0,0.0
1818,3.0160578035065555e-07,9.536941902865692e-09,2.384235475716423e-09
1819,2.8051346134816413e-07,1.035105001712111e-09,0.0
1820,3.0022198416190804e-07,4.746592452420373e-09,2.3732962262101864e-09
1821,4.1418249452362943e-07,4.930744257336528e-09,0.0
1822,2.9274798407641356e-07,0.0,0.0
1823,3.8740131458325777e-07,6.917880934764753e-09,0.0
1824,2.3494904155541008e-07,8.421112696055388e-10,0.0
1825,3.7247025375108933e-07,0.0,0.0
1826,2.9859066330573114e-07,9.688783109140786e-09,0.0
1827,2.802051142225537e-07,0.0,9.217273055917019e-10
1828,3.2561669627284573e-07,0.0,0.0
1829,3.1635019581699453e-07,3.429270423183084e-09,0.0
1830,4.2269184064025467e-07,2.0873671680021744e-09,0.0
1831,3.8822102510494005e-07,1.870944643656003e-08,1.5591206103948707e-09
1832,4.911378823635459e-07,0.0,0.0
1833,5.664394393534167e-07,8.108539617524002e-09,0.0
1834,4.900628596260503e-07,5.600718555598405e-09,1.8669061851994684e-09
1835,4.235329242874286e-07,4.5378527602224494e-09,0.0
1836,4.603713819051336e-07,6.720750067579218e-10,0.0
1837,5.190586875869485e-07,2.7831563720326358e-09,0.0
1838,4.1975877707045584e-07,6.312161904276081e-10,0.0
1839,4.775177444571455e-07,2.0974426639952526e-09,0.0
1840,3.9109889371502504e-07,6.369688665408546e-10,6.369688665408546e-10
1841,5.207064646128856e-07,0.0,1.2841097074556274e-09
1842,4.863492222284549e-07,1.341653010911159e-09,4.024959032733477e-09
1843,5.46979947557702e-07,3.5441467538532834e-09,5.906911071384968e-10
1844,5.587355644820491e-07,2.195424464446205e-08,0.0
1845,5.669511438100017e-07,4.464182357111213e-09,0.0
1846,5.052434630670177e-07,7.610851504580296e-09,1.1709002656346001e-09
1847,5.625132075692818e-07,4.314578916364553e-09,2.1572894581822766e-09
1848,4.955856525157287e-07,1.528592186161859e-08,0.0
1849,6.795705758122494e-07,5.865590679832167e-09,0.0
1850,4.806609013030538e-07,0.0,0.0
1851,5.030562419960916e-07,1.9348316282474798e-09,0.0
1852,5.820427873004519e-07,3.906327261660181e-09,0.0
1853,5.876381123925967e-07,9.555090940693844e-09,0.0
1854,5.990601152916497e-07,3.63696517347023e-09,0.0
1855,6.633671318923007e-07,2.1227748447927297e-09,5.306937111981824e-10
1856,5.5033518719938e-07,9.318940286107136e-09,0.0
