year,excellent_ADJ or_NOUN,excellent_ADJ port_NOUN
1800,0.0,1.2576657582030748e-07
1801,0.0,1.6430159632818686e-07
1802,0.0,9.175144555229053e-08
1803,0.0,2.925508795215137e-07
1804,0.0,2.719036025222721e-07
1805,0.0,8.812921237222326e-08
1806,1.152667650217154e-08,1.988351669979238e-07
1807,0.0,1.395007984683616e-07
1808,0.0,1.9035022091884457e-07
1809,0.0,7.454800510231507e-08
1810,0.0,8.424456154898508e-08
1811,0.0,1.353821517113829e-07
1812,0.0,5.3344166417446104e-08
1813,0.0,1.322841143291953e-07
1814,0.0,2.8320094713762956e-08
1815,0.0,1.1058616422587875e-07
1816,0.0,9.965696534663948e-08
1817,0.0,1.55687345682054e-07
1818,0.0,1.227881227805483e-07
1819,0.0,5.072014630513877e-08
1820,0.0,1.5426425648001896e-07
1821,0.0,1.3313008651039127e-07
1822,0.0,4.8122956286533736e-08
1823,0.0,6.52257359234909e-08
1824,0.0,8.757957203897604e-08
1825,0.0,7.308517524506897e-08
1826,0.0,1.0657660964863425e-07
1827,0.0,7.558163872545265e-08
1828,0.0,1.6326696083979186e-07
1829,0.0,7.887322084343396e-08
1830,0.0,8.245100246995207e-08
1831,0.0,1.1381580122815649e-07
1832,2.705993873419743e-09,5.0060886991332154e-08
1833,0.0,1.9692168962137657e-07
1834,0.0,1.3068343207578437e-07
1835,0.0,1.104210838320796e-07
1836,0.0,7.258410050781094e-08
1837,6.957890930081589e-10,1.1758835682940116e-07
1838,0.0,8.521418237705802e-08
1839,0.0,1.1815593170538818e-07
1840,0.0,9.299745329371945e-08
1841,0.0,6.869986890478685e-08
1842,0.0,1.0599058697380315e-07
1843,0.0,6.261326035428283e-08
1844,0.0,1.004406726679008e-07
1845,5.580227946389016e-10,7.19849424513086e-08
1846,0.0,8.664662076718344e-08
1847,0.0,7.065123242000482e-08
1848,0.0,8.045221555619264e-08
1849,0.0,1.1563592750007956e-07
1850,0.0,6.517436190733861e-08
1851,0.0,7.416854685970975e-08
1852,0.0,5.859491025717034e-08
1853,0.0,9.137055911878633e-08
1854,0.0,7.741540369865518e-08
1855,0.0,8.172683507723377e-08
1856,2.0708756931497874e-09,1.2062851340033376e-07
1857,0.0,9.616573160009523e-08
1858,0.0,1.0423530033554229e-07
1859,0.0,7.841946825237756e-08
1860,0.0,8.055843925269812e-08
1861,4.715963730639317e-10,5.989274143303192e-08
1862,0.0,7.273958146924997e-08
1863,0.0,5.394190338847693e-08
1864,0.0,6.472882740915509e-08
1865,0.0,7.719224726088214e-08
1866,0.0,4.184427027098536e-08
1867,0.0,9.851207494193659e-08
1868,4.93987406535723e-10,6.224241388963492e-08
1869,0.0,6.39741019048401e-08
1870,0.0,5.9060702994884196e-08
1871,0.0,4.2484709750212346e-08
1872,0.0,4.172663992108028e-08
1873,0.0,8.739566226267925e-08
1874,0.0,3.4652732239237594e-08
1875,5.721527140956084e-10,5.664311686359724e-08
1876,0.0,8.766721748543205e-08
1877,0.0,5.6281824978299255e-08
1878,0.0,6.944952157805773e-08
1879,0.0,9.958200541948514e-08
1880,0.0,7.508879917850209e-08
1881,0.0,6.763332294212887e-08
1882,6.655385131892899e-10,6.122954232523625e-08
1883,0.0,5.8769852984141835e-08
1884,0.0,1.1354918871830932e-07
1885,0.0,6.703461252755005e-08
1886,6.453463874400711e-10,1.1616234929512359e-07
1887,0.0,7.181817018864223e-08
1888,0.0,7.545331470737437e-08
1889,6.265136742733546e-10,8.332632006613494e-08
1890,1.3108772956016423e-09,7.078737240817645e-08
1891,1.9122659011827636e-09,5.736798058819659e-08
1892,0.0,6.143141795256213e-08
1893,6.158416554491453e-10,6.651089989873071e-08
1894,0.0,5.1672621736997826e-08
1895,0.0,5.11582243234443e-08
1896,0.0,5.248355705589347e-08
1897,0.0,5.0692406716734695e-08
1898,0.0,4.8661853435660873e-08
1899,0.0,5.7486815308038786e-08
1900,0.0,6.384995288044593e-08
1901,0.0,4.973977496547377e-08
1902,4.910283846193408e-10,6.236060556830125e-08
1903,0.0,4.5361851164216205e-08
1904,1.6123875568041512e-09,4.3534464921890503e-08
1905,0.0,5.36718929300406e-08
1906,0.0,3.961022088105892e-08
1907,0.0,4.885701088142014e-08
1908,0.0,5.991894624912675e-08
1909,0.0,2.640472018811124e-08
1910,5.344150677544235e-10,5.076943310200477e-08
1911,0.0,5.3203741856577835e-08
1912,0.0,6.772247473918469e-08
1913,0.0,4.1363318104004065e-08
1914,0.0,5.6252647873122896e-08
1915,0.0,3.180805663305364e-08
1916,0.0,3.735737053034427e-08
1917,0.0,4.167241418606693e-08
1918,0.0,7.121553124989077e-08
1919,0.0,5.248473655683483e-08
1920,0.0,6.96645301445642e-08
1921,0.0,4.770830841493989e-08
1922,0.0,4.279202414636529e-08
1923,0.0,1.9108707505210987e-08
1924,0.0,2.3204924204378585e-08
1925,0.0,3.739380360912037e-08
1926,0.0,2.7865345586519652e-08
1927,0.0,3.1217830098739796e-08
1928,1.1426041224282812e-09,4.4561559331413036e-08
