year,sont_VERB heureux_ADJ,sont_VERB peureux_ADJ
1800,7.011486786723253e-07,4.087413785214267e-08
1801,1.076294552149193e-06,4.7623651688866175e-09
1802,7.161088433349505e-07,4.475680270843441e-09
1803,5.773003977083135e-07,0.0
1804,6.945901418475842e-07,2.4718509461507665e-09
1805,7.647341249139572e-07,0.0
1806,7.665240104870463e-07,2.881669125542885e-09
1807,6.51952746011375e-07,0.0
1808,5.61986325919861e-07,1.3596443970698147e-08
1809,6.438236823669286e-07,2.259030518203531e-09
1810,6.856571417301893e-07,7.020380277111826e-09
1811,4.512738200901367e-07,0.0
1812,5.681153538716899e-07,0.0
1813,6.930537210791954e-07,5.751483289628823e-09
1814,6.670955485787999e-07,3.776012391654149e-08
1815,6.33847548670019e-07,2.697223555614414e-09
1816,6.906459475430893e-07,2.3176038865813098e-09
1817,6.445455937864608e-07,0.0
1818,9.441572501600604e-07,1.1921177378582115e-09
1819,6.407299792954291e-07,1.3456364911235141e-08
1820,8.413335308432579e-07,2.4919611263385377e-08
1821,9.476890454607201e-07,2.1695274909916407e-08
1822,7.398904244837468e-07,0.0
1823,5.494773631653516e-07,4.941343334508019e-09
1824,5.802146461064694e-07,1.1789557774477544e-08
1825,7.29090686490963e-07,4.4027217427355936e-09
1826,6.297708523561596e-07,5.284790383086602e-09
1827,5.613319444819354e-07,8.295545583791863e-09
1828,5.448346769298951e-07,1.9261833017480967e-08
1829,6.095528419791663e-07,1.2859763920403111e-08
1830,6.73175918564084e-07,3.1310507520032616e-09
1831,8.403659990108281e-07,1.5591206103948707e-09
1832,6.169665880406683e-07,4.058990921151917e-09
1833,7.587276513731922e-07,4.6334514003376626e-09
1834,6.188794259287533e-07,2.8003592777992026e-09
1835,6.216858423613303e-07,8.31939672707449e-09
1836,6.283901257120306e-07,8.064899859050456e-09
1837,5.983786195429275e-07,9.74104708006962e-09
1838,5.927120128035313e-07,1.4517972601879592e-08
1839,4.977930530003505e-07,1.3982949909063791e-08
1840,5.19766615525441e-07,5.732719632334238e-09
1841,6.337081686069723e-07,8.988767952189392e-09
1842,6.574099984391069e-07,8.049918065466954e-09
1843,6.379464139172342e-07,7.088293507706567e-09
1844,6.289891416599858e-07,7.683985892015244e-09
1845,6.768816547264578e-07,1.0602432709561072e-08
1846,4.771418389282189e-07,2.9272506640865004e-09
1847,5.05345042256522e-07,1.0786447290911383e-09
1848,5.108715868118452e-07,1.206783295515379e-08
1849,5.404722855928412e-07,1.6758828991214614e-08
1850,4.915233375868411e-07,8.82569484161877e-09
1851,4.811281542060897e-07,6.449438760824933e-10
1852,5.826938149766647e-07,0.0
1853,6.216781116563652e-07,1.0152284346531815e-08
1854,6.827103220530262e-07,4.1565315633818045e-09
1855,5.80048208576045e-07,2.1227748447927297e-09
1856,6.595739137083001e-07,3.6240324075009767e-09
1857,5.765062383034092e-07,4.881508974818871e-09
1858,6.131776331130823e-07,1.9574704079872163e-09
1859,7.011922775745916e-07,6.619825576592575e-09
1860,7.163292821132927e-07,1.5104706818647173e-08
1861,8.39913127492764e-07,1.4147891747029462e-09
1862,7.151972454266797e-07,0.0
1863,7.20224306860473e-07,6.99246927027275e-09
1864,5.950257104814227e-07,3.3563094525845827e-09
1865,6.509565650958393e-07,9.41368871743009e-10
1866,7.600087315040582e-07,5.352174259343201e-09
1867,6.910403271831456e-07,4.367530337390235e-09
1868,6.298339485510951e-07,4.44588676984381e-09
1869,7.198307230282808e-07,1.12320943657096e-08
1870,7.173294989115675e-07,1.1468097582678638e-09
1871,7.392339398393233e-07,5.3105884134652115e-09
1872,7.141907758523303e-07,6.047339295989218e-10
1873,6.393052558451018e-07,0.0
1874,5.377148113439034e-07,6.572069999322139e-09
1875,6.430996677408984e-07,2.2886108563824337e-09
1876,6.227395488167531e-07,1.209202959984168e-09
1877,6.104413614593796e-07,4.329371083855449e-09
1878,5.966619482933311e-07,2.4156354694326865e-09
1879,6.433119779103436e-07,1.221865053580018e-09
1880,6.488442636509717e-07,0.0
1881,6.142778943285521e-07,6.2752567586699115e-09
1882,5.690354214493709e-07,2.6621540527571597e-09
1883,5.959136615274474e-07,1.8958017378167824e-09
1884,6.205594900166034e-07,4.621187876807653e-09
1885,5.685050723513996e-07,9.66845359329227e-09
1886,6.621253874072863e-07,3.872078213618124e-09
1887,5.719338105336647e-07,1.3057849246322917e-09
1888,4.888614171250083e-07,5.706553452000662e-09
1889,5.926819426349539e-07,6.265136853755848e-09
1890,6.174232112243772e-07,7.865263995654459e-09
1891,5.016511295252712e-07,8.92390783491237e-09
1892,6.381345656336634e-07,4.387958441043338e-09
1893,6.429386871786846e-07,1.847525021858587e-09
1894,6.824566867180692e-07,5.671385139294216e-09
1895,6.680662067992671e-07,6.018614495673091e-09
1896,6.303923782979837e-07,9.435246361988447e-09
1897,6.193796480147284e-07,2.330685422435863e-09
1898,5.777180263066839e-07,2.26334195829736e-09
1899,6.765756097593112e-07,6.080336234504102e-09
1900,6.909291982992727e-07,6.22926377147337e-09
1901,6.499703317786043e-07,2.794369402536745e-09
1902,5.362030037758814e-07,4.910283735171106e-09
1903,5.654030701407464e-07,4.860198465905796e-09
1904,5.315504267855431e-07,4.837162670412454e-09
1905,6.00712326104258e-07,5.676835002077496e-09
1906,6.101003009462147e-07,5.144184522798412e-10
1907,5.770270377070119e-07,4.6285588695127444e-09
1908,6.70404631364363e-07,6.384805573134145e-09
1909,6.52416645152698e-07,9.351672325408344e-09
1910,6.669500294265163e-07,2.67207544979442e-09
1911,6.480215688497992e-07,2.128149656499545e-09
1912,6.610755463043461e-07,6.772247651554153e-09
1913,6.559798180205689e-07,7.42418571064718e-09
1914,6.676653470094607e-07,1.0045115850232378e-08
1915,7.398318757623201e-07,4.712304768617059e-09
1916,7.93294759660057e-07,9.888715624128963e-09
1917,8.257717354354099e-07,9.869782324756216e-09
1918,7.270876380971458e-07,1.1486376294556067e-08
1919,6.730937229804113e-07,1.8415696745321952e-09
1920,6.436396802200761e-07,3.028892692213958e-09
1921,6.63372702547349e-07,7.572747429129834e-10
1922,6.25648908680887e-07,2.951174193910333e-09
1923,8.121200494315417e-07,1.0615948120573648e-09
1924,6.703644430672284e-07,1.289162443462999e-09
1925,7.181810133261024e-07,7.698724324711748e-09
1926,5.807137881674862e-07,4.458455382660986e-09
1927,6.901370284140285e-07,3.3447675740205796e-09
1928,5.724446623389667e-07,9.14083297942625e-09
1929,6.350031753754593e-07,3.342121912552898e-09
1930,5.818996555717604e-07,8.402882833991043e-09
1931,5.577219326369232e-07,6.843213995466613e-09
1932,4.4166932866573916e-07,5.4797681947604815e-09
1933,4.989738044969272e-07,1.1470662197865522e-09
1934,6.769593028366216e-07,4.7926320689839486e-09
1935,6.474841711678891e-07,1.196828414151696e-08
1936,5.492495915859763e-07,1.091224355320719e-08
1937,5.477136255649384e-07,2.5182236296217297e-09
1938,5.484285452439508e-07,1.2965214457594243e-09
1939,5.689386739504698e-07,7.647025235257843e-09
1940,4.995492304260551e-07,5.0715658339584024e-09
1941,4.869979193244944e-07,0.0
1942,7.524845386797097e-07,0.0
1943,6.067761546546535e-07,0.0
