year,veut_VERB oser_VERB,veut_VERB poser_VERB
1800,0.0,3.458580977167003e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,4.6808139586573816e-08
1804,0.0,1.2359254952798437e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,8.645007376628655e-09,0.0
1807,8.540865792383556e-09,1.1387820464392462e-08
1808,0.0,2.4926814390369145e-08
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,0.0,2.5070768572277302e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,3.163315653864629e-08
1814,0.0,6.922689976818219e-08
1815,2.697223555614414e-09,5.394447111228828e-09
1816,2.3176038865813098e-09,5.3304887615013286e-08
1817,0.0,5.293369653713853e-08
1818,0.0,6.199012148044858e-08
1819,0.0,2.4842520929269085e-08
1820,0.0,4.034603762193001e-08
1821,3.94459531705138e-09,2.1695274909916407e-08
1822,2.0051231786055723e-09,2.4061478143266868e-08
1823,0.0,1.087095569118901e-08
1824,0.0,1.6000115010683658e-08
1825,3.522177216552791e-09,2.4655239627691117e-08
1826,8.807984341885344e-10,1.8496766784892316e-08
1827,0.0,4.055600300034712e-08
1828,0.0,1.1006761724274838e-08
1829,0.0,1.628903412154159e-08
1830,0.0,2.5048406016026092e-08
1831,0.0,6.548306430431694e-08
1832,0.0,3.111892965534935e-08
1833,0.0,3.01174338801502e-08
1834,9.334530925997342e-10,5.2273371409228275e-08
1835,5.294161553592858e-09,2.4958190181223472e-08
1836,0.0,3.024337402735e-08
1837,0.0,1.6698937344017395e-08
1838,0.0,7.574594285131298e-09
1839,0.0,2.3771015378315496e-08
1840,1.2739377330817092e-09,5.286841542329057e-08
1841,0.0,1.9903700021473014e-08
1842,9.391571076378114e-09,2.884553929050071e-08
1843,1.1813822142769936e-09,3.6622846977252266e-08
1844,5.488561272137815e-10,2.360081374774836e-08
1845,0.0,2.17628883802945e-08
1846,0.0,2.5759806732139623e-08
1847,5.393223645455691e-10,3.55952778363644e-08
1848,8.045221711050488e-10,2.976732105253177e-08
1849,0.0,3.267971848686102e-08
1850,1.3577992064028876e-09,1.8330290174617403e-08
1851,5.8044946626978344e-09,2.8377531435808123e-08
1852,0.0,1.4323200403509873e-08
1853,5.971931837933653e-10,2.030456869306363e-08
1854,5.195664454227256e-10,3.4810952342922974e-08
1855,1.5920811335945473e-09,2.812676669350367e-08
1856,1.0354378465748937e-09,3.727576114442854e-08
1857,4.881509085841174e-10,2.636014961865385e-08
1858,4.893676019968041e-10,3.131952652779546e-08
1859,5.601390462572908e-09,2.7497735644033128e-08
1860,2.288591982591015e-09,2.7920821210614122e-08
1861,4.715963730639317e-10,1.7920662287451705e-08
1862,4.517986262886353e-10,2.84633134839396e-08
1863,4.994620828036034e-10,1.548332484446746e-08
1864,0.0,3.452204211384924e-08
1865,4.706844358715045e-10,3.530133341200781e-08
1866,0.0,2.8707116683790446e-08
1867,3.88224918879132e-09,2.426405742994575e-08
1868,0.0,2.5687345583946808e-08
1869,4.883519144627257e-10,2.0999133099053324e-08
1870,1.1468097582678638e-09,2.064257564882155e-08
1871,0.0,5.8416475212652585e-08
1872,0.0,3.3260366905096816e-08
1873,0.0,4.309923085088485e-08
1874,5.974609140757536e-10,2.9275584623178474e-08
1875,0.0,2.6319025181464895e-08
1876,0.0,4.776351758550845e-08
1877,0.0,4.143826615177204e-08
1878,0.0,2.717589886458427e-08
1879,1.221865053580018e-09,2.8102896010295808e-08
1880,5.134277003548959e-09,2.759673911612026e-08
1881,0.0,2.2312024228199334e-08
1882,0.0,4.3925542314582344e-08
1883,0.0,3.917990198942789e-08
1884,6.601696966868076e-10,3.762967182296961e-08
1885,1.2891271383708158e-09,3.480643329112354e-08
1886,0.0,2.5813855941692054e-08
1887,0.0,2.6115698048556624e-08
1888,6.340614699951175e-10,3.61415040117663e-08
1889,6.265136742733546e-10,2.7566601445982997e-08
1890,5.898947996740844e-09,3.4082809463598096e-08
1891,0.0,2.358461337337303e-08
1892,0.0,2.7581453565517222e-08
1893,0.0,4.557228194812524e-08
1894,6.301539290376468e-10,2.6466464575491955e-08
1895,1.2037228991346183e-09,2.5278181325916194e-08
1896,5.89702897624278e-10,2.5357223876198987e-08
1897,0.0,3.4960280004270317e-08
1898,5.6583548957434e-10,4.187182511827814e-08
1899,5.527578395003729e-10,2.984892333302014e-08
