year,eût_VERB uni_VERB,eût_VERB puni_VERB
1800,3.144164484325529e-09,5.65949598296811e-08
1801,0.0,5.000483582762172e-08
1802,6.713520406265161e-09,3.1329761895904085e-08
1803,3.900678446910888e-09,9.751696339321825e-09
1804,0.0,2.2246657849223084e-08
1805,0.0,1.421438877713399e-08
1806,3.7461699520235925e-08,7.780506905419315e-08
1807,5.124519120158766e-08,1.7081731584767113e-08
1808,9.064295980465431e-09,6.118399653587403e-08
1809,9.036122072814123e-09,3.6144488291256494e-08
1810,0.0,5.3822915901946544e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,1.8670457180292033e-08
1813,0.0,6.039057609541487e-08
1814,5.034683425719777e-08,8.810695817373926e-08
1815,5.394447111228828e-09,3.236668177919455e-08
1816,0.0,2.0858434979231788e-08
1817,6.227493631882908e-09,4.981994905506326e-08
1818,5.960588467246453e-09,4.6492591110336434e-08
1819,1.0351049795076506e-08,5.175525075173937e-08
1820,0.0,4.034603762193001e-08
1821,9.86148829262845e-10,7.790576006527772e-08
1822,3.0076847679083585e-09,1.7043547018147365e-08
1823,0.0,4.15072847204101e-08
1824,0.0,5.4737231636181605e-08
1825,1.7610886082763955e-09,2.1133063299316746e-08
1826,8.807984341885344e-10,4.315912249808207e-08
1827,0.0,4.147772969531616e-08
1828,2.7516904310687096e-09,4.677873732816806e-08
1829,4.286587973467704e-09,4.115124596637543e-08
1830,0.0,5.114049628218709e-08
1831,2.182768810143898e-08,4.365537620287796e-08
1832,2.705993873419743e-09,3.92369123858316e-08
1833,1.1583628500844156e-09,1.1583628278799551e-08
1834,8.401078055442213e-09,4.573920264761e-08
1835,2.2689263801112247e-09,3.327758690829796e-08
1836,0.0,1.2769425516978572e-08
1837,1.3219993100221927e-08,1.948209416013924e-08
1838,5.680945491803868e-09,3.7241754569095065e-08
1839,9.088918062616358e-09,4.894032556990169e-08
1840,1.2739377330817092e-09,2.993753511759678e-08
1841,2.5682194149112547e-09,1.3483152372373297e-08
1842,1.7441490030023488e-08,2.0124794275488966e-08
1843,8.269675610961258e-09,1.3585895075607368e-08
1844,2.7442805805577564e-09,3.787107161201675e-08
1845,7.254296274794569e-09,1.8414752389617206e-08
1846,2.9272506640865004e-09,3.9810608143397985e-08
1847,5.3932236454556914e-09,2.0494249852731627e-08
1848,7.24069959545659e-09,3.378993085334514e-08
1849,8.379414939696517e-10,4.1897072478036534e-09
1850,2.0366988096043315e-09,1.9009188889640427e-08
1851,2.579775504329973e-09,2.644269869733762e-08
1852,5.208436348880241e-09,2.2135854038651814e-08
1853,1.0749477752369785e-08,2.030456869306363e-08
1854,4.676098175337984e-09,2.909572138776184e-08
1855,5.306937111981824e-10,3.502578493908004e-08
1856,3.6240324075009767e-09,1.1907535402144731e-08
1857,2.4407544874094356e-09,3.270611159678083e-08
1858,1.3212924976357954e-08,2.495774786837046e-08
1859,3.666364989385329e-08,1.884104072757964e-08
1860,1.0069804545764782e-08,1.7393299245327398e-08
1861,1.8863854922557266e-09,2.7352589526685733e-08
1862,5.873382225018986e-09,2.3945327498609004e-08
1863,1.9978483312144135e-09,2.597202808374277e-08
1864,1.4384183844029508e-09,1.342523781033833e-08
1865,3.294791106611683e-09,2.5416959203994338e-08
1866,6.811858188626729e-09,2.3841502994059738e-08
1867,1.455843445796745e-09,2.0867089389753346e-08
1868,8.397785578040384e-09,1.333765986544222e-08
