year,seraient_VERB assez_ADV,seraient_VERB passés_ADJ
1800,1.1633408547595536e-07,0.0
1801,1.6668278135512082e-07,0.0
1802,1.7231369042747247e-07,0.0
1803,7.996391104825307e-08,0.0
1804,2.546006498960196e-07,0.0
1805,1.7910129201936797e-07,0.0
1806,1.0950342499427279e-07,2.881669125542885e-09
1807,1.7366426163789583e-07,2.8469551160981155e-09
1808,1.8808414381510374e-07,4.5321479902327155e-09
1809,1.0617443280125372e-07,6.7770917766551975e-09
1810,1.0062544930633521e-07,4.680253518074551e-09
1811,8.524060746140094e-08,2.0056614147279106e-08
1812,1.9203899626063503e-07,2.6672082320544632e-09
1813,1.8117172828624462e-07,8.627225156487839e-09
1814,1.8250727862323401e-07,0.0
1815,1.3755840200246894e-07,5.394447111228828e-09
1816,1.0660977523002657e-07,0.0
1817,1.4323235575375293e-07,0.0
1818,1.3351719019283337e-07,3.5763532135746345e-09
1819,2.5153050842163793e-07,0.0
1820,2.0647676990392938e-07,0.0
1821,2.475233600307547e-07,0.0
1822,2.1555074170009902e-07,4.010246357211145e-09
1823,1.1859224002819246e-07,3.9530747564242574e-09
1824,1.8526448286593222e-07,3.3684450784221553e-09
1825,2.2894151641139615e-07,3.522177216552791e-09
1826,1.7968288545944233e-07,8.807984341885344e-10
1827,2.5439672413085646e-07,1.1060727445055818e-08
1828,2.577416751137207e-07,1.2841221419535032e-08
1829,2.4519283670088043e-07,5.143905745796928e-09
1830,2.557024743055081e-07,1.2524203008013046e-08
1831,2.2763160245631298e-07,1.5591206103948707e-09
1832,2.516574397759541e-07,2.705993873419743e-09
1833,2.339892972713642e-07,1.1583628500844156e-09
1834,2.6510068096285977e-07,9.334530925997342e-10
1835,2.7075856223746086e-07,1.5126175867408165e-09
1836,1.996062763964801e-07,6.720750067579218e-10
1837,2.3865567300163093e-07,6.957890930081589e-10
1838,2.417557993794617e-07,1.2624323808552163e-09
1839,2.272229409072679e-07,6.9914751765765e-10
1840,3.337716805162927e-07,8.917564464638872e-09
1841,1.5666138608594338e-07,1.219904177673925e-08
1842,3.052260524327721e-07,6.708265054555795e-09
1843,2.2209985672816401e-07,6.497602011990011e-09
1844,2.31068426614911e-07,9.330554107123135e-09
1845,2.399497986971255e-07,6.138250796539069e-09
1846,2.3769275969698356e-07,8.781752214304106e-09
1847,2.761330506473314e-07,6.47186837454683e-09
1848,3.19395297765368e-07,3.137636639394259e-08
1849,2.4048921432040515e-07,2.1786478399121734e-08
1850,1.9823868058210792e-07,1.3577992064028876e-08
1851,1.9735283274258109e-07,3.2247193804124663e-09
1852,2.701876269384229e-07,3.2552727180501506e-09
1853,2.1498954083654098e-07,1.3138249599364826e-08
1854,2.176983429080792e-07,3.63696517347023e-09
1855,1.7088336790038738e-07,4.2455496895854594e-09
1856,2.5368225919919496e-07,3.6240324075009767e-09
1857,2.1917975345786544e-07,5.857811125054013e-09
1858,1.7861917456230003e-07,9.787352039936081e-10
1859,1.721154632150501e-07,9.165912473463322e-09
1860,1.9132629347495822e-07,1.373155145145688e-09
1861,2.2730945659077406e-07,8.488735048217677e-09
1862,2.4261586872853513e-07,2.2589932147099034e-09
1863,1.9778698856498522e-07,1.39849385405455e-08
1864,2.114474995096316e-07,4.794728170054441e-09
1865,2.1698552643556468e-07,1.882737743486018e-09
1866,2.398747085408104e-07,1.0704348518686402e-08
1867,1.7518649997327884e-07,6.79393608038481e-09
1868,1.7141363173323043e-07,5.9278488784286765e-09
1869,2.158515428618557e-07,8.30198221279943e-09
1870,2.104395946389559e-07,8.027668307875047e-09
1871,2.8889601821902033e-07,1.0621177271019633e-09
