year,avait_VERB assez_ADV,avait_VERB passé_VERB
1800,8.646452442917507e-07,1.848768761192332e-06
1801,7.619784128110041e-07,2.0740101263072575e-06
1802,2.5958945570891956e-07,1.6291476185870124e-06
1803,4.680814242874476e-07,1.913282858367893e-06
1804,8.799789270597103e-07,2.5954434477171162e-06
1805,6.311188371910248e-07,2.8912065772601636e-06
1806,6.685472158096673e-07,2.2419385459215846e-06
1807,8.256170076492708e-07,4.190717845631298e-06
1808,5.982435595797142e-07,2.5289384666393744e-06
1809,6.483417678282422e-07,3.474388904578518e-06
1810,6.365144713527116e-07,2.361187853239244e-06
1811,8.072786954471667e-07,3.5500206649885513e-06
1812,8.161657092387031e-07,4.195518613414606e-06
1813,9.950066441888339e-07,4.221588824293576e-06
1814,8.307227403747675e-07,3.5116916023980593e-06
1815,8.307448524647043e-07,3.622371195888263e-06
1816,9.571704140398651e-07,3.4810409488272853e-06
1817,9.746026989887469e-07,4.343676664575469e-06
1818,1.0359502766732476e-06,4.457328032003716e-06
1819,8.653477721054514e-07,4.153876488999231e-06
1820,1.155795303020568e-06,4.573341811919818e-06
1821,1.0985697826981777e-06,4.900173735222779e-06
1822,1.1750021258194465e-06,4.856408395426115e-06
1823,1.1434268571974826e-06,5.2141053856757935e-06
1824,1.1966401416430017e-06,5.098983820062131e-06
1825,1.3498744237949722e-06,4.880856977251824e-06
1826,1.0701701285142917e-06,4.763357992487727e-06
1827,1.1715153505065246e-06,5.07410868522129e-06
1828,1.304301235904859e-06,4.900760359305423e-06
1829,1.7660743196756812e-06,6.8774020292039495e-06
1830,1.297298695135396e-06,5.29251929037855e-06
1831,1.216114128510526e-06,4.995422386855353e-06
1832,1.3272899650473846e-06,5.2685700211441144e-06
1833,1.118978502745449e-06,5.335419245966477e-06
1834,1.5084601727721747e-06,5.39815937372623e-06
1835,1.545138843539462e-06,5.055924248154042e-06
1836,1.1526086609592312e-06,5.381304617912974e-06
1837,1.2677277254624642e-06,5.139794211572735e-06
1838,1.290205887016782e-06,5.810976290376857e-06
1839,1.387807856190193e-06,5.496697667695116e-06
1840,1.3777636240774882e-06,6.595812465093331e-06
1841,1.1158913366671186e-06,4.893742243439192e-06
1842,1.5636966281817877e-06,6.008593118167482e-06
1843,1.1866984550579218e-06,4.924591848975979e-06
1844,1.3842151247445145e-06,5.464960395329399e-06
1845,1.417377916368423e-06,5.590830369328614e-06
1846,1.3605861113319406e-06,5.3416470109368674e-06
1847,1.2722614428639645e-06,5.648323167406488e-06
1848,9.243959766536136e-07,4.304193680582102e-06
1849,1.3189198853069684e-06,5.241323833615752e-06
1850,1.1609183729888173e-06,5.38706854058546e-06
1851,1.3040764770266833e-06,5.170515123609221e-06
1852,1.348985051663476e-06,4.77288085676264e-06
1853,1.2762018286593957e-06,5.399820565799018e-06
1854,1.1549961982382229e-06,4.760267984238453e-06
1855,1.2301479728193954e-06,5.1992064982187e-06
1856,1.2694467841356527e-06,4.901245119981468e-06
1857,1.3155666920283693e-06,5.501460691448301e-06
1858,1.288994212700345e-06,5.112912731419783e-06
1859,1.4645090686826734e-06,5.651803348882822e-06
1860,1.5612774859619094e-06,5.962697287031915e-06
1861,1.340748440270545e-06,5.147474439581856e-06
1862,1.4041901295058778e-06,5.834979219798697e-06
1863,1.2896110774818226e-06,5.086521923658438e-06
1864,1.3794432334179874e-06,4.979324785381323e-06
1865,1.2289571031942614e-06,5.057033376942854e-06
1866,1.2339194199739723e-06,5.125436473463196e-06
1867,1.324817503700615e-06,5.331783995643491e-06
1868,1.1751960755645996e-06,4.855896349909017e-06
1869,1.3214802265792969e-06,5.033443358115619e-06
1870,1.2918811762574478e-06,5.090115337225143e-06
1871,1.1736400438167038e-06,4.8729962145444006e-06
1872,1.300782628277375e-06,4.7435328269784804e-06
1873,1.0792765579026309e-06,4.2297106119804084e-06
1874,1.2869307965956978e-06,4.835251274926122e-06
1875,1.193510570374201e-06,4.621277639671462e-06
1876,9.812681582843652e-07,4.520000857155537e-06
1877,1.112029963223904e-06,4.231032562529435e-06
1878,1.1438033880040166e-06,4.574005743052112e-06
1879,1.1772669950005366e-06,4.629646809917176e-06
1880,1.1648390909613227e-06,4.358359547040891e-06
1881,1.0005547892433242e-06,4.4421844904718455e-06
1882,1.1700167306116782e-06,4.650117716664681e-06
1883,1.0818707778526004e-06,4.277560492482735e-06
1884,1.1982079968220205e-06,4.363721473055193e-06
1885,1.098980874303379e-06,4.3791646930912975e-06
1886,1.1396816717024194e-06,4.4645062189374585e-06
1887,1.0400576684332918e-06,4.007453753729351e-06
1888,1.070295752469974e-06,4.309715677663917e-06
1889,1.0149522040592274e-06,4.3580289457167964e-06
1890,1.0519789839236182e-06,4.0499553506379016e-06
1891,1.0511089385545347e-06,3.804771949944552e-06
1892,1.0317971828044392e-06,4.174202331341803e-06
1893,9.742615247887443e-07,4.068866019224515e-06
1894,1.09457732833107e-06,4.212578915030463e-06
1895,9.497373412159504e-07,4.240715952619212e-06
1896,1.0962577334794332e-06,4.076616278325673e-06
1897,1.0021947218774585e-06,3.66325480172236e-06
1898,9.602227919458528e-07,5.005380899092415e-06
1899,9.192362995236181e-07,4.828892542718677e-06
1900,1.021080151986098e-06,3.866815404762747e-06
1901,9.439380050935142e-07,3.6757135148945963e-06
1902,7.714056096119748e-07,3.842297246592352e-06
1903,9.196575092573767e-07,3.6570290831150487e-06
1904,8.905753929866478e-07,3.5144673802278703e-06
1905,8.835219205138856e-07,3.7327770314732334e-06
1906,9.851113418335444e-07,3.6827216263191076e-06
1907,8.408549092564499e-07,3.5218190532759763e-06
1908,9.370930342811334e-07,3.708589929374284e-06
1909,1.014931513054762e-06,3.826484316959977e-06
1910,1.0132509942195611e-06,3.799156729655806e-06
1911,1.0406652108940762e-06,3.7247939417284215e-06
1912,8.616382842774328e-07,3.639822580225882e-06
1913,8.877204891177826e-07,3.5508819564711303e-06
1914,9.087481203096104e-07,3.6376711705088383e-06
1915,9.059405670086562e-07,3.3045037071133265e-06
1916,1.0504013516765554e-06,3.661022446976858e-06
1917,8.422214250458637e-07,3.5893106087314663e-06
1918,9.085723604584928e-07,3.6721944525197614e-06
1919,9.198640782415168e-07,3.6435455967875896e-06
1920,1.0495112974240328e-06,3.56197779183276e-06
1921,8.829823627820588e-07,3.7439663174154703e-06
1922,9.399489613315382e-07,3.6247797652322333e-06
1923,1.1072434062953107e-06,3.543603497746517e-06
1924,1.088053068087902e-06,3.5761365779762855e-06
1925,9.52442235302442e-07,3.515017624522443e-06
1926,1.0544247288635233e-06,3.7373001759988256e-06
1927,1.2052312285959488e-06,4.507631729211425e-06
1928,9.883525535769877e-07,3.710035571202752e-06
1929,1.0705930435506161e-06,3.6295443806011463e-06
1930,9.358710713058827e-07,3.4577863061713288e-06
1931,8.816340937300993e-07,3.3246615203097463e-06
1932,9.151212907454465e-07,3.3448504836997017e-06
1933,9.119176525018702e-07,3.5019932056457037e-06
1934,9.094019333133474e-07,3.0696808153152233e-06
1935,8.928340093916631e-07,3.152445970044937e-06
1936,8.450925861325231e-07,2.8493079753388884e-06
1937,9.594432412995957e-07,3.0684554985782597e-06
1938,9.685014674687409e-07,2.9495863600459415e-06
1939,8.717609034647467e-07,3.0144574338919483e-06
1940,8.317367701238254e-07,3.004902737302473e-06
1941,9.739958386489889e-07,3.314537480036961e-06
1942,9.891530226013856e-07,2.9219459065643605e-06
1943,1.1409714488763711e-06,3.6667861422756687e-06
1944,1.304553620684601e-06,3.5794894301943714e-06
1945,1.413849076925544e-06,3.851595010928577e-06
1946,1.1916465609829174e-06,3.2881648621696513e-06
1947,1.0359236739532207e-06,3.1387653507408686e-06
1948,1.061096213561541e-06,2.9462817110470496e-06
1949,9.493047059550008e-07,2.7890121145901503e-06
1950,9.933427236319403e-07,2.7183984911971493e-06
1951,1.0490819022379583e-06,3.0960711683292175e-06
1952,9.268882763535657e-07,2.8017543627356645e-06
1953,9.308586754741555e-07,2.64389723270142e-06
1954,9.801854048419045e-07,3.0216681352612795e-06
1955,1.005198555503739e-06,2.501264589227503e-06
1956,9.052545237864251e-07,2.6739019176602596e-06
1957,1.0451849448145367e-06,2.646977236508974e-06
1958,1.017485942611529e-06,2.645463382577873e-06
1959,8.89010777882504e-07,2.4701632810320007e-06
1960,9.308520816375676e-07,2.494268301234115e-06
1961,9.032606840264634e-07,2.633352323755389e-06
1962,9.722218692331808e-07,2.6395223358122166e-06
1963,9.582690836396068e-07,2.8366575861582533e-06
1964,9.089448553822876e-07,2.740219315455761e-06
1965,8.443362844445801e-07,2.536839247113676e-06
1966,9.704458534542937e-07,2.8437609671527753e-06
1967,9.121120569943741e-07,2.598286755528534e-06
1968,9.674510010881932e-07,2.7195521852263482e-06
1969,7.916283948361524e-07,2.3966856588231167e-06
1970,8.190329481294611e-07,2.085061851175851e-06
1971,7.728149853392097e-07,2.1709729480789974e-06
1972,7.233506948978174e-07,2.0382074126246152e-06
1973,7.244349831125874e-07,2.0773752567038173e-06
1974,6.486284291895572e-07,1.940259608090855e-06
1975,6.13412964867166e-07,1.8499483758205315e-06
1976,6.787669803998142e-07,1.8368989458394935e-06
1977,6.117729753896128e-07,1.7683236137600034e-06
1978,6.932669975867611e-07,1.9954445633629803e-06
1979,7.578305485367309e-07,2.07452444556111e-06
1980,7.112123512342805e-07,1.907936621137196e-06
1981,7.280707450263435e-07,1.882483502413379e-06
1982,7.126212722141645e-07,2.0037816739204573e-06
1983,6.795280000915227e-07,1.8099696035278612e-06
