year,soit_VERB heureux_ADJ,soit_VERB peureux_ADJ
1800,1.603523855919775e-07,0.0
1801,3.1907845254863787e-07,0.0
1802,1.7231369042747247e-07,0.0
1803,3.1595496352565533e-07,1.950339223455444e-09
1804,2.546006498960196e-07,0.0
1805,1.8762992226584174e-07,0.0
1806,2.881669161070022e-07,0.0
1807,1.5942949005420815e-07,0.0
1808,1.9941451512295316e-07,0.0
1809,2.0557178004310117e-07,0.0
1810,2.0359102848033217e-07,0.0
1811,1.278609147448151e-07,0.0
1812,2.1604387256957125e-07,0.0
1813,1.6966875193702435e-07,0.0
1814,2.7690759907272877e-07,0.0
1815,1.591361922237411e-07,0.0
1816,2.016315363562171e-07,0.0
1817,3.487396327273018e-07,0.0
1818,3.838619022644707e-07,0.0
1819,2.753379249043064e-07,0.0
1820,3.0140861895233684e-07,0.0
1821,3.648750634965836e-07,0.0
1822,2.4261990461127425e-07,0.0
1823,2.3520794911746634e-07,0.0
1824,2.6189661639364203e-07,0.0
1825,2.218971673073611e-07,0.0
1826,2.9594826855827705e-07,0.0
1827,2.3964909701135184e-07,0.0
1828,2.2196968529897276e-07,9.172301251858528e-10
1829,1.9461108990981302e-07,0.0
1830,2.588335235031991e-07,0.0
1831,3.0091027269918413e-07,0.0
1832,2.489514372427948e-07,0.0
1833,2.6989854973180627e-07,4.6334514003376626e-09
1834,2.1656111925949517e-07,0.0
1835,2.548760562604002e-07,3.781543966852041e-09
1836,2.009504243005722e-07,0.0
1837,1.9690831720708957e-07,0.0
1838,1.8936485446374718e-07,0.0
1839,1.5590990187774878e-07,0.0
1840,1.980973109994011e-07,1.2739377330817092e-09
1841,1.861959049165307e-07,0.0
1842,1.6234001520842867e-07,1.341653010911159e-09
1843,1.3231480977538013e-07,0.0
1844,1.5971713196449855e-07,5.488561272137815e-10
1845,1.5010813569915626e-07,0.0
1846,1.814895398410954e-07,1.7563503984519002e-09
1847,1.3267330700728053e-07,0.0
1848,2.3089786793661915e-07,0.0
1849,1.0893239732467919e-07,0.0
1850,1.7651389327966172e-07,0.0
1851,1.509168612301437e-07,0.0
1852,1.5364886962743185e-07,0.0
1853,1.702000531622616e-07,0.0
1854,1.527525341771252e-07,0.0
1855,1.8255863665217475e-07,0.0
1856,2.433278893931856e-07,1.0354378465748937e-09
1857,1.9721296951047407e-07,4.881509085841174e-10
1858,2.0651312127029087e-07,4.893676019968041e-10
1859,2.0063163219674607e-07,0.0
1860,2.1192361998600973e-07,4.577183909670879e-10
1861,2.2730945659077406e-07,0.0
1862,1.6987628725928516e-07,0.0
1863,1.8579989102818217e-07,4.994620828036034e-10
1864,2.1863959887014062e-07,0.0
1865,1.8874446539030032e-07,0.0
1866,1.9462451916751888e-07,0.0
1867,1.514077183628615e-07,0.0
1868,1.4622027322275244e-07,9.87974813071446e-10
1869,1.9485241864458658e-07,9.767038289254515e-10
1870,1.7030124865868856e-07,0.0
1871,1.4126165126526757e-07,0.0
1872,1.300177956409243e-07,0.0
1873,1.5144591714033595e-07,0.0
1874,1.5533983344084845e-07,0.0
1875,1.8995470441041107e-07,0.0
1876,2.05564504085487e-07,0.0
1877,2.139946388979297e-07,0.0
1878,1.7090620474391471e-07,1.2078177347163432e-09
1879,1.722829665595782e-07,0.0
1880,1.6365507349291875e-07,0.0
1881,1.4921165814030246e-07,0.0
1882,2.063169404209475e-07,1.3310770263785798e-09
1883,1.2638678015264304e-07,0.0
1884,1.4457715735716192e-07,0.0
1885,1.4244854185108125e-07,6.445635691854079e-10
1886,1.0519146087517584e-07,0.0
1887,1.1164461000134906e-07,0.0
1888,1.033520220516948e-07,0.0
1889,1.6038750061397877e-07,6.265136742733546e-10
1890,1.0945825579256052e-07,0.0
1891,1.1409854039357015e-07,1.2748440081367107e-09
1892,1.429220759519012e-07,0.0
1893,1.1516238629383224e-07,0.0
1894,9.830401381805132e-08,0.0
1895,1.1495554019802512e-07,6.018614495673091e-10
1896,9.671127543242619e-08,5.89702897624278e-10
1897,1.1536892685626299e-07,0.0
1898,1.4655138613761665e-07,0.0
1899,1.1276259925807608e-07,0.0
1900,1.251043784122885e-07,5.191053142894475e-10
1901,1.190401377471062e-07,0.0
